N	2gram	Ircho_Kome_2	slovoVRo
1	и в	26	41
2	в нем	6	30
3	и т	2	28
4	т п	2	23
5	во всех	3	17
6	но и	10	16
7	и не	14	16
8	точки зрения	4	16
9	не только	7	16
10	то же	3	14
11	может быть	11	14
12	не может	3	14
13	и его	12	14
14	и на	7	14
15	в то	6	14
16	в его	4	13
17	же время	3	12
18	как бы	2	12
19	в этом	10	12
20	так и	12	11
21	в той	2	10
22	таким образом	6	9
23	себя в	3	9
24	прежде всего	4	8
25	но в	3	8
26	как в	3	8
27	как мы	4	8
28	или в	3	8
29	не в	2	7
30	отношение к	2	7
31	вовсе не	2	7
32	в своей	3	7
33	все же	4	7
34	во всяком	2	7
35	того же	3	6
36	это не	2	6
37	а в	3	6
38	в них	4	6
39	только в	4	6
40	с другой	2	5
41	в самом	4	5
42	всяком случае	2	5
43	все это	3	5
44	и к	2	5
45	еще более	2	5
46	к нему	3	5
47	связанных с	2	4
48	и от	4	4
49	в каждом	3	4
50	одной стороны	2	4
51	одним из	2	4
52	в ней	3	4
53	один из	5	4
54	в их	3	4
55	с одной	2	4
56	рядом с	2	4
57	и с	5	4
58	в которой	5	4
59	и все	2	4
60	с его	5	4
61	как и	4	4
62	здесь в	3	4
63	еще не	6	4
64	и для	4	4
65	все время	2	3
66	хотя бы	2	3
67	из этих	4	3
68	к тому	12	3
69	мы найдем	3	3
70	в том	11	3
71	и сам	3	3
72	из них	7	3
73	в своем	6	3
74	друг друга	3	3
75	в других	2	3
76	с ними	2	3
77	и здесь	6	3
78	не было	3	3
79	в истории	5	3
80	о том	6	3
81	его в	4	3
82	в первом	2	3
83	так как	4	3
84	у него	4	3
85	и во	2	3
86	с этим	5	3
87	с этой	3	3
88	в качестве	5	3
89	было бы	8	3
90	одной из	4	3
91	он не	2	3
92	из этого	2	3
93	бы и	2	3
94	при всем	3	3
95	и ее	2	3
96	которые в	2	3
97	в другой	2	2
98	в частности	4	2
99	тому что	4	2
100	столь же	9	2
101	ни было	2	2
102	для нас	3	2
103	есть для	2	2
104	так что	5	2
105	в построении	2	2
106	на этом	2	2
107	друг с	2	2
108	например в	3	2
109	для того	5	2
110	хотя и	4	2
111	в целом	4	2
112	в этих	4	2
113	друг другу	3	2
114	время как	2	2
115	потому что	6	2
116	в речах	2	2
117	с которыми	2	2
118	между тем	4	2
119	не является	2	2
120	в котором	3	2
121	в одном	2	2
122	в духе	2	2
123	к этому	5	2
124	интерес к	3	2
125	том что	9	2
126	одна из	2	2
127	но не	3	2
128	по своему	2	2
129	а на	2	2
130	то время	3	2
131	до сих	2	2
132	с которым	2	2
133	наконец в	2	2
134	даже в	2	2
135	сих пор	2	2
136	в ее	2	2
137	в последние	4	2
138	так в	2	2
139	и у	2	2
140	той же	3	2
141	такая же	2	2
142	роль в	2	2
143	мы не	2	2
144	можно было	4	2
145	от этого	2	2
146	на протяжении	10	2
147	связи с	3	2
148	с другом	2	2
