N	2gram	Nazirov_Vr_1	Literetu
1	и не	5	22
2	тогда как	2	17
3	и в	8	16
4	в мире	2	16
5	х годов	4	15
6	при этом	4	15
7	не только	9	14
8	но и	7	14
9	в этом	8	14
10	то что	7	12
11	может быть	4	12
12	в том	3	12
13	то же	5	9
14	в то	5	9
15	том что	3	8
16	не может	2	8
17	к себе	2	8
18	в этой	2	8
19	как бы	4	8
20	в своей	2	7
21	же время	5	7
22	точки зрения	2	7
23	с его	3	6
24	еще не	2	6
25	в его	3	6
26	и т.п	2	6
27	и его	3	6
28	в себе	2	6
29	о том	4	6
30	это не	4	5
31	в году	18	5
32	что он	4	5
33	как и	6	5
34	вместе с	2	5
35	а в	2	5
36	что я	2	5
37	место в	2	4
38	никогда не	2	4
39	в начале	6	4
40	одним из	3	4
41	из них	2	4
42	а также	2	4
43	отнюдь не	2	3
44	в романе	6	3
45	и как	3	3
46	о чем	2	3
47	и а	2	3
48	уже не	2	3
49	с точки	2	3
50	в глазах	2	3
51	отношения к	2	3
52	но в	6	3
53	между тем	5	3
54	что в	7	2
55	не менее	2	2
56	что у	3	2
57	в конце	3	2
58	я не	3	2
59	к этому	3	2
60	на то	3	2
61	в нем	6	2
62	и ее	2	2
63	же в	2	2
64	раз в	3	2
65	связи с	3	2
66	в свою	2	2
67	для него	2	2
68	несмотря на	4	2
69	о нем	6	2
70	все же	6	2
71	отношение к	2	2
72	так же	4	2
73	как раз	2	2
74	человека в	3	2
75	о которой	2	2
76	и даже	6	2
77	в своих	4	2
78	и с	6	2
79	тем что	3	2
80	эти слова	3	2
81	далеко не	3	2
82	чтобы он	3	2
83	его в	3	2
84	писателей в	2	2
