N	2gram	Tiupa_Hudo_1	FransuaR
1	и в	19	56
2	то есть	18	24
3	в романе	3	21
4	в его	9	18
5	таким образом	3	17
6	все эти	2	15
7	в этом	11	14
8	в том	18	13
9	так и	11	13
10	и его	12	12
11	в то	6	12
12	в этих	3	11
13	как бы	9	11
14	и т.п	4	11
15	в них	2	11
16	то же	10	11
17	же время	5	10
18	еще не	3	10
19	только в	5	9
20	в самом	5	9
21	но и	10	9
22	и не	15	9
23	том что	8	8
24	по своему	2	8
25	не только	16	8
26	и др	2	8
27	в нем	5	8
28	во всех	3	8
29	все это	2	8
30	в частности	13	7
31	и на	2	7
32	прежде всего	4	6
33	вовсе не	2	6
34	в ее	5	6
35	в этой	2	6
36	в той	3	6
37	потому что	3	6
38	точки зрения	10	6
39	но в	7	6
40	но не	11	5
41	с его	6	5
42	никогда не	2	5
43	в отношении	3	5
44	в пределах	3	5
45	с ее	5	5
46	как и	2	5
47	и другие	2	5
48	он не	4	5
49	один из	2	5
50	своего рода	5	5
51	что в	6	5
52	в области	6	5
53	времени и	2	4
54	и более	2	4
55	и ее	3	4
56	в себе	9	4
57	в качестве	24	4
58	например в	3	4
59	и к	3	4
60	за пределы	2	4
61	и потому	2	4
62	даже в	3	4
63	тарасе бульбе	2	4
64	с одной	2	4
65	при этом	13	4
66	в тарасе	2	4
67	того чтобы	2	4
68	в основе	4	4
69	их в	3	4
70	о том	2	4
71	по своей	7	4
72	одна из	2	4
73	в которой	2	4
74	том числе	2	3
75	в своем	2	3
76	может быть	14	3
77	первой части	2	3
78	и о	3	3
79	одной из	2	3
80	а также	5	3
81	что и	2	3
82	то что	4	3
83	образом и	2	3
84	в форме	4	3
85	в их	5	3
86	не на	3	3
87	в году	2	3
88	уже не	4	3
89	времени в	2	3
90	не в	7	3
91	сказать что	4	3
92	между тем	4	3
93	речи и	3	3
94	но он	3	3
95	к его	2	3
96	в другом	3	3
97	и т.д	3	3
98	слова и	2	3
99	к которому	4	3
100	если бы	3	2
101	в нашем	2	2
102	о себе	2	2
103	с другой	7	2
104	это не	2	2
105	на языке	2	2
106	не как	2	2
107	в одном	2	2
108	границ между	2	2
109	для понимания	2	2
110	что он	3	2
111	можно сказать	5	2
112	ни в	5	2
113	и как	3	2
114	в узком	3	2
115	а на	5	2
116	для него	4	2
117	с их	2	2
118	одной стороны	2	2
119	картина мира	5	2
120	картины мира	3	2
121	а в	12	2
122	по преимуществу	2	2
123	хотя и	3	2
124	между ними	4	2
125	еще один	2	2
126	в точке	3	2
127	в своей	5	2
128	в мире	21	2
129	дело не	2	2
130	что она	2	2
131	или менее	5	2
132	другой стороны	5	2
133	во всей	3	2
134	так же	2	2
135	как раз	3	2
136	не может	7	2
137	в каком	2	2
138	как к	2	2
139	нового времени	2	2
140	и некоторые	2	2
141	а не	9	2
142	для того	2	2
143	к нему	3	2
144	и для	2	2
145	с точки	3	2
146	его в	2	2
147	в слове	3	2
148	в данном	4	2
149	и то	4	2
150	культуры в	2	2
151	языка в	4	2
152	той или	4	2
153	начиная с	2	2
154	далеко не	2	2
155	мира и	2	2
156	с ним	2	2
157	более или	5	2
