N	2gram	Potebnia_M_4	EvropaiE
1	и в	23	37
2	точки зрения	4	23
3	что в	17	21
4	не только	10	18
5	с точки	3	17
6	в то	4	16
7	хотя бы	4	15
8	то же	14	15
9	в своем	8	14
10	же время	3	14
11	но и	11	14
12	и не	18	14
13	но в	8	14
14	в этом	23	12
15	в том	23	11
16	в области	2	11
17	с и	2	10
18	так и	6	10
19	в смысле	3	9
20	все более	3	9
21	не может	11	9
22	в себе	14	9
23	только в	15	9
24	так же	4	9
25	думать что	4	8
26	к тому	3	8
27	в ее	2	8
28	было бы	8	8
29	между тем	9	8
30	как и	14	7
31	по своему	2	7
32	нам кажется	2	7
33	между прочим	3	7
34	того что	14	7
35	с другой	2	7
36	так как	14	7
37	вовсе не	7	6
38	том что	12	6
39	может быть	26	6
40	для того	6	6
41	на то	7	6
42	как бы	5	6
43	то что	29	6
44	того чтобы	4	6
45	и даже	2	6
46	и на	3	6
47	то есть	34	6
48	столь же	2	5
49	не в	11	5
50	к которым	3	5
51	со стороны	3	5
52	как мы	2	5
53	в той	4	5
54	в течение	2	5
55	тем самым	4	5
56	и по	3	5
57	в виде	2	5
58	и потому	10	5
59	независимо от	6	4
60	но даже	2	4
61	именно в	3	4
62	вопрос о	2	4
63	можно сказать	4	4
64	чем в	2	4
65	само по	5	4
66	в самом	3	4
67	то в	3	4
68	в ней	2	4
69	к ней	2	4
70	даже в	2	4
71	в процессе	3	4
72	по себе	11	4
73	для нас	14	4
74	мы не	8	4
75	и притом	2	4
76	не имеет	5	4
77	во многих	2	4
78	сказать что	8	4
79	тем более	5	4
80	в каком	4	4
81	по признаку	2	3
82	и к	6	3
83	можно считать	2	3
84	с тем	7	3
85	уже и	2	3
86	никогда не	3	3
87	в них	3	3
88	новое слово	4	3
89	мы можем	10	3
90	в свою	2	3
91	очевидно что	7	3
92	бы ни	2	3
93	и мы	5	3
94	известной степени	3	3
95	всяком случае	3	3
96	и тем	4	3
97	что и	7	3
98	не будет	3	3
99	бы и	5	3
100	заключает в	8	3
101	как в	7	3
102	и только	3	3
103	и для	2	3
104	и прежде	2	3
105	в таком	4	3
106	можно было	2	3
107	не из	5	3
108	к ним	2	3
109	в которых	3	3
110	можно думать	2	3
111	потому что	33	3
112	во всяком	5	3
113	тем что	10	3
114	себе в	3	3
115	в данном	4	3
116	о том	8	3
117	там где	3	3
118	большинстве случаев	2	3
119	что все	4	2
120	не могут	2	2
121	течением времени	2	2
122	и более	4	2
123	относятся к	2	2
124	а не	12	2
125	в этих	3	2
126	еще более	2	2
127	с этим	7	2
128	в большинстве	2	2
129	и все	4	2
130	в одном	4	2
131	к нему	5	2
132	чем больше	2	2
133	одном из	2	2
134	для понимания	2	2
135	есть не	4	2
136	одна и	2	2
137	что на	2	2
138	не нужно	2	2
139	влияние на	2	2
140	как же	4	2
141	и как	2	2
142	в силу	7	2
143	отношений между	2	2
144	есть в	5	2
145	рано или	2	2
146	что если	6	2
147	между ними	4	2
148	не можем	5	2
149	что это	7	2
150	и если	3	2
151	она не	2	2
152	или поздно	2	2
153	он не	2	2
154	в его	5	2
155	с течением	2	2
156	в котором	4	2
157	не есть	9	2
158	при помощи	3	2
159	в мире	2	2
160	вместе с	6	2
161	данном случае	2	2
162	на основании	4	2
163	нужно иметь	2	2
164	что же	5	2
165	и таким	3	2
166	а в	5	2
167	таким образом	24	2
168	если бы	13	2
169	и других	3	2
170	а именно	4	2
171	и что	7	2
172	более чем	3	2
173	на этот	2	2
174	происходит в	2	2
175	в других	2	2
176	с другими	4	2
177	мы видим	2	2
178	в другой	2	2
179	в своих	2	2
180	этот вопрос	3	2
181	и та	4	2
182	что эти	3	2
183	и чем	2	2
184	и с	4	2
185	хотя и	5	2
186	могут быть	7	2
187	и то	5	2
188	в истории	4	2
189	мы должны	2	2
190	как оно	2	2
191	бы в	2	2
192	заметить что	6	2
193	можем сказать	2	2
194	которое в	3	2
195	тогда когда	8	2
196	например с	2	2
197	имеет в	2	2
