N	2gram	Berdyaev_O_1	Problema
1	то что	5	42
2	и в	19	32
3	и не	13	31
4	не есть	2	29
5	в этом	12	19
6	не только	11	17
7	потому что	9	16
8	по себе	2	15
9	а не	11	15
10	в себе	3	15
11	как бы	3	14
12	может быть	11	14
13	но в	2	14
14	в нем	10	13
15	сказать что	2	13
16	что в	4	12
17	том что	2	12
18	так и	2	12
19	о том	3	11
20	так как	2	11
21	прежде всего	9	10
22	в этой	5	10
23	нет ничего	7	10
24	ничего не	2	10
25	в том	5	9
26	но и	13	9
27	еще не	3	9
28	что же	2	9
29	того чтобы	4	9
30	не может	4	8
31	все эти	4	8
32	и о	2	8
33	и на	2	8
34	даже и	2	8
35	было бы	3	8
36	в своей	2	8
37	для того	3	8
38	и ее	3	8
39	никогда не	9	7
40	все это	6	7
41	того что	3	7
42	и все	10	7
43	что он	3	7
44	тем что	2	7
45	и есть	3	6
46	так что	2	6
47	в самом	5	6
48	хотя и	2	6
49	это не	3	6
50	всегда есть	4	6
51	и то	2	6
52	его в	2	6
53	в его	7	6
54	можно ли	2	5
55	в своем	2	5
56	с тем	2	5
57	в других	2	5
58	совсем не	2	4
59	не в	11	4
60	не было	9	4
61	а в	5	4
62	в истории	2	4
63	и ни	2	4
64	и для	2	4
65	уже в	2	3
66	что не	4	3
67	в этих	3	3
68	что все	2	3
69	что они	2	3
70	хотя бы	3	3
71	и его	4	3
72	только и	4	3
73	в самой	9	3
74	но он	7	3
75	он всегда	7	3
76	с ним	3	3
77	в ее	2	3
78	как и	6	3
79	учение о	2	3
80	он не	7	3
81	к нему	3	3
82	он сам	4	2
83	не могут	3	2
84	момент в	2	2
85	для него	5	2
86	и все-таки	2	2
87	из подполья	11	2
88	и очень	2	2
89	не имеет	2	2
90	должно быть	2	2
91	что для	2	2
92	и с	2	2
93	одно из	2	2
94	не очень	2	2
95	с его	4	2
96	могут быть	3	2
97	ли сказать	2	2
98	сразу же	2	2
99	о его	5	2
100	человека а	2	2
101	ведь это	2	2
102	о любви	2	2
103	и потому	2	2
104	ее в	2	2
105	он в	2	2
106	в которой	2	2
107	это было	3	2
