N	2gram	Propp_Isto_4	Dialekti
1	не есть	2	54
2	т е	18	48
3	и не	9	27
4	а не	6	26
5	и в	26	24
6	и т	27	24
7	не только	15	23
8	т д	24	23
9	по себе	2	20
10	не может	6	19
11	не просто	4	18
12	ничего не	5	17
13	и есть	2	16
14	и что	5	15
15	то что	16	14
16	может быть	14	13
17	таким образом	10	13
18	и даже	4	13
19	в мифе	2	13
20	что он	10	13
21	вовсе не	4	13
22	что это	2	12
23	того что	2	12
24	есть только	3	12
25	есть и	2	12
26	не менее	2	11
27	не имеет	3	11
28	тем не	2	10
29	ни в	2	9
30	то это	5	9
31	но и	12	9
32	что она	3	9
33	так что	2	8
34	и как	5	8
35	что мы	3	8
36	том что	3	8
37	в этом	7	8
38	в виде	2	8
39	что в	14	7
40	никогда не	2	7
41	другими словами	2	7
42	в особенности	2	7
43	потому что	6	7
44	даже и	2	7
45	это и	5	7
46	как и	7	7
47	иное как	3	6
48	должна быть	2	6
49	все это	2	6
50	и только	5	6
51	и с	5	6
52	что иное	3	6
53	о том	4	6
54	так как	9	6
55	если бы	2	6
56	превращается в	7	6
57	и все	2	6
58	не что	3	6
59	об этом	7	6
60	что и	9	6
61	не на	3	6
62	то же	8	6
63	и пр	11	6
64	с этой	2	5
65	в том	3	5
66	но это	3	5
67	хотя и	2	5
68	и его	10	5
69	как это	3	5
70	вопрос о	4	5
71	было бы	2	5
72	он не	7	5
73	так и	10	5
74	уже не	5	5
75	только в	3	5
76	с другой	4	4
77	это не	5	4
78	не могут	2	4
79	хотя бы	2	4
80	что есть	2	4
81	так же	18	4
82	сказать что	2	4
83	у нас	2	4
84	в истории	2	4
85	конечно не	2	4
86	говорит о	2	4
87	от того	2	4
88	только что	3	4
89	и то	6	4
90	е в	3	4
91	перед нами	3	3
92	все же	9	3
93	в своем	2	3
94	в одной	3	3
95	мы знаем	8	3
96	его как	2	3
97	не в	5	3
98	не говорит	2	3
99	есть в	2	3
100	она не	3	3
101	в нем	2	3
102	из них	2	3
103	все эти	3	3
104	и на	2	3
105	с этим	2	3
106	мы уже	5	3
107	во всем	3	3
108	при помощи	10	3
109	тем что	5	3
110	он должен	3	3
111	на себя	4	3
112	только тогда	3	3
113	в силу	5	3
114	на то	3	3
115	одна из	2	3
116	все что	4	3
117	как бы	3	3
118	или же	3	3
119	имеется в	2	3
120	из которых	5	3
121	к нему	6	3
122	это же	2	3
123	только одна	2	3
124	и этим	2	3
125	же как	13	2
126	в частности	2	2
127	что у	3	2
128	в который	2	2
129	из этих	3	2
130	точно так	5	2
131	показывает что	10	2
132	для нас	3	2
133	на этом	2	2
134	еще не	6	2
135	при этом	3	2
136	и если	3	2
137	например в	3	2
138	нас к	7	2
139	но для	2	2
140	не видно	2	2
141	и тем	2	2
142	меня и	2	2
143	а именно	3	2
144	другой стороны	4	2
145	а когда	2	2
146	же он	4	2
147	и вот	2	2
148	и по	5	2
149	а в	8	2
150	их в	7	2
151	и здесь	5	2
152	превратился в	2	2
153	к этой	3	2
154	но в	5	2
155	этого не	2	2
156	у него	5	2
157	на котором	3	2
158	содержится в	2	2
159	и во	2	2
160	все еще	3	2
161	их не	2	2
162	же в	3	2
163	по существу	3	2
164	но не	5	2
165	от своего	3	2
166	себя в	2	2
167	на небо	7	2
168	так в	4	2
169	и они	2	2
170	как мы	5	2
171	и у	5	2
172	и он	3	2
173	или в	3	2
174	что этот	4	2
175	в данном	3	2
176	живое существо	2	2
177	могут быть	6	2
178	в себе	2	2
179	его на	4	2
180	в его	5	2
