N	2gram	Medvedev_F_1	Myslijsy
1	в том	6	32
2	и в	24	30
3	может быть	14	28
4	то же	10	23
5	не только	7	21
6	только в	2	21
7	но и	7	19
8	то что	8	18
9	того что	5	18
10	что в	4	17
11	не есть	2	17
12	по себе	5	16
13	в себе	3	16
14	не в	8	15
15	и не	20	15
16	а не	10	15
17	таким образом	13	14
18	что и	2	13
19	вместе с	2	12
20	а в	6	12
21	если бы	4	12
22	этого слова	3	11
23	так и	18	11
24	в душе	2	10
25	как и	11	10
26	как в	8	10
27	и что	2	10
28	в этом	15	10
29	в то	9	10
30	для него	3	9
31	было бы	6	9
32	в нем	14	9
33	мы не	3	9
34	между тем	2	9
35	в самом	5	8
36	от того	2	8
37	в ней	10	8
38	смысле этого	3	7
39	с другой	5	7
40	вовсе не	10	7
41	к тому	3	7
42	как мы	5	7
43	с тем	2	7
44	но не	3	7
45	с одной	4	7
46	тем самым	3	7
47	что он	3	6
48	но это	3	6
49	с этим	2	6
50	художественное произведение	6	6
51	не может	16	6
52	уже не	2	6
53	с ним	2	6
54	независимо от	4	5
55	в них	3	5
56	думать что	3	5
57	художественного произведения	23	5
58	и как	3	5
59	же время	8	5
60	в своем	11	5
61	еще не	6	5
62	только как	2	5
63	в действительности	2	5
64	что содержание	2	5
65	отношению к	4	5
66	не менее	11	5
67	по отношению	4	5
68	должно быть	11	5
69	как на	4	5
70	с другими	4	5
71	и т	12	5
72	к ней	2	5
73	перестает быть	3	4
74	оно не	4	4
75	и от	7	4
76	мы видели	2	4
77	этот образ	2	4
78	все это	9	4
79	в его	23	4
80	была бы	2	4
81	один из	3	4
82	и его	10	4
83	или же	3	4
84	он не	3	4
85	не было	3	4
86	и это	2	4
87	и потому	9	4
88	место в	7	3
89	жизни не	2	3
90	прежде всего	22	3
91	и все	6	3
92	не можем	2	3
93	а только	2	3
94	именно в	8	3
95	более или	6	3
96	свою очередь	6	3
97	в свою	8	3
98	бы ни	5	3
99	до сих	6	3
100	одной стороны	4	3
101	при этом	5	3
102	и может	4	3
103	действительности и	3	3
104	в ряду	2	3
105	как бы	6	3
106	искусства и	5	3
107	в целом	6	3
108	каждой из	3	3
109	время в	3	3
110	на него	2	3
111	со стороны	5	3
112	или менее	6	3
113	только на	5	3
114	художественном произведении	3	3
115	т д	8	3
116	друг друга	4	3
117	так же	4	3
118	в каждом	3	3
119	и на	8	3
120	в искусстве	5	3
121	его в	3	3
122	в произведении	2	3
123	в которой	4	3
124	сих пор	6	3
125	только не	2	2
126	самый предмет	2	2
127	прежде чем	2	2
128	каждого из	2	2
129	но все	2	2
130	связи с	3	2
131	ближайшим образом	4	2
132	от нее	2	2
133	его с	2	2
134	так например	3	2
135	не как	4	2
136	в одном	2	2
137	на все	3	2
138	а как	2	2
139	человек не	3	2
140	мысли об	2	2
141	это последнее	3	2
142	не дает	2	2
143	отношение к	3	2
144	сама по	2	2
145	одной из	2	2
146	все в	2	2
147	в ее	8	2
148	поэтического произведения	3	2
149	в этой	6	2
150	как ее	2	2
151	единство и	2	2
152	как о	4	2
153	могла бы	2	2
154	она не	6	2
155	и если	2	2
156	или на	2	2
157	на его	2	2
158	не могла	2	2
159	том чтобы	2	2
160	за пределы	2	2
161	вопрос об	2	2
162	все же	3	2
163	же в	3	2
164	жизни и	7	2
165	в своей	11	2
166	и до	5	2
167	бы быть	2	2
168	в их	11	2
169	целый ряд	3	2
170	т п	4	2
171	входит в	6	2
172	и содержание	2	2
173	это и	3	2
174	самом деле	6	2
175	в системе	2	2
176	что такое	2	2
177	и наконец	3	2
178	ко всем	2	2
179	и даже	3	2
180	с этой	4	2
181	ни в	2	2
182	от этого	2	2
183	точки зрения	16	2
184	из виду	2	2
185	бы в	3	2
186	отношении к	2	2
187	одним словом	5	2
188	произведения искусства	3	2
189	так сказать	3	2
190	в области	3	2
191	входящих в	2	2
192	и с	8	2
