N	2gram	Bakhtin_Pr_4	Myshleni
1	то что	4	26
2	что он	6	25
3	в этом	16	25
4	устной речи	3	24
5	потому что	4	21
6	таким образом	4	19
7	в том	9	18
8	не может	19	18
9	точки зрения	11	18
10	что в	4	16
11	и в	46	16
12	так как	5	16
13	не только	14	16
14	так же	3	15
15	том что	4	15
16	в сущности	7	13
17	сказать что	2	13
18	в процессе	4	13
19	отношению к	5	12
20	вопрос о	2	12
21	по отношению	5	12
22	и не	27	12
23	и что	3	12
24	отношение к	3	11
25	в его	9	11
26	но не	4	10
27	с помощью	3	10
28	было бы	3	10
29	как мы	12	10
30	а не	11	10
31	только в	6	10
32	в отношении	3	9
33	может быть	23	9
34	с точки	9	9
35	должно быть	4	8
36	о том	5	8
37	если бы	3	8
38	как и	12	8
39	он не	4	8
40	то же	6	8
41	же как	2	7
42	друг с	5	7
43	в нем	17	7
44	но он	3	7
45	того же	3	7
46	так и	4	7
47	по себе	7	7
48	приводит к	4	7
49	если мы	5	7
50	с другом	5	7
51	не в	10	6
52	в этой	3	6
53	и следовательно	2	6
54	но если	3	6
55	но и	12	6
56	и на	11	6
57	как он	3	6
58	но в	6	6
59	у него	5	6
60	языка и	2	6
61	к тому	2	6
62	в той	3	6
63	этот вопрос	2	6
64	мы можем	4	6
65	речи и	5	6
66	в другом	2	6
67	должна быть	2	5
68	никогда не	6	5
69	в своем	3	5
70	на все	2	5
71	мы и	3	5
72	для него	2	5
73	как бы	19	5
74	хотя бы	2	5
75	еще более	3	5
76	не знает	4	5
77	в то	5	5
78	с ним	2	5
79	можно сказать	4	5
80	как в	4	5
81	мысли и	2	5
82	того как	2	5
83	можно было	2	5
84	тем что	3	5
85	ничего не	2	5
86	не могут	3	4
87	все эти	4	4
88	с другой	3	4
89	это не	5	4
90	сама по	2	4
91	так что	2	4
92	речи как	2	4
93	в пределах	10	4
94	при этом	5	4
95	в самом	9	4
96	на этот	2	4
97	и их	3	4
98	в системе	2	4
99	речь и	2	4
100	и по	2	4
101	отношение между	2	4
102	что мы	2	4
103	в результате	2	4
104	бы в	3	4
105	точек зрения	4	4
106	на пороге	12	4
107	еще не	7	4
108	за пределы	5	4
109	вместе с	2	4
110	той же	3	4
111	могут быть	2	4
112	такой же	3	4
113	и т.д	3	4
114	не менее	2	3
115	прежде всего	9	3
116	оно является	2	3
117	в известной	2	3
118	и как	2	3
119	но это	6	3
120	самом деле	4	3
121	до конца	4	3
122	к нему	5	3
123	и является	2	3
124	если в	2	3
125	и тем	2	3
126	к внутренней	2	3
127	значение в	2	3
128	в их	4	3
129	еще и	4	3
130	они не	2	3
131	а в	2	3
132	и с	7	3
133	по своей	3	3
134	в этих	4	3
135	между тем	2	3
136	мы не	4	3
137	между двумя	3	3
138	к жизни	2	3
139	с этим	2	3
140	в одном	11	3
141	этих двух	4	3
142	все же	4	3
143	по существу	3	3
144	своей природе	2	3
145	никак не	3	3
146	что и	3	3
147	сих пор	8	3
148	на этом	3	3
149	в себя	4	3
150	речь в	2	3
151	и его	6	3
152	до сих	8	3
153	мы будем	2	2
154	и другие	3	2
155	себя и	3	2
156	к одному	6	2
157	но все	2	2
158	не дает	2	2
159	в плоскости	2	2
160	все он	2	2
161	одним из	3	2
162	в виду	4	2
163	совершенно не	4	2
164	в котором	5	2
165	по мере	4	2
166	в своей	3	2
167	в отличие	3	2
168	все это	6	2
169	другой стороны	3	2
170	то и	2	2
171	отношения к	2	2
172	те же	2	2
173	для другого	2	2
174	свое время	2	2
175	и даже	3	2
176	к ним	4	2
177	все равно	2	2
178	и здесь	4	2
179	но этот	3	2
180	и между	6	2
181	их в	3	2
182	сознания и	2	2
183	в единстве	3	2
184	в жизни	5	2
185	но при	3	2
186	вовсе не	9	2
187	стороны и	2	2
188	в различных	3	2
189	то это	3	2
190	и к	9	2
191	нам кажется	5	2
192	отличие от	3	2
193	у нас	2	2
194	что я	6	2
195	во всем	4	2
196	все что	2	2
197	указывает на	2	2
198	слов и	3	2
199	жизни и	5	2
200	в первой	2	2
201	когда он	2	2
202	в корне	2	2
203	в свое	2	2
204	только к	2	2
205	во всех	5	2
206	только на	3	2
207	в центре	3	2
208	но с	2	2
209	об особенностях	2	2
210	значение для	3	2
211	во всяком	2	2
212	ту же	2	2
