N	2gram	Vinokur_Ku_1	Sovremen
1	не может	7	17
2	точки зрения	14	12
3	может быть	13	12
4	таким образом	12	11
5	в каждом	2	8
6	в этом	14	7
7	и в	24	7
8	и не	12	6
9	как и	2	6
10	в результате	5	6
11	ничего не	2	6
12	что же	6	5
13	прежде всего	9	5
14	все эти	6	5
15	с точки	9	5
16	как бы	7	4
17	если мы	2	4
18	в целом	4	4
19	вместе с	7	4
20	в зависимости	5	4
21	это не	7	4
22	а в	5	4
23	вопрос о	2	4
24	не только	10	4
25	с помощью	7	4
26	в том	30	4
27	из них	4	4
28	зависимости от	6	4
29	так как	9	4
30	в системе	3	3
31	уже в	3	3
32	все же	12	3
33	все это	6	3
34	то же	8	3
35	ясно что	3	3
36	в нем	4	3
37	а не	8	3
38	для нас	2	3
39	у нас	10	3
40	когда мы	2	3
41	не в	11	3
42	в этой	3	3
43	еще не	5	3
44	при этом	6	3
45	было бы	15	3
46	и мы	2	3
47	в одном	3	3
48	и все	2	3
49	в первом	3	3
50	в себе	3	3
51	в области	7	3
52	что она	3	3
53	но в	2	3
54	и потому	4	3
55	так сказать	5	2
56	может иметь	2	2
57	не могут	2	2
58	возможность и	2	2
59	что это	5	2
60	не менее	7	2
61	и есть	2	2
62	и именно	2	2
63	то и	2	2
64	из этих	4	2
65	из одного	3	2
66	что все	2	2
67	уже не	8	2
68	в свою	3	2
69	или иной	3	2
70	самом деле	9	2
71	и что	5	2
72	роль в	4	2
73	и пр	15	2
74	что такое	6	2
75	на этот	2	2
76	и даже	3	2
77	тем не	4	2
78	той же	3	2
79	в таком	3	2
80	но все	2	2
81	во всяком	5	2
82	свою очередь	3	2
83	а на	2	2
84	с этим	4	2
85	что в	17	2
86	тот же	2	2
87	на его	3	2
88	в самом	10	2
89	в которой	6	2
90	в науке	4	2
91	в его	12	2
92	всяком случае	5	2
93	все те	2	2
