N	2gram	Ircho_Kome_2	Literetu
1	не только	7	24
2	в качестве	5	17
3	но и	10	17
4	в том	11	16
5	в частности	4	15
6	том что	9	14
7	может быть	11	13
8	и не	14	12
9	в этом	10	12
10	прежде всего	4	11
11	в своем	6	11
12	то что	6	10
13	или иначе	3	9
14	так или	3	8
15	не в	2	8
16	в целом	4	8
17	и в	26	8
18	только в	4	8
19	как это	4	8
20	не менее	4	7
21	в его	4	7
22	как бы	2	7
23	и я	2	6
24	как и	4	6
25	и сам	3	6
26	связи с	3	6
27	себя в	3	6
28	точки зрения	4	6
29	с его	5	5
30	с этой	3	5
31	что он	5	5
32	же в	4	5
33	же время	3	5
34	как в	3	5
35	не может	3	5
36	то же	3	5
37	в отличие	2	5
38	уже в	4	5
39	одним из	2	5
40	в то	6	5
41	отличие от	2	5
42	столь же	9	4
43	это не	2	4
44	в конце	2	4
45	в силу	2	4
46	но не	3	4
47	еще не	6	4
48	еще в	4	4
49	все же	4	4
50	из них	7	4
51	в своей	3	4
52	со стороны	2	4
53	так и	12	4
54	в связи	3	4
55	друг друга	3	4
56	и его	12	4
57	в этой	3	4
58	с собой	2	4
59	не было	3	3
60	что в	9	3
61	и есть	2	3
62	с другой	2	3
63	да и	3	3
64	что его	3	3
65	одна из	2	3
66	с их	4	3
67	например в	3	3
68	в самом	4	3
69	у него	4	3
70	один из	5	3
71	жизни и	3	3
72	всего в	2	3
73	ли не	7	3
74	в их	3	3
75	при всем	3	3
76	по отношению	3	3
77	а в	3	3
78	таким образом	6	3
79	более чем	4	3
80	в принципе	2	3
81	той же	3	3
82	потому что	6	3
83	во всяком	2	3
84	одно из	2	3
85	но в	3	3
86	его в	4	3
87	тех же	3	3
88	в виду	2	3
89	мира в	4	3
90	на этом	2	2
91	отнюдь не	2	2
92	однако в	2	2
93	так называемых	2	2
94	из этих	4	2
95	в мире	2	2
96	к тому	12	2
97	тому же	11	2
98	из его	2	2
99	х годов	2	2
100	чуть ли	2	2
101	в поле	3	2
102	со временем	3	2
103	того же	3	2
104	своего времени	2	2
105	одной стороны	2	2
106	было бы	8	2
107	по поводу	3	2
108	всяком случае	2	2
109	даже в	2	2
110	не является	2	2
111	говоря уже	2	2
112	в нем	6	2
113	то это	2	2
114	отношению к	3	2
115	не говоря	2	2
116	с одной	2	2
117	хотя бы	2	2
118	что для	4	2
119	роль в	2	2
120	можно было	4	2
121	между тем	4	2
122	нового времени	2	2
123	тем что	3	2
124	на себя	7	2
125	как будто	4	2
126	как правило	3	2
127	на это	2	2
128	о том	6	2
129	как он	3	2
