N	2gram	Bakhtin_Pr_2	Marksizm
1	может быть	18	28
2	и пр	2	25
3	и в	45	19
4	как бы	15	19
5	и не	42	19
6	не может	24	18
7	в процессе	2	18
8	точки зрения	19	17
9	то же	5	16
10	и его	8	16
11	как мы	8	15
12	в этом	20	15
13	таким образом	11	14
14	лишь в	2	14
15	в сущности	7	14
16	так сказать	7	14
17	не только	16	13
18	с точки	9	13
19	в нем	20	11
20	если бы	2	11
21	вовсе не	7	11
22	не в	8	10
23	в пределах	4	10
24	но и	15	10
25	том что	7	10
26	так и	3	10
27	и т.п	6	10
28	для него	9	9
29	при этом	2	9
30	в основе	2	9
31	как и	14	9
32	на почве	4	9
33	самом деле	4	9
34	а не	10	9
35	слова в	4	8
36	же время	3	8
37	не является	3	8
38	по отношению	8	8
39	в то	5	8
40	с его	8	8
41	чужое слово	3	8
42	отношению к	8	8
43	только в	9	8
44	никогда не	17	7
45	в том	8	7
46	его в	3	7
47	но в	6	7
48	и более	2	7
49	прежде всего	11	7
50	одна из	3	7
51	и для	2	7
52	в таком	3	7
53	в смысле	2	6
54	ни в	2	6
55	и как	2	6
56	в самом	13	6
57	и следовательно	7	6
58	более того	5	6
59	мы уже	3	6
60	во всех	4	6
61	хотя бы	5	6
62	мы можем	4	6
63	в большинстве	2	5
64	или иной	3	5
65	в контексте	2	5
66	к нему	11	5
67	в форме	2	5
68	в их	4	5
69	как слово	5	5
70	так же	5	5
71	и на	7	5
72	и здесь	2	5
73	большинстве случаев	2	5
74	лишь на	2	5
75	к этому	4	5
76	в его	22	5
77	этого слова	2	5
78	все же	4	5
79	в той	3	5
80	выражение в	3	5
81	должна быть	3	4
82	это не	3	4
83	одного и	2	4
84	на то	2	4
85	о слове	2	4
86	той или	3	4
87	все те	2	4
88	то что	5	4
89	мы видели	3	4
90	и их	6	4
91	того что	3	4
92	с ними	4	4
93	сказать что	5	4
94	бы в	5	4
95	авторской речи	2	4
96	а как	4	4
97	как раз	6	4
98	смысле этого	2	4
99	из одного	2	4
100	что он	7	4
101	было бы	4	4
102	конечно не	6	4
103	для себя	3	4
104	связь с	2	4
105	и ее	7	4
106	в себе	5	4
107	и т.д	3	4
108	ничего не	3	4
109	перед нами	4	3
110	в этих	4	3
111	характерно что	2	3
112	и от	3	3
113	для понимания	2	3
114	в ней	7	3
115	за пределы	5	3
116	в котором	7	3
117	его и	3	3
118	а в	3	3
119	все эти	4	3
120	не имеет	3	3
121	должно быть	4	3
122	чем же	2	3
123	не было	2	3
124	в истории	2	3
125	но ведь	3	3
126	о том	3	3
127	так как	5	3
128	слово в	3	3
129	сознания и	6	3
130	не как	6	3
131	по себе	8	3
132	конечно в	2	3
133	оценки и	2	3
134	в ее	3	3
135	у нас	2	3
136	мы сказали	3	3
137	до сих	2	3
138	еще не	9	3
139	одной из	2	3
140	бы он	2	3
141	он не	9	3
142	относится к	2	3
143	и до	4	3
144	что и	5	3
145	не есть	2	3
146	в своей	6	3
147	мысли и	3	3
148	только что	2	3
149	нами в	4	3
150	на материале	3	3
151	на основе	2	3
152	слово и	2	3
153	с другими	7	3
154	нашей работы	2	3
155	могут быть	4	3
156	сих пор	2	3
157	уже в	4	2
158	все время	3	2
159	что в	6	2
160	неотделим от	2	2
161	в нашем	2	2
162	точку зрения	5	2
163	в одной	5	2
164	не знает	4	2
165	что они	3	2
166	до конца	7	2
167	не так	2	2
168	и у	2	2
169	идеологического творчества	2	2
170	одним из	3	2
171	они могут	3	2
172	и категории	2	2
173	в зависимости	3	2
174	другими словами	2	2
175	жизни и	15	2
176	в своем	5	2
177	в особенности	2	2
178	отношения к	2	2
179	всегда и	2	2
180	именно в	3	2
181	они не	2	2
182	и даже	3	2
183	можем сказать	2	2
184	друг друга	7	2
185	как на	2	2
186	рядом с	3	2
187	конечно и	2	2
188	опирается на	2	2
189	нам важно	2	2
190	и с	7	2
191	по крайней	2	2
192	даже и	2	2
193	он и	4	2
194	но как	2	2
195	в начале	2	2
196	все то	2	2
197	правильного понимания	2	2
198	то есть	50	2
199	иной степени	2	2
200	у него	6	2
201	лежит в	2	2
202	в жизни	3	2
203	зависимости от	3	2
204	но не	6	2
205	подход к	2	2
206	силой и	2	2
207	здесь в	2	2
208	лишь там	2	2
209	и о	2	2
210	и потому	6	2
211	в диалоге	3	2
212	и особенно	2	2
213	крайней мере	2	2
214	себя в	2	2
215	и прежде	2	2
216	всем этим	2	2
217	не на	4	2
218	бы не	3	2
219	или же	2	2
220	а с	3	2
221	что не	5	2
222	и эта	3	2
223	ко всем	2	2
224	и он	3	2
225	между ними	4	2
226	или в	2	2
227	тем что	2	2
228	вступает в	4	2
229	на протяжении	3	2
230	может стать	2	2
231	все его	3	2
232	далеко не	4	2
233	бытия в	2	2
234	там где	6	2
235	от него	3	2
236	это было	2	2
