N	2gram	Vinokur_St_1	Vladivir
1	и в	44	40
2	то что	18	28
3	и не	16	25
4	не только	18	25
5	то есть	2	24
6	у него	2	24
7	но и	10	18
8	в том	36	18
9	том что	29	18
10	еще и	2	18
11	что в	30	17
12	также и	9	17
13	в этом	21	16
14	так что	6	14
15	в его	9	14
16	не может	8	14
17	точки зрения	11	13
18	вовсе не	19	13
19	в виде	3	13
20	только в	10	13
21	а именно	3	12
22	сказать что	7	12
23	даже и	2	12
24	в конце	3	12
25	никогда не	5	11
26	таким образом	7	11
27	потому что	6	11
28	о том	17	11
29	прежде всего	7	10
30	тем не	2	10
31	ни в	3	10
32	то это	3	10
33	и потому	2	10
34	как раз	4	10
35	и его	8	10
36	не менее	5	9
37	что это	4	9
38	есть только	2	9
39	и с	3	9
40	и то	5	9
41	в своей	6	9
42	что же	6	9
43	в себе	2	9
44	в своем	2	8
45	в этой	11	8
46	для него	6	8
47	может быть	15	8
48	так же	5	8
49	и что	4	8
50	он не	2	8
51	а также	2	8
52	а не	16	8
53	что все	2	7
54	несмотря на	2	7
55	а в	17	7
56	в своих	2	7
57	так как	5	7
58	того что	9	7
59	в то	9	7
60	что и	6	7
61	как и	9	7
62	да и	3	6
63	и даже	5	6
64	об этом	3	6
65	то в	3	6
66	так и	9	6
67	если не	2	6
68	хотя бы	6	6
69	с точки	8	6
70	но это	6	6
71	и это	2	6
72	значит что	3	6
73	с другой	9	5
74	для нас	7	5
75	совсем не	2	5
76	но если	4	5
77	отношения к	2	5
78	в отношении	9	5
79	не было	4	5
80	все эти	5	5
81	в ней	3	5
82	в истории	3	5
83	же касается	3	5
84	что он	10	5
85	у нас	11	5
86	между прочим	2	5
87	для себя	3	5
88	можно было	13	5
89	в данном	14	5
90	тем что	5	5
91	ничего общего	3	5
92	дело в	6	5
93	ничего не	2	5
94	тому что	3	4
95	вопрос о	4	4
96	на то	4	4
97	и можно	2	4
98	такой же	5	4
99	такого рода	2	4
100	в самом	7	4
101	ведь если	2	4
102	в котором	5	4
103	не имеет	4	4
104	бы и	4	4
105	в результате	3	4
106	однако и	2	4
107	при помощи	2	4
108	как это	4	4
109	и все	2	4
110	по существу	2	4
111	чем в	3	4
112	но не	3	4
113	то время	2	4
114	еще не	3	4
115	было бы	17	4
116	даже в	3	4
117	говорит о	3	4
118	то же	5	4
119	а с	3	4
120	в каком	3	4
121	все же	8	4
122	но в	10	4
123	по мнению	3	4
124	уже в	2	3
125	я не	7	3
126	же как	3	3
127	в качестве	4	3
128	это не	8	3
129	из этих	6	3
130	но все	4	3
131	является не	4	3
132	одной стороны	2	3
133	при этом	2	3
134	но для	2	3
135	как бы	4	3
136	всяком случае	6	3
137	и тем	3	3
138	в нем	5	3
139	к нему	2	3
140	ни с	3	3
141	и только	3	3
142	с одной	3	3
143	именно в	6	3
144	что здесь	2	3
145	в россии	4	3
146	мы имеем	2	3
147	нисколько не	2	3
148	если бы	9	3
149	по этому	3	3
150	говорит в	2	3
151	за пределы	2	3
152	не все	3	3
153	даже не	4	3
154	самого же	2	3
155	на самом	6	3
156	того чтобы	11	3
157	и у	2	3
158	не в	12	3
159	и для	3	3
160	в таком	3	3
161	что этот	2	3
162	во всяком	6	3
163	и вообще	3	3
164	в чем	3	3
165	но на	2	2
166	должна быть	3	2
167	в сторону	2	2
168	можно ли	4	2
169	в этих	2	2
170	имеет ничего	2	2
171	в какой	3	2
172	с этой	3	2
173	же это	3	2
174	что на	2	2
175	он был	3	2
176	же время	4	2
177	должен был	2	2
178	же и	4	2
179	на эти	7	2
180	так или	2	2
181	не является	3	2
182	в целом	5	2
183	и за	3	2
184	что она	4	2
185	другой стороны	7	2
186	мы находим	4	2
187	свободен от	2	2
188	и по	5	2
189	и вполне	3	2
190	по его	2	2
191	время как	2	2
192	этом отношении	7	2
193	можно найти	2	2
194	больше чем	2	2
195	и так	3	2
196	что касается	3	2
197	в начале	3	2
198	по своей	2	2
199	что мы	5	2
200	ни на	2	2
201	его в	2	2
202	то не	2	2
203	могло бы	2	2
204	нет ни	2	2
205	только с	2	2
206	не существует	3	2
207	бы это	2	2
208	и более	2	2
209	с этим	3	2
210	быть в	2	2
211	не хочет	2	2
212	а то	2	2
213	того же	3	2
214	она не	2	2
215	из них	8	2
216	совершенно не	5	2
217	в сущности	2	2
218	общего с	3	2
219	со стороны	6	2
220	как можно	2	2
221	данном случае	6	2
222	быть и	2	2
223	на него	2	2
224	и речи	2	2
225	но с	3	2
226	и сейчас	4	2
227	тем самым	2	2
228	для того	10	2
229	свидетельствует о	2	2
230	мы не	2	2
231	или иначе	2	2
232	от этого	2	2
233	в другом	3	2
234	без всякой	3	2
235	что эта	2	2
236	а если	2	2
237	в которой	4	2
238	о значении	3	2
239	его статьи	2	2
