N	2gram	Nazirov_Tr_1	FransuaR
1	и в	18	56
2	то есть	3	24
3	в романе	10	21
4	в его	3	18
5	все эти	3	15
6	в этом	9	14
7	в том	2	13
8	так и	5	13
9	и его	6	12
10	он был	2	12
11	в то	5	12
12	до конца	2	11
13	как бы	7	11
14	то же	5	11
15	же время	6	10
16	еще не	4	10
17	и до	2	10
18	в самом	2	9
19	но и	4	9
20	и не	7	9
21	том что	4	8
22	не только	8	8
23	в нем	4	8
24	все это	4	8
25	и даже	4	8
26	и с	7	8
27	в частности	2	7
28	у него	6	7
29	и на	7	7
30	прежде всего	4	6
31	в ее	2	6
32	в этой	4	6
33	потому что	2	6
34	и все	4	6
35	но в	6	6
36	с его	2	5
37	никогда не	2	5
38	с ее	3	5
39	как и	5	5
40	он не	2	5
41	один из	3	5
42	своего рода	3	5
43	что в	4	5
44	что все	2	4
45	не был	2	4
46	что это	5	4
47	и ее	2	4
48	в себе	4	4
49	при этом	3	4
50	о том	2	4
51	одна из	2	4
52	перед нами	2	3
53	в своем	3	3
54	в образе	6	3
55	и здесь	2	3
56	так что	2	3
57	может быть	7	3
58	не мог	2	3
59	что и	2	3
60	то что	4	3
61	не просто	2	3
62	в году	9	3
63	уже не	2	3
64	времени в	2	3
65	не в	2	3
66	в виде	2	2
67	это не	5	2
68	уже в	3	2
69	в одном	2	2
70	что он	6	2
71	бы и	2	2
72	ни в	2	2
73	говорит о	2	2
74	и как	3	2
75	но это	4	2
76	для него	3	2
77	и сам	3	2
78	несмотря на	5	2
79	все же	5	2
80	в мире	3	2
81	данном случае	2	2
82	что она	2	2
83	так же	4	2
84	не может	5	2
85	к нему	3	2
86	его в	2	2
87	эпизод с	3	2
88	в данном	2	2
89	и то	2	2
90	он и	2	2
91	что эти	2	2
92	с тем	2	2
93	с ним	3	2
94	это очень	5	2
