N	3gram	Tiupa_Narr_1	Analitik
1	в том что	8	7
2	по отношению к	6	7
3	так и не	2	5
4	о том что	6	5
5	с другой стороны	4	5
6	мы имеем дело	2	4
7	в свою очередь	3	4
8	то же время	3	3
9	в данном случае	4	3
10	в этом отношении	3	3
11	той или иной	4	3
12	к тому же	4	3
13	в то же	3	3
14	отношения к сообщаемому	2	2
15	в отличие от	5	2
16	можно сказать что	4	2
17	в значительной степени	2	2
18	как к содержанию	2	2
19	и в форме	2	2
20	индивидуального речевого замысла	2	2
21	кто говорит и	2	2
22	в конечном счете	2	2
23	со стороны адресата	2	2
24	с точки зрения	2	2
25	сказания или анекдота	2	2
26	подобно тому как	2	2
27	жанры как формы	2	2
28	в этом ряду	2	2
29	с одной стороны	7	2
30	креативная компетенция жанра	2	2
31	тем не менее	3	2
