N	2gram	Bakhtin_Pr_1	UchenyiS
1	и в	38	14
2	формальный метод	3	11
3	а не	5	10
4	не только	9	10
5	и не	42	8
6	прежде всего	13	8
7	то что	8	7
8	в этом	15	7
9	не может	27	7
10	в искусстве	12	6
11	может быть	26	6
12	эстетического объекта	37	6
13	в художественном	20	5
14	хотя бы	4	5
15	художественное произведение	8	5
16	художественного творчества	12	5
17	перестает быть	4	5
18	все это	3	5
19	и только	4	5
20	то же	5	5
21	но и	9	4
22	конечном счете	4	4
23	в их	10	4
24	в россии	2	4
25	конечно не	5	4
26	с другой	7	4
27	в конечном	4	4
28	как такового	3	3
29	но в	4	3
30	как и	7	3
31	все же	6	3
32	не следует	2	3
33	в своей	7	3
34	в частности	2	3
35	бы то	3	3
36	то ни	3	3
37	же время	3	3
38	другой стороны	4	3
39	это не	5	3
40	в то	4	3
41	было бы	8	3
42	этой области	2	3
43	в области	11	3
44	ни было	3	3
45	или точнее	2	3
46	у нас	2	3
47	но конечно	4	2
48	для поэзии	4	2
49	форму и	2	2
50	том что	3	2
51	но не	12	2
52	в том	8	2
53	не все	2	2
54	художественной формы	9	2
55	по существу	2	2
56	художественного произведения	11	2
57	с его	2	2
58	не есть	6	2
59	не в	7	2
60	и для	11	2
61	но это	3	2
62	должна быть	4	2
63	представляется нам	2	2
64	этом смысле	3	2
65	словесного творчества	2	2
66	если бы	3	2
67	только в	13	2
68	искусства как	2	2
69	и с	17	2
70	тем что	2	2
71	материала и	2	2
72	могут быть	5	2
73	их и	2	2
74	что он	2	2
75	все они	5	2
76	вопроса о	3	2
77	и у	2	2
78	в себе	4	2
79	формы и	5	2
80	в противном	3	2
81	материальной эстетики	11	2
82	же самое	2	2
83	что все	2	2
84	этом отношении	2	2
85	в самом	7	2
86	художественном творчестве	10	2
87	не могут	2	2
88	художественных произведений	2	2
89	в некоторых	2	2
90	ничего не	6	2
91	материал как	2	2
92	самом деле	6	2
93	а как	3	2
94	что и	2	2
95	в его	43	2
96	противном случае	3	2
97	между тем	7	2
98	на первый	2	2
99	таким образом	10	2
100	художественном произведении	5	2
101	как таковой	2	2
