N	2gram	Tiupa_Disk_2	Marksizm
1	точки зрения	4	34
2	может быть	16	26
3	и не	15	26
4	не может	9	24
5	с точки	2	20
6	и в	16	19
7	и его	3	19
8	в этом	16	16
9	как бы	4	15
10	прежде всего	7	13
11	как и	16	12
12	так и	9	11
13	и для	2	11
14	в нем	7	10
15	и т.п	12	10
16	для него	5	9
17	в результате	2	9
18	внутренней речи	3	9
19	только в	3	9
20	при этом	17	8
21	в контексте	3	8
22	но и	11	8
23	не только	10	8
24	все же	6	8
25	то что	5	8
26	все эти	3	7
27	но в	11	7
28	то же	6	7
29	а не	14	7
30	в том	8	6
31	является не	2	6
32	в пределах	4	6
33	другой стороны	2	6
34	отнюдь не	6	6
35	того же	2	6
36	в его	3	6
37	на почве	2	6
38	и того	3	6
39	с другой	5	5
40	одного и	3	5
41	именно в	2	5
42	не в	3	5
43	общения и	2	5
44	и все	3	5
45	к этому	4	5
46	по преимуществу	2	5
47	в отличие	12	5
48	входит в	2	5
49	отличие от	12	5
50	что в	5	4
51	не менее	7	4
52	в ней	2	4
53	не является	4	4
54	не столько	3	4
55	а в	2	4
56	и на	5	4
57	жизни в	3	4
58	еще не	6	4
59	что же	2	4
60	как в	8	4
61	в языке	2	4
62	в данном	7	4
63	далеко не	2	4
64	место в	2	3
65	этом отношении	4	3
66	одного из	4	3
67	здесь в	3	3
68	или иной	3	3
69	можно сказать	3	3
70	и как	3	3
71	в большинстве	2	3
72	же время	5	3
73	момент в	2	3
74	в котором	3	3
75	из них	3	3
76	все это	2	3
77	по отношению	4	3
78	не было	3	3
79	между тем	2	3
80	в то	5	3
81	его в	3	3
82	этом случае	2	3
83	том что	10	3
84	он не	3	3
85	в своей	6	3
86	сводится к	2	3
87	речи в	2	3
88	и ее	3	3
89	и это	2	3
90	в области	2	3
91	же как	2	2
92	должна быть	2	2
93	в частности	12	2
94	никогда не	2	2
95	в своем	5	2
96	ни в	7	2
97	из важнейших	2	2
98	совпадает с	2	2
99	с ее	2	2
100	жизни и	3	2
101	значение не	2	2
102	ситуации и	2	2
103	должно быть	2	2
104	в своих	6	2
105	из виду	3	2
106	из этих	3	2
107	к его	4	2
108	о том	4	2
109	речевых жанров	3	2
110	и с	2	2
111	в основе	4	2
112	ни к	5	2
113	и всякое	2	2
114	нового времени	5	2
115	но при	2	2
116	что он	2	2
117	в себе	19	2
118	в качестве	16	2
119	на первый	2	2
120	что и	2	2
121	отношению к	4	2
122	и прежде	2	2
123	для данного	3	2
124	человека в	4	2
125	к своему	2	2
126	мира и	4	2
127	той же	2	2
128	могут быть	3	2
129	в другом	3	2
130	не знает	3	2
131	в русской	3	2
132	жизни но	3	2
