N	2gram	Losev_Prob_4	Komedia
1	и в	20	26
2	и не	28	14
3	едва ли	10	14
4	к тому	3	12
5	так и	10	12
6	и его	10	12
7	в том	20	11
8	тому же	2	11
9	может быть	9	11
10	но и	14	10
11	в этом	9	10
12	что в	3	9
13	столь же	2	9
14	том что	12	9
15	если бы	8	9
16	вместе с	5	9
17	ясно что	7	8
18	было бы	14	8
19	и на	3	7
20	из них	3	7
21	не только	24	7
22	что и	3	7
23	в своем	3	6
24	то что	15	6
25	еще не	7	6
26	в нем	5	6
27	того чтобы	2	6
28	потому что	15	6
29	в то	4	6
30	о том	5	6
31	таким образом	8	6
32	с его	2	5
33	с тем	4	5
34	независимо от	3	5
35	в которой	2	5
36	что он	8	5
37	в качестве	10	5
38	ни в	17	5
39	в истории	3	5
40	с этим	4	5
41	для того	3	5
42	так что	6	5
43	и с	7	5
44	уже в	4	4
45	не менее	10	4
46	в частности	2	4
47	в этих	5	4
48	в них	5	4
49	и от	6	4
50	прежде всего	11	4
51	как мы	3	4
52	же в	4	4
53	меньше всего	3	4
54	как и	6	4
55	как будто	11	4
56	одной из	4	4
57	хотя и	5	4
58	в его	3	4
59	все же	2	4
60	в самом	2	4
61	и для	4	4
62	можно было	4	4
63	точки зрения	14	4
64	в начале	3	4
65	только в	23	4
66	что это	2	4
67	так как	5	4
68	как это	3	4
69	его в	2	4
70	это было	2	4
71	для всех	3	3
72	представить себе	2	3
73	то время	2	3
74	но если	6	3
75	жизни и	5	3
76	что его	4	3
77	но все	3	3
78	связи с	3	3
79	но не	5	3
80	того же	2	3
81	во всех	4	3
82	здесь в	5	3
83	для нас	6	3
84	со своей	2	3
85	никто не	2	3
86	из которых	3	3
87	в обоих	2	3
88	да и	5	3
89	в ней	7	3
90	в котором	2	3
91	не имеет	4	3
92	себя в	2	3
93	в своей	4	3
94	все это	9	3
95	дело с	2	3
96	в связи	3	3
97	то же	7	3
98	не было	3	3
99	как в	5	3
100	в самой	4	3
101	к нему	3	3
102	друг друга	2	3
103	а в	4	3
104	или в	5	3
105	человека в	3	3
106	тем что	3	3
107	не может	5	3
108	в этой	4	3
109	но в	8	3
110	мы можем	3	3
111	за собой	2	2
112	все время	2	2
113	ни было	2	2
114	и есть	4	2
115	отнюдь не	10	2
116	однако в	2	2
117	в нашем	12	2
118	в какой	4	2
119	с другой	7	2
120	это не	7	2
121	в конце	2	2
122	в одном	4	2
123	этом смысле	3	2
124	с собой	3	2
125	вовсе не	21	2
126	и жизнь	2	2
127	что именно	2	2
128	нет и	2	2
129	то это	3	2
130	и к	3	2
131	об этом	6	2
132	он был	3	2
133	в ее	5	2
134	не в	13	2
135	речь о	2	2
136	является не	2	2
137	тот же	2	2
138	по своему	6	2
139	достаточно ясно	2	2
140	в это	2	2
141	и если	5	2
142	каждой из	2	2
143	ни одна	2	2
144	он не	2	2
145	как бы	4	2
146	не вполне	2	2
147	всяком случае	4	2
148	время как	2	2
149	не является	10	2
150	говоря уже	2	2
151	хотя бы	7	2
152	и т	4	2
153	и это	2	2
154	сказать о	3	2
155	не говоря	3	2
156	что она	4	2
157	если не	3	2
158	еще более	2	2
159	мы находим	2	2
160	то ли	2	2
161	в той	8	2
162	и что	2	2
163	бы и	3	2
164	в других	2	2
165	мы не	7	2
166	с ними	2	2
167	тут же	3	2
168	во всяком	8	2
169	и во	4	2
170	и ее	4	2
171	к его	3	2
172	говорить о	2	2
173	и все	8	2
174	из этого	3	2
175	мы имеем	6	2
176	по содержанию	2	2
177	в виду	6	2
