N	2gram	Losev_Vlad_2	StatiiOP
1	и в	30	29
2	том что	12	27
3	в том	18	27
4	в этом	20	21
5	но и	8	19
6	что в	12	19
7	не только	12	19
8	о том	4	17
9	что он	13	13
10	в его	11	13
11	между прочим	7	12
12	то что	20	11
13	все это	5	11
14	в которой	4	11
15	к тому	2	10
16	таким образом	3	10
17	в своем	8	9
18	так и	5	9
19	и не	18	9
20	потому что	9	9
21	он не	4	9
22	по поводу	4	8
23	письме к	4	8
24	но в	8	8
25	но все	2	7
26	с тем	2	7
27	в самом	2	7
28	в ней	4	7
29	в виду	2	7
30	в котором	5	7
31	я не	4	7
32	в своей	5	7
33	вместе с	8	7
34	того как	2	7
35	для того	2	7
36	не столько	3	7
37	об этом	6	6
38	вовсе не	4	6
39	все же	9	6
40	в течение	5	6
41	и что	5	6
42	того чтобы	2	6
43	и его	6	6
44	и на	4	6
45	в письме	8	5
46	о чем	6	5
47	прежде всего	6	5
48	в той	2	5
49	было бы	9	5
50	как бы	5	5
51	а не	7	5
52	того что	5	5
53	точки зрения	7	5
54	г в	2	5
55	именно в	4	4
56	должен был	3	4
57	в частности	2	4
58	к этому	6	4
59	разумеется что	2	4
60	не в	9	4
61	после того	2	4
62	для него	9	4
63	кроме того	9	4
64	и к	6	4
65	и о	4	4
66	хотя и	6	4
67	в нем	4	4
68	дело в	3	4
69	в печати	2	4
70	еще более	3	4
71	ничего не	2	4
72	связи с	8	4
73	и с	14	4
74	в общем	2	3
75	не менее	7	3
76	не был	2	3
77	вот что	4	3
78	что это	4	3
79	в этих	4	3
80	но он	3	3
81	с этим	5	3
82	по себе	5	3
83	ни в	7	3
84	не мог	8	3
85	у нас	6	3
86	так что	5	3
87	но это	4	3
88	в начале	4	3
89	как у	2	3
90	но не	3	3
91	до конца	7	3
92	кажется что	2	3
93	наконец в	3	3
94	никогда не	7	3
95	и даже	10	3
96	всяком случае	6	3
97	года в	6	3
98	как в	3	3
99	в их	2	3
100	не было	10	3
101	еще и	6	3
102	в году	24	3
103	и он	4	3
104	и по	2	3
105	хотя бы	3	3
106	так же	4	3
107	его не	2	3
108	во всяком	6	3
109	в россии	3	3
110	не то	3	3
111	в отношении	3	2
112	отрывок из	2	2
113	с его	4	2
114	в рукописи	2	2
115	борьба с	2	2
116	в них	3	2
117	с этой	4	2
118	если не	2	2
119	в конце	13	2
120	в чисто	2	2
121	и я	5	2
122	меня в	2	2
123	что и	3	2
124	тем не	6	2
125	он был	6	2
126	по существу	3	2
127	как и	5	2
128	и как	3	2
129	из его	2	2
130	в этой	4	2
131	что я	3	2
132	в москве	6	2
133	в то	9	2
134	по своему	2	2
135	и сам	2	2
136	в это	4	2
137	несмотря на	4	2
138	на его	4	2
139	такого рода	2	2
140	может быть	7	2
141	в статье	2	2
142	том же	3	2
143	никак не	3	2
144	и потому	2	2
145	а также	10	2
146	еще в	2	2
147	на то	2	2
148	даже в	2	2
149	только в	6	2
150	не могли	3	2
151	также и	6	2
152	ни с	2	2
153	со стороны	4	2
154	или менее	3	2
155	письма к	4	2
156	судить по	4	2
157	не на	2	2
158	не может	9	2
159	то же	4	2
160	все эти	5	2
161	при этом	5	2
162	в отличие	3	2
163	на первом	2	2
164	более или	3	2
165	письмо к	2	2
166	на этот	4	2
167	не имеет	2	2
168	с точки	3	2
169	а к	2	2
170	французском языке	3	2
171	где он	3	2
172	в данном	3	2
173	в результате	5	2
174	сказать что	11	2
175	которую он	7	2
176	с и	2	2
177	это время	4	2
178	на меня	2	2
179	в себе	6	2
180	и вообще	10	2
181	было для	2	2
182	его в	4	2
183	как он	2	2
184	и это	3	2
185	так как	5	2
186	как это	7	2
187	того же	5	2
188	отличие от	3	2
189	в области	3	2
190	это было	4	2
