N	2gram	Tiupa_Narr_1	VelikijI
1	и не	23	20
2	и в	11	16
3	то что	9	9
4	еще не	4	8
5	а не	13	7
6	в мире	4	5
7	хотя и	4	5
8	как бы	6	5
9	но и	27	5
10	того что	4	5
11	на себя	4	5
12	что он	3	4
13	в нем	4	4
14	как и	13	4
15	все что	2	4
16	что мы	2	4
17	так и	5	4
18	что не	2	4
19	потому что	5	4
20	в этом	12	4
21	в ней	4	4
22	и все	3	4
23	в его	6	4
24	с его	4	3
25	если не	2	3
26	что в	3	3
27	в этих	2	3
28	в конце	2	3
29	в жизни	3	3
30	в том	8	3
31	не в	6	3
32	к тому	6	3
33	никогда не	4	3
34	оно не	2	3
35	жизни и	6	3
36	в своей	5	3
37	не было	3	3
38	лишь в	3	3
39	к чему	3	3
40	не имеет	2	3
41	хотя бы	2	3
42	и для	2	3
43	их в	3	3
44	в чем	2	3
45	но в	7	3
46	тот кто	2	2
47	его и	2	2
48	это не	3	2
49	прежде всего	4	2
50	да и	2	2
51	том что	7	2
52	одна из	4	2
53	но не	4	2
54	они и	2	2
55	для него	4	2
56	для них	2	2
57	когда в	3	2
58	того чтобы	4	2
59	не только	31	2
60	значения и	2	2
61	своей истории	2	2
62	в смысл	2	2
63	один из	6	2
64	не будет	2	2
65	в форме	2	2
66	и тогда	2	2
67	все равно	2	2
68	мы не	3	2
69	уже не	8	2
70	а в	13	2
71	с ним	2	2
72	и то	3	2
73	между тем	3	2
74	только в	12	2
75	от этих	2	2
76	во всяком	2	2
77	мира в	4	2
