N	2gram	Vygotskiy__3	Analitik
1	в качестве	2	31
2	может быть	19	29
3	в том	25	27
4	не может	7	22
5	и не	10	21
6	и в	38	18
7	а не	7	17
8	но и	5	17
9	представляет собой	2	16
10	отнюдь не	2	15
11	не только	12	15
12	не в	12	14
13	как и	8	13
14	в его	5	13
15	в этом	13	13
16	том что	14	12
17	при этом	4	12
18	состоит в	3	11
19	в себе	4	11
20	то есть	15	11
21	то же	10	9
22	а в	7	9
23	иначе говоря	5	9
24	в то	3	9
25	в той	5	8
26	но в	3	8
27	к тому	6	7
28	этого слова	2	7
29	в самом	25	6
30	в сущности	10	6
31	далеко не	3	6
32	должен быть	3	6
33	то что	35	6
34	в своей	5	6
35	в основе	3	6
36	точки зрения	16	6
37	только в	4	6
38	и как	8	5
39	в этой	13	5
40	что в	20	5
41	имеет место	2	5
42	как бы	14	5
43	в целом	4	5
44	и его	6	5
45	между тем	7	5
46	и на	6	5
47	о том	6	5
48	того что	4	4
49	и более	2	4
50	столь же	2	4
51	с другой	7	4
52	ни в	3	4
53	того же	3	4
54	для того	8	4
55	все же	8	4
56	вместе с	5	4
57	уже не	2	4
58	не более	2	4
59	из которых	4	4
60	с точки	9	4
61	в другом	5	4
62	с ним	2	4
63	место в	3	3
64	не могут	2	3
65	и одновременно	2	3
66	хотя бы	2	3
67	и все	10	3
68	в нем	4	3
69	и к	3	3
70	обратиться к	4	3
71	что он	11	3
72	она может	3	3
73	всякий раз	3	3
74	и т	14	3
75	в силу	2	3
76	одной стороны	5	3
77	что не	3	3
78	он не	6	3
79	в котором	6	3
80	дело не	2	3
81	что и	4	3
82	смысл и	4	3
83	таким образом	12	3
84	а с	2	3
85	с одной	6	3
86	того чтобы	9	3
87	что как	3	3
88	в таком	3	3
89	автора и	2	3
90	т п	5	3
91	могла бы	3	3
92	как будто	4	3
93	быть не	2	3
94	если бы	14	3
95	только для	3	2
96	и то	8	2
97	никогда не	4	2
98	все эти	4	2
99	между собой	2	2
100	для этого	2	2
101	в какой	5	2
102	из этих	3	2
103	не просто	2	2
104	была бы	2	2
105	вовсе не	8	2
106	том и	2	2
107	его к	2	2
108	что именно	2	2
109	такой же	2	2
110	для него	2	2
111	от своего	2	2
112	или не	2	2
113	было бы	12	2
114	несмотря на	5	2
115	и та	2	2
116	не могу	2	2
117	и о	3	2
118	совпадает с	2	2
119	одного из	2	2
120	один из	6	2
121	представляют собой	2	2
122	он может	2	2
123	не к	3	2
124	из них	6	2
125	данном случае	2	2
126	со стороны	2	2
127	что же	2	2
128	по выражению	2	2
129	другой стороны	5	2
130	на примере	2	2
131	здесь не	3	2
132	как к	2	2
133	на этом	5	2
134	бы не	3	2
135	же мере	2	2
136	отношения к	2	2
137	той же	2	2
138	в двух	9	2
139	на самом	2	2
140	для художественного	2	2
141	самом деле	21	2
142	может служить	7	2
143	едва ли	3	2
144	и по	2	2
145	следует что	2	2
146	как мы	7	2
147	все прочие	2	2
148	в данном	2	2
149	же самое	10	2
150	могли бы	5	2
151	при помощи	4	2
152	так как	6	2
153	думать что	2	2
154	потому что	14	2
155	в которой	5	2
156	перед собой	2	2
