N	2gram	Propp_Isto_3	Myshleni
1	то что	7	26
2	что он	9	25
3	в этом	17	25
4	потому что	3	21
5	таким образом	10	19
6	в том	9	18
7	не может	4	18
8	точки зрения	2	18
9	что в	15	16
10	и в	22	16
11	того что	5	16
12	так как	7	16
13	не только	14	16
14	так же	3	15
15	том что	8	15
16	сказать что	3	13
17	отношению к	2	12
18	вопрос о	2	12
19	по отношению	2	12
20	и не	12	12
21	и что	2	12
22	отношение к	4	11
23	в его	3	11
24	из того	2	11
25	но не	7	10
26	было бы	3	10
27	как мы	8	10
28	а не	6	10
29	в силу	2	10
30	только в	4	10
31	может быть	11	9
32	о том	3	8
33	как это	4	8
34	если бы	6	8
35	как и	3	8
36	мы должны	7	8
37	он не	5	8
38	то же	6	8
39	же как	2	7
40	и есть	2	7
41	в нем	9	7
42	но он	4	7
43	так и	2	7
44	представляет собой	3	7
45	не в	4	6
46	в этой	5	6
47	но и	12	6
48	и на	4	6
49	но в	10	6
50	у него	3	6
51	состоит в	3	6
52	к тому	3	6
53	этот вопрос	2	6
54	мы можем	6	6
55	в другом	2	6
56	никогда не	3	5
57	в своем	2	5
58	на все	2	5
59	показывает что	5	5
60	что они	8	5
61	еще более	2	5
62	в то	2	5
63	можно сказать	2	5
64	как в	2	5
65	тем что	4	5
66	ничего не	6	5
67	в самых	2	4
68	все эти	4	4
69	с другой	7	4
70	это не	6	4
71	то время	2	4
72	так что	5	4
73	в свою	4	4
74	в пределах	4	4
75	при этом	2	4
76	в целом	3	4
77	в свете	5	4
78	стоит в	2	4
79	не имеет	2	4
80	время как	2	4
81	мы видим	8	4
82	в качестве	2	4
83	еще не	10	4
84	вместе с	9	4
85	той же	2	4
86	и то	2	4
87	могут быть	5	4
88	такой же	2	4
89	не менее	5	3
90	в частности	5	3
91	перейти к	2	3
92	раньше чем	3	3
93	прежде всего	3	3
94	мы знаем	2	3
95	и как	3	3
96	но это	3	3
97	одной стороны	2	3
98	к нему	5	3
99	мы видели	13	3
100	его и	4	3
101	с одной	2	3
102	они не	4	3
103	а в	6	3
104	и с	4	3
105	в этих	11	3
106	между тем	2	3
107	и более	2	3
108	к жизни	2	3
109	с тем	2	3
110	только не	2	3
111	с этим	8	3
112	в одном	2	3
113	к этому	7	3
114	этом случае	5	3
115	все же	5	3
116	частный случай	2	3
117	что и	9	3
118	сих пор	5	3
119	ее в	3	3
120	на этом	4	3
121	вот почему	2	3
122	и его	4	3
123	имеет свою	3	3
124	связи с	6	3
125	в чем	3	3
126	до сих	5	3
127	я не	3	2
128	и другие	4	2
129	друг другу	2	2
130	что у	3	2
131	и от	3	2
132	происходит в	2	2
133	но все	2	2
134	предположить что	7	2
135	не дает	2	2
136	на его	3	2
137	не имеют	2	2
138	одним из	4	2
139	в ней	2	2
140	совершенно не	2	2
141	в котором	2	2
142	из них	7	2
143	представляют собой	4	2
144	что она	5	2
145	другой стороны	7	2
146	то и	6	2
147	образом в	2	2
148	и даже	2	2
149	или не	2	2
150	все равно	3	2
151	и здесь	7	2
152	лет в	4	2
153	но этот	2	2
154	на нее	3	2
155	их в	3	2
156	но они	2	2
157	в этот	2	2
158	их и	3	2
159	в них	6	2
160	представления о	2	2
161	что было	2	2
162	в жизни	2	2
163	если он	2	2
164	вовсе не	2	2
165	его в	3	2
166	стороны и	3	2
167	не с	2	2
168	то это	2	2
169	и к	3	2
170	видим что	4	2
171	и эти	3	2
172	же в	2	2
173	у нас	4	2
174	все что	3	2
175	жизни и	2	2
176	никто не	2	2
177	и потому	2	2
178	находится в	4	2
179	только на	2	2
180	тому же	2	2
181	должны были	3	2
182	почему в	3	2
183	его на	2	2
184	и потом	2	2
185	во всяком	2	2
186	ту же	2	2
187	как будто	2	2
