N	2gram	Losev_Vlad_3	VrazhdaK
1	в году	10	18
2	не только	25	9
3	в этом	16	8
4	и что	8	8
5	и в	40	8
6	но и	18	7
7	что в	17	7
8	то что	28	7
9	и все	4	7
10	в котором	4	6
11	в нем	3	6
12	все же	4	6
13	и даже	6	6
14	как и	7	6
15	в начале	2	6
16	но в	4	6
17	и с	9	6
18	то же	4	5
19	не было	5	5
20	и не	25	5
21	у него	24	5
22	об этом	6	5
23	в то	7	5
24	же время	2	5
25	в россии	3	5
26	во многом	2	4
27	уже в	3	4
28	для нас	5	4
29	как бы	3	4
30	это не	3	4
31	что он	5	4
32	так же	8	4
33	в своих	7	4
34	может быть	8	4
35	при этом	3	4
36	в истории	5	4
37	несмотря на	7	4
38	о том	11	4
39	в ней	5	4
40	в виду	3	4
41	в этот	2	3
42	я не	3	3
43	с его	2	3
44	связи с	2	3
45	который был	2	3
46	в своем	8	3
47	что есть	3	3
48	в связи	3	3
49	в конце	12	3
50	к этому	2	3
51	на то	4	3
52	в те	7	3
53	и у	3	3
54	он был	2	3
55	в том	18	3
56	и его	10	3
57	том что	18	3
58	и как	7	3
59	тем что	5	3
60	в его	14	3
61	далеко не	3	3
62	его в	2	3
63	наряду с	2	3
64	и о	4	3
65	в чем	3	3
66	он не	8	3
67	а с	4	2
68	он сам	2	2
69	в своей	9	2
70	и это	6	2
71	из них	2	2
72	не менее	9	2
73	никогда не	11	2
74	вместе с	7	2
75	отнюдь не	5	2
76	как раз	10	2
77	не может	14	2
78	по мнению	4	2
79	а в	7	2
80	отношения к	5	2
81	таким образом	11	2
82	а никольский	8	2
83	но это	6	2
84	там же	7	2
85	в в	2	2
86	уже не	9	2
87	году в	3	2
88	на первый	2	2
89	не мог	6	2
90	же не	2	2
91	мы знаем	3	2
92	с точки	6	2
93	же в	3	2
94	в этой	8	2
95	и то	9	2
96	об этой	2	2
97	же как	3	2
98	но как	2	2
99	точки зрения	13	2
100	в себе	9	2
101	для него	8	2
102	в нашей	2	2
103	еще не	4	2
104	в это	2	2
105	при помощи	4	2
106	в петербургском	2	2
107	в мире	2	2
108	те годы	2	2
109	а также	8	2
