N	2gram	Propp_Isto_5	Russkaja
1	не может	6	22
2	и не	11	19
3	в том	6	17
4	в этом	10	17
5	и в	25	14
6	с другом	2	14
7	друг с	2	14
8	то что	7	13
9	таким образом	9	11
10	то же	4	11
11	точки зрения	2	11
12	но и	13	10
13	в то	3	10
14	том что	8	9
15	не только	13	9
16	может быть	17	9
17	прежде всего	6	8
18	того чтобы	3	8
19	самом деле	2	7
20	в данном	3	7
21	мы должны	4	7
22	о том	7	7
23	и с	3	7
24	если бы	2	6
25	что он	22	6
26	и при	2	6
27	с тем	8	6
28	для того	3	6
29	если в	3	6
30	все это	4	6
31	и для	2	6
32	вопрос о	2	5
33	на то	2	5
34	и на	8	5
35	до сих	2	5
36	в своей	2	5
37	он не	4	5
38	никогда не	3	5
39	в нем	7	5
40	сих пор	2	5
41	во всех	2	5
42	по существу	2	5
43	из которых	2	5
44	а в	3	5
45	потому что	7	5
46	только в	7	5
47	но не	5	4
48	что в	8	4
49	тогда когда	2	4
50	как и	7	4
51	когда они	2	4
52	как бы	2	4
53	все же	10	4
54	себя в	6	4
55	жизни и	2	4
56	вместе с	22	4
57	со стороны	2	4
58	не в	6	4
59	в этой	3	4
60	во всем	2	4
61	в его	12	4
62	которой он	2	4
63	его в	9	4
64	так как	11	4
65	что это	5	3
66	на том	3	3
67	что все	4	3
68	таким же	2	3
69	о которых	2	3
70	этом случае	7	3
71	и как	3	3
72	то в	2	3
73	в качестве	7	3
74	еще не	8	3
75	несмотря на	2	3
76	том чтобы	2	3
77	знаем что	6	3
78	и потому	2	3
79	но мы	3	3
80	то это	3	3
81	что и	6	3
82	и т	20	3
83	из них	2	3
84	данном случае	2	3
85	того что	2	3
86	и по	2	3
87	друг друга	3	3
88	или в	6	3
89	тем что	10	3
90	в виде	9	3
91	связи с	8	3
92	одна из	2	3
93	чтобы она	2	2
94	в частности	7	2
95	у него	2	2
96	его и	2	2
97	с этим	5	2
98	у народов	9	2
99	ясно что	5	2
100	по себе	2	2
101	и вместе	2	2
102	уже не	11	2
103	так что	2	2
104	но это	7	2
105	всех людей	3	2
106	именно на	2	2
107	она не	2	2
108	совершенно не	2	2
109	но для	2	2
110	в ней	5	2
111	и тем	4	2
112	центр тяжести	2	2
113	на этой	4	2
114	для нас	5	2
115	в некоторых	4	2
116	время в	2	2
117	ее в	2	2
118	по отношению	2	2
119	если не	4	2
120	в течение	2	2
121	все эти	8	2
122	и что	8	2
123	а не	2	2
124	к нему	3	2
125	так же	5	2
126	в других	2	2
127	на которой	2	2
128	их в	3	2
129	мы можем	2	2
130	на себя	3	2
131	мы уже	4	2
132	во время	7	2
133	в таких	3	2
134	в этих	6	2
135	с ним	4	2
