N	2gram	Tiupa_Hudo_2	Mirosoze
1	и в	28	46
2	в нем	3	22
3	у него	5	22
4	может быть	8	21
5	в этом	13	20
6	никогда не	5	18
7	для него	5	18
8	и не	18	18
9	не только	11	18
10	но и	9	15
11	не может	4	15
12	человека в	4	14
13	как и	11	13
14	а не	14	13
15	прежде всего	3	12
16	потому что	2	12
17	не было	6	11
18	в ней	3	11
19	и он	3	11
20	та же	2	10
21	но в	2	10
22	он не	4	10
23	в себе	9	10
24	не в	13	9
25	как бы	5	8
26	в своем	5	8
27	в любви	2	8
28	отношение к	2	8
29	она не	5	8
30	человека и	3	7
31	в мире	7	7
32	в этой	5	7
33	в нашем	2	7
34	что он	8	7
35	и к	2	7
36	как в	5	7
37	хотя бы	2	7
38	и для	2	7
39	любви к	2	7
40	он сам	2	6
41	что это	5	6
42	так же	3	6
43	жизнь в	2	6
44	жизни и	6	6
45	не могу	3	6
46	то же	6	5
47	я не	7	5
48	бы и	4	5
49	что все	3	5
50	в самом	5	5
51	один из	2	5
52	что она	7	5
53	те же	2	5
54	это не	6	5
55	и все	7	5
56	в духе	2	5
57	к тому	7	5
58	по преимуществу	3	5
59	то что	6	5
60	в своей	6	5
61	для того	4	5
62	и его	5	5
63	в его	11	5
64	и это	3	5
65	что в	5	4
66	они и	2	4
67	тому что	4	4
68	все что	3	4
69	что у	3	4
70	с его	5	4
71	в жизни	8	4
72	том что	19	4
73	что и	4	4
74	себя в	8	4
75	так и	8	4
76	т е	2	4
77	уже не	10	4
78	того чтобы	4	4
79	человек в	3	3
80	же как	2	3
81	себя и	2	3
82	и от	2	3
83	в том	15	3
84	с самим	2	3
85	что они	4	3
86	любви и	3	3
87	жизни в	7	3
88	и на	3	3
89	сказать что	2	3
90	и с	6	3
91	о том	12	3
92	его в	2	3
93	как он	3	3
94	нет ничего	2	3
95	с ним	7	3
96	они были	2	3
97	если бы	6	3
98	в них	3	3
99	что было	3	3
100	есть и	3	3
101	до сих	2	3
102	не будет	2	3
103	сих пор	2	3
104	и тогда	2	3
105	того как	2	3
106	чтобы не	3	3
107	жизни он	2	3
108	той же	2	3
109	тем что	6	3
110	только в	4	3
111	жизни не	2	2
112	место в	2	2
113	сам он	2	2
114	способность к	2	2
115	в этих	3	2
116	в человеке	3	2
117	или иной	2	2
118	все время	3	2
119	я и	6	2
120	да и	5	2
121	как у	2	2
122	со своим	3	2
123	же и	2	2
124	к нему	3	2
125	людей в	2	2
126	по отношению	7	2
127	у всех	3	2
128	лишь в	2	2
129	а в	6	2
130	к себе	3	2
131	в основе	2	2
132	личности и	2	2
133	точки зрения	2	2
134	самим собою	2	2
135	в церкви	2	2
136	приходит к	2	2
137	не случайно	10	2
138	между тем	8	2
139	а для	2	2
140	на этом	2	2
141	личного бытия	3	2
142	с собой	2	2
143	превращается в	4	2
144	себе в	2	2
145	а за	2	2
146	личности в	3	2
147	это была	3	2
148	то в	4	2
149	нельзя было	2	2
150	мысль о	2	2
151	он уже	2	2
152	к ней	2	2
153	сам не	2	2
154	оно не	2	2
155	отношению к	7	2
156	вместе с	2	2
157	который был	2	2
158	что же	2	2
159	человеческой жизни	6	2
160	бы не	3	2
161	более чем	2	2
162	что не	2	2
163	и эта	2	2
164	ни одного	2	2
165	в последней	2	2
166	можно было	3	2
167	тому как	4	2
168	подобно тому	4	2
169	что личность	2	2
170	как будто	4	2
171	ничего не	5	2
