N	2gram	Losev_Prob_1	SlovoVZh
1	не может	8	16
2	точки зрения	3	14
3	может быть	14	14
4	и его	3	13
5	как бы	14	13
6	таким образом	6	12
7	и в	32	12
8	и не	31	10
9	если бы	4	9
10	так как	11	9
11	прежде всего	10	8
12	для нас	5	7
13	сказать что	13	7
14	в нем	13	6
15	все время	2	6
16	при этом	6	6
17	в том	9	6
18	только в	7	6
19	в жизни	3	5
20	то что	42	5
21	никогда не	7	5
22	а не	15	5
23	можно сказать	5	5
24	то же	10	5
25	хотя бы	3	5
26	как и	3	5
27	том что	12	5
28	отнюдь не	10	5
29	как в	4	5
30	что мы	13	5
31	и следовательно	3	5
32	но в	14	5
33	в виду	6	5
34	так и	12	4
35	с другой	3	4
36	на самом	6	4
37	уже не	3	4
38	что не	3	4
39	в литературе	4	4
40	литературы и	4	4
41	не в	4	4
42	в этом	19	4
43	и на	8	4
44	его в	6	4
45	дело в	3	4
46	в самом	6	4
47	к нему	3	4
48	за пределы	6	4
49	и является	7	4
50	не только	17	4
51	в котором	5	3
52	в них	7	3
53	и уже	3	3
54	не менее	19	3
55	в своей	8	3
56	быть и	3	3
57	бы мы	3	3
58	сих пор	3	3
59	все это	7	3
60	и вообще	4	3
61	все эти	8	3
62	ясно что	3	3
63	по себе	15	3
64	но и	9	3
65	и пр	4	3
66	того что	7	3
67	или не	3	3
68	тем не	18	3
69	ни в	7	3
70	да и	3	3
71	он должен	2	3
72	так же	9	3
73	сколько бы	2	3
74	самом деле	6	3
75	мы не	2	3
76	и с	2	3
77	о том	11	3
78	в каком	3	3
79	и ее	8	3
80	в себе	15	3
81	для него	2	3
82	до сих	3	3
83	еще не	9	3
84	только на	4	3
85	и для	4	3
86	здесь не	7	3
87	с ним	3	3
88	но для	3	3
89	между тем	2	3
90	уже в	3	2
91	с его	2	2
92	делает его	2	2
93	в настоящее	3	2
94	но все	3	2
95	от всех	2	2
96	что в	12	2
97	данном случае	8	2
98	вместе с	2	2
99	общего с	8	2
100	и так	2	2
101	в этих	3	2
102	или события	3	2
103	всех актов	2	2
104	в своем	5	2
105	в отношении	3	2
106	нет ничего	10	2
107	другой стороны	3	2
108	это не	6	2
109	вещи и	12	2
110	смысл и	3	2
111	мы имеем	2	2
112	и все	7	2
113	конечно в	2	2
114	и что	9	2
115	искусства и	3	2
116	бы оно	3	2
117	едва ли	2	2
118	не есть	29	2
119	и вполне	3	2
120	с точки	3	2
121	и здесь	6	2
122	как же	3	2
123	его как	2	2
124	же самое	9	2
125	и притом	4	2
126	с другими	2	2
127	но отнюдь	3	2
128	но это	8	2
129	в данном	9	2
130	и то	6	2
131	мы можем	4	2
132	но не	9	2
133	могут быть	2	2
134	но что	2	2
135	кроме того	2	2
136	она не	2	2
137	в то	6	2
138	настоящее время	3	2
139	ни на	4	2
140	мы в	3	2
141	на один	2	2
142	оно не	3	2
143	в чем	3	2
144	как это	6	2
145	ничего не	10	2
146	к его	2	2
147	он не	3	2
148	мы никогда	3	2
149	известной степени	2	2
150	не сможем	2	2
151	в его	6	2
152	и потому	2	2
