N	2gram	Tiupa_Lite_1	UchenyiS
1	и в	8	14
2	а не	16	10
3	не только	24	10
4	и не	12	8
5	прежде всего	11	8
6	то что	10	7
7	в этом	12	7
8	не может	5	7
9	в искусстве	2	6
10	может быть	13	6
11	эстетического объекта	6	6
12	в художественном	4	5
13	хотя бы	2	5
14	художественное произведение	2	5
15	художественного творчества	3	5
16	перестает быть	4	5
17	и только	2	5
18	то же	5	5
19	но и	17	4
20	в этой	4	4
21	конечном счете	4	4
22	в их	3	4
23	в россии	2	4
24	с другой	3	4
25	что такое	2	4
26	в конечном	5	4
27	но в	3	3
28	как и	6	3
29	и то	2	3
30	все же	4	3
31	в своей	4	3
32	в частности	15	3
33	произведения искусства	3	3
34	для этого	4	3
35	же время	5	3
36	для него	2	3
37	это не	4	3
38	в то	5	3
39	не как	4	3
40	было бы	2	3
41	в области	3	3
42	том что	14	2
43	но не	4	2
44	в том	16	2
45	с его	5	2
46	не есть	2	2
47	не в	8	2
48	должна быть	2	2
49	не столько	5	2
50	не случайно	2	2
51	это уже	2	2
52	только в	8	2
53	искусства как	2	2
54	тем что	2	2
55	могут быть	2	2
56	что он	5	2
57	все они	2	2
58	в себе	7	2
59	как раз	4	2
60	в конце	4	2
61	этом отношении	2	2
62	в самом	3	2
63	превращается в	2	2
64	сводится к	3	2
65	одним из	5	2
66	самом деле	2	2
67	а как	2	2
68	и является	2	2
69	в его	7	2
70	более чем	3	2
71	между тем	2	2
72	таким образом	3	2
