N	2gram	Propp_Morf_1	Istorich
1	и в	13	26
2	в сказке	15	23
3	т е	21	22
4	так как	16	18
5	мы имеем	9	14
6	потому что	3	13
7	что в	8	12
8	таким образом	21	12
9	в том	6	12
10	в этом	14	12
11	змея и	2	12
12	может быть	52	11
13	с другой	8	10
14	в образе	4	10
15	том что	4	10
16	и т	41	10
17	и не	12	10
18	не только	4	10
19	что он	4	9
20	еще не	3	9
21	но и	4	9
22	все же	7	8
23	другой стороны	4	8
24	т д	39	8
25	все эти	2	8
26	здесь можно	3	7
27	уже не	2	7
28	мы можем	2	7
29	например в	2	7
30	о том	2	7
31	но в	2	7
32	этот случай	5	6
33	этом случае	8	6
34	то что	8	6
35	в ином	2	6
36	как в	3	6
37	не может	14	6
38	в виде	2	6
39	после чего	2	6
40	иное царство	5	6
41	мы не	8	6
42	чаще всего	7	5
43	очень часто	6	5
44	у нас	2	5
45	как и	3	5
46	мы видим	13	5
47	то это	3	5
48	так и	6	5
49	то же	7	5
50	в иное	5	5
51	и что	2	5
52	как это	3	5
53	тем что	4	5
54	в то	3	5
55	только в	2	5
56	его в	2	5
57	там где	5	5
58	и этим	5	5
59	есть и	4	4
60	с тем	2	4
61	это не	6	4
62	имеем в	6	4
63	прежде всего	9	4
64	не всегда	9	4
65	с его	2	4
66	здесь мы	3	4
67	но это	6	4
68	здесь же	3	4
69	на его	4	4
70	как бы	3	4
71	и тем	2	4
72	что и	7	4
73	как мы	6	4
74	и по	2	4
75	а также	4	4
76	в других	3	4
77	со змеем	4	4
78	но как	2	4
79	связана с	3	3
80	при помощи	9	3
81	и ее	3	3
82	независимо от	3	3
83	и другие	6	3
84	если бы	2	3
85	в частности	2	3
86	что сказка	3	3
87	могут быть	16	3
88	на котором	3	3
89	к этому	3	3
90	вопрос о	7	3
91	в тех	6	3
92	на первый	3	3
93	не в	3	3
94	в качестве	5	3
95	то время	3	3
96	вопрос не	2	3
97	так например	3	3
98	тех случаях	2	3
99	она не	2	3
100	но есть	3	3
101	наряду с	5	3
102	не происходит	3	3
103	главным образом	4	3
104	коня и	2	3
105	от того	3	3
106	один из	5	3
107	по воздуху	2	3
108	что она	2	3
109	со стороны	3	3
110	случаях когда	2	3
111	в сказках	3	3
112	а в	7	3
113	имеется в	3	3
114	из которых	3	3
115	время как	3	3
116	или в	4	3
117	если они	2	3
118	та же	2	3
119	сказать что	2	3
120	же можно	2	3
121	как будто	2	3
122	далеко не	5	3
123	того как	2	3
124	перед нами	10	2
125	можно наблюдать	3	2
126	и как	5	2
127	однако в	2	2
128	в этих	13	2
129	с собой	3	2
130	с этим	11	2
131	вовсе не	4	2
132	что там	2	2
133	утверждать что	3	2
134	на то	2	2
135	можно сказать	2	2
136	к тому	4	2
137	герой получает	5	2
138	для нас	2	2
139	на той	2	2
140	по отношению	4	2
141	это явление	4	2
142	но все	3	2
143	что они	2	2
144	одна из	4	2
145	но не	4	2
146	так же	3	2
147	в последнем	2	2
148	что при	2	2
149	что мы	2	2
150	героя в	4	2
151	было бы	3	2
152	никто не	3	2
153	нет необходимости	6	2
154	большей частью	4	2
155	о похищении	2	2
156	но для	2	2
157	в свое	2	2
158	всяком случае	2	2
159	и др	10	2
160	что эти	2	2
161	но мы	3	2
162	отношению к	4	2
163	не имеет	2	2
164	в некоторых	3	2
165	не будем	4	2
166	случай мы	3	2
167	на него	3	2
168	в форме	6	2
169	что же	2	2
170	целый ряд	3	2
171	требует в	3	2
172	тогда как	2	2
173	или же	6	2
174	он не	3	2
175	только что	2	2
176	а с	2	2
177	она в	2	2
178	а не	11	2
179	того что	3	2
180	такой случай	2	2
181	можно было	2	2
182	во всяком	2	2
183	в руки	3	2
184	нам еще	2	2
185	в которых	2	2
186	представляет собой	17	2
187	из его	2	2
188	самого себя	2	2
189	ту же	2	2
190	мы должны	3	2
191	по всему	2	2
192	в этой	2	2
193	но вот	2	2
194	здесь не	2	2
195	оно может	3	2
196	ничего не	4	2
197	значит что	3	2
