N	2gram	Potebnia_M_1	slovoVRo
1	и в	39	39
2	может быть	27	37
3	и т	6	35
4	и его	5	33
5	т п	4	33
6	то есть	42	26
7	не только	21	24
8	и не	18	22
9	но и	20	21
10	не может	22	20
11	в нем	20	19
12	в этом	15	16
13	так и	13	15
14	а не	21	14
15	слова в	2	13
16	как в	10	13
17	во всех	5	12
18	в истории	7	11
19	вовсе не	5	10
20	не в	15	9
21	языка и	17	9
22	и с	3	9
23	прежде всего	4	8
24	словом и	2	8
25	оно не	3	8
26	слова и	4	8
27	таким образом	13	8
28	точки зрения	8	8
29	языка как	5	7
30	при этом	6	7
31	для него	4	7
32	еще не	6	7
33	в его	5	7
34	как бы	6	7
35	никогда не	4	7
36	в этих	7	7
37	и потому	5	7
38	язык и	5	7
39	и даже	4	7
40	как мы	2	7
41	могут быть	9	7
42	с ним	3	7
43	в них	3	6
44	язык в	8	6
45	все же	6	6
46	как и	9	6
47	в своем	3	6
48	языка в	6	6
49	но не	8	6
50	она не	3	6
51	в сущности	2	6
52	значительной степени	2	6
53	жизни и	2	6
54	там где	4	6
55	в слове	8	6
56	так сказать	2	6
57	но в	9	6
58	не могут	4	5
59	с другой	7	5
60	это не	7	5
61	и для	5	5
62	и все	3	5
63	и слова	2	5
64	со словом	3	5
65	по себе	10	5
66	для нас	9	5
67	том что	16	5
68	но все	2	5
69	одной стороны	3	5
70	только в	25	5
71	в том	26	5
72	и их	3	5
73	с одной	3	5
74	уже не	2	5
75	от него	4	5
76	языка а	3	5
77	не менее	6	4
78	язык не	5	4
79	эти формы	2	4
80	и языка	4	4
81	отношению к	13	4
82	же время	4	4
83	в смысле	4	4
84	этого языка	2	4
85	как предмет	2	4
86	слова не	2	4
87	по отношению	13	4
88	для этого	2	4
89	своего языка	2	4
90	то же	6	4
91	что оно	2	4
92	и других	4	4
93	для всех	5	4
94	и язык	11	4
95	в таком	5	4
96	а в	5	4
97	языка но	3	4
98	языка не	5	4
99	даже и	2	4
100	в то	4	4
101	во всем	4	4
102	так как	21	4
103	что в	22	3
104	хотя бы	2	3
105	и от	3	3
106	должна быть	3	3
107	язык как	7	3
108	в собственном	2	3
109	стороны и	2	3
110	в свою	4	3
111	сама по	3	3
112	что и	6	3
113	из себя	5	3
114	но это	5	3
115	связи с	3	3
116	и как	6	3
117	слов и	4	3
118	языка то	4	3
119	в ней	7	3
120	с точки	3	3
121	той же	3	3
122	или даже	3	3
123	сказать что	3	3
124	между тем	5	3
125	речи и	10	3
126	к новому	2	3
127	язык но	2	3
128	во всяком	3	3
129	чем в	2	2
130	с языком	2	2
131	не было	4	2
132	и более	2	2
133	независимо от	6	2
134	хотя и	3	2
135	однако в	4	2
136	но он	2	2
137	и воля	4	2
138	языка с	6	2
139	того как	6	2
140	тогда когда	9	2
141	как например	2	2
142	становится объектом	2	2
143	влияние на	2	2
144	в себе	13	2
145	что язык	16	2
146	она может	3	2
147	с ее	2	2
148	в одно	2	2
149	свою очередь	4	2
150	все что	2	2
151	мы увидим	3	2
152	за пределы	2	2
153	но оно	3	2
154	к ней	2	2
155	языке в	2	2
156	не все	2	2
157	мы видели	4	2
158	то что	10	2
159	дело в	2	2
160	вместе с	8	2
161	все они	2	2
162	на него	3	2
163	в их	2	2
164	в языке	33	2
165	с этим	7	2
166	т д	4	2
167	от нас	2	2
168	еще более	2	2
169	мы не	10	2
170	того чтобы	2	2
171	для того	3	2
172	одним из	2	2
173	или в	2	2
174	и при	3	2
175	в более	4	2
176	он не	3	2
177	нуждается в	2	2
178	но как	3	2
179	одним словом	2	2
180	о том	2	2
181	бы только	2	2
182	в одном	8	2
183	из него	2	2
