N	2gram	Vinokur_Vv_1	Problemy
1	и не	13	31
2	и в	27	29
3	в его	10	24
4	может быть	24	24
5	а не	3	22
6	в этом	34	22
7	т е	38	21
8	как бы	5	19
9	в нем	13	19
10	точки зрения	7	19
11	не только	21	15
12	то что	17	15
13	не как	3	14
14	но и	5	14
15	и его	5	14
16	то же	8	14
17	рядом с	2	14
18	уже не	5	13
19	с точки	2	13
20	как и	5	12
21	не может	13	12
22	таким образом	19	12
23	в одном	4	10
24	этом смысле	11	10
25	в самом	12	10
26	в то	5	10
27	только в	13	10
28	это не	8	9
29	все же	8	9
30	но не	7	9
31	же время	5	9
32	все эти	3	9
33	если бы	2	9
34	в каждом	4	8
35	романов достоевского	2	8
36	в своем	3	8
37	до конца	3	8
38	по себе	9	8
39	что он	4	8
40	что в	11	8
41	отношению к	4	8
42	в своей	4	8
43	по отношению	4	8
44	потому что	14	8
45	в том	31	8
46	прежде всего	8	7
47	вовсе не	6	7
48	а как	3	7
49	том что	26	7
50	не в	8	7
51	лишь как	2	7
52	в форме	2	7
53	входит в	2	7
54	и как	9	7
55	а в	5	7
56	и на	3	7
57	в себе	4	7
58	но в	10	7
59	все это	6	6
60	в конце	3	6
61	не могут	5	6
62	сливается с	3	6
63	в целом	5	6
64	несмотря на	2	6
65	к нему	2	6
66	одним из	5	6
67	что она	3	6
68	как раз	4	6
69	самом деле	6	6
70	так же	3	6
71	говорит он	2	6
72	могут быть	4	6
73	его в	6	6
74	так как	13	6
75	должна быть	2	5
76	и др	2	5
77	именно в	8	5
78	было бы	5	5
79	но все	3	5
80	еще не	4	5
81	в сущности	3	5
82	мысли и	2	5
83	той же	4	5
84	конце концов	2	5
85	с их	5	5
86	во всяком	3	5
87	между тем	8	5
88	он и	2	5
89	и это	6	5
90	ничего не	2	5
91	или как	3	5
92	в результате	3	4
93	бы и	2	4
94	что и	3	4
95	должна была	2	4
96	так чтобы	3	4
97	и с	2	4
98	от того	3	4
99	и т	43	4
100	и для	4	4
101	тем что	6	4
102	как мы	9	4
103	должно быть	2	4
104	в этой	3	4
105	что же	3	4
106	уже в	5	3
107	он сам	3	3
108	никогда не	3	3
109	в них	4	3
110	с другой	8	3
111	по существу	2	3
112	одна из	2	3
113	от характера	3	3
114	всяком случае	3	3
115	себе и	2	3
116	на почве	5	3
117	и до	2	3
118	в их	11	3
119	другой стороны	5	3
120	тому что	2	3
121	как на	11	3
122	т п	5	3
123	на котором	2	3
124	этом отношении	3	3
125	например в	2	3
126	в своих	2	3
127	сказать что	5	3
128	но с	4	3
129	само по	3	3
130	но как	2	3
131	как будто	3	3
132	отношении к	2	3
133	если же	2	3
134	целом ряде	2	3
135	на вопрос	6	2
136	и уже	3	2
137	связи с	3	2
138	уже и	7	2
139	однако в	3	2
140	хотя бы	5	2
141	с этой	4	2
142	вопрос о	8	2
143	его к	2	2
144	и ее	4	2
145	что может	3	2
146	не есть	4	2
147	нового типа	2	2
148	жизни и	2	2
149	так что	5	2
150	е не	2	2
151	как целое	3	2
152	из его	2	2
153	чем в	3	2
154	при этом	3	2
155	есть и	4	2
156	только как	6	2
157	и сам	2	2
158	отсюда и	2	2
159	него в	2	2
160	которые были	2	2
161	до сих	5	2
162	в котором	4	2
163	однако не	4	2
164	один из	6	2
165	какой бы	2	2
166	нисколько не	3	2
167	отношение к	3	2
168	сих пор	5	2
169	данном случае	5	2
170	в отношении	2	2
171	и даже	5	2
172	или же	3	2
173	что оно	2	2
174	на языке	2	2
175	а потому	3	2
176	в той	7	2
177	и что	4	2
178	именно на	2	2
179	произведения и	2	2
180	из которых	2	2
181	на этот	4	2
182	между ними	2	2
183	можно было	7	2
184	в данном	11	2
185	этот вопрос	4	2
186	в которых	6	2
187	в ней	3	2
188	одно из	5	2
189	как например	5	2
190	и есть	3	2
191	в истории	9	2
192	в чисто	4	2
193	е в	4	2
194	с этим	2	2
