N	2gram	Bakhtin_Pr_1	Istorich
1	и в	29	28
2	может быть	24	25
3	и т	4	25
4	не может	12	15
5	а не	22	15
6	никогда не	3	14
7	мы должны	3	13
8	что в	8	12
9	то же	14	12
10	не только	15	12
11	мы видим	2	11
12	только в	10	11
13	что он	8	10
14	все же	9	10
15	прежде всего	7	10
16	но и	14	10
17	т е	21	10
18	и что	2	10
19	что герой	2	9
20	в том	8	9
21	то что	15	9
22	и не	31	9
23	не в	7	9
24	так и	7	9
25	если бы	9	8
26	таким образом	12	8
27	в этом	22	8
28	но в	7	8
29	это не	9	7
30	том что	7	7
31	здесь мы	2	7
32	еще не	5	7
33	было бы	5	7
34	в ней	2	7
35	и др	5	7
36	а в	7	7
37	этот вопрос	2	7
38	так же	6	7
39	и здесь	3	7
40	с другой	3	6
41	ни один	3	6
42	что и	4	6
43	в этой	4	6
44	его в	6	6
45	так как	6	6
46	должна быть	5	5
47	не знает	3	5
48	в одном	10	5
49	вопрос о	2	5
50	по существу	3	5
51	но не	9	5
52	до сих	2	5
53	например в	3	5
54	что она	6	5
55	сих пор	2	5
56	другой стороны	3	5
57	в своем	8	5
58	можно было	2	5
59	их в	4	5
60	сказать что	3	5
61	героя в	4	5
62	в его	24	5
63	все это	6	4
64	связи с	2	4
65	там где	10	4
66	превращается в	4	4
67	в пределах	13	4
68	так что	2	4
69	но все	5	4
70	но это	4	4
71	в большинстве	2	4
72	социальной жизни	2	4
73	и пр	3	4
74	друг с	2	4
75	даже в	4	4
76	один из	2	4
77	на него	3	4
78	с этим	2	4
79	как и	12	4
80	и даже	2	4
81	хотя бы	2	4
82	и для	4	4
83	и с	4	4
84	и на	7	4
85	потому что	8	4
86	в основе	4	4
87	могут быть	6	4
88	находится в	2	4
89	они не	4	4
90	как будто	3	4
91	все эти	9	4
92	большинстве случаев	2	4
93	я не	3	3
94	точку зрения	6	3
95	не как	14	3
96	перед нами	5	3
97	по себе	8	3
98	на котором	3	3
99	именно в	5	3
100	при этом	2	3
101	в котором	2	3
102	отношению к	8	3
103	в форме	7	3
104	в их	3	3
105	что же	4	3
106	уже не	13	3
107	и его	14	3
108	как мы	4	3
109	из которых	2	3
110	или даже	2	3
111	по отношению	8	3
112	тем что	4	3
113	в то	10	3
114	могли бы	2	3
115	раз и	4	3
116	же не	2	3
117	на вопрос	2	2
118	но они	2	2
119	не могут	6	2
120	самого начала	2	2
121	всех этих	2	2
122	нисколько не	2	2
123	были бы	4	2
124	его и	2	2
125	поэтому в	2	2
126	то он	2	2
127	и от	2	2
128	и потому	6	2
129	между ними	2	2
130	была бы	3	2
131	вовсе не	7	2
132	вследствие этого	2	2
133	у вас	2	2
134	ни было	2	2
135	его как	4	2
136	то ни	2	2
137	в зависимости	5	2
138	и как	7	2
139	зависимости от	5	2
140	так чтобы	4	2
141	одна из	3	2
142	само по	3	2
143	не дает	3	2
144	для него	18	2
145	тот же	2	2
146	с героем	2	2
147	с ним	5	2
148	как бы	19	2
149	о нем	9	2
150	ни одной	2	2
151	однако не	2	2
152	был бы	6	2
153	точка зрения	12	2
154	в нем	19	2
155	не есть	2	2
156	бы то	2	2
157	в целом	6	2
158	конечно не	2	2
159	как в	6	2
160	во всей	2	2
161	как раз	6	2
162	то и	2	2
163	не на	4	2
164	отношения к	3	2
165	он не	5	2
166	приводит к	3	2
167	именно на	2	2
168	на этот	2	2
169	одним из	6	2
170	должно быть	4	2
171	непосредственно в	2	2
172	ничего не	5	2
173	между тем	5	2
174	однако в	2	2
175	он в	3	2
176	в себе	7	2
177	бы в	3	2
178	в свете	4	2
179	тут и	2	2
180	и этим	3	2
181	оно может	2	2
182	тоже не	2	2
