N	2gram	Kanaev_Sov_1	Psycholo
1	и в	7	31
2	в том	4	30
3	что в	2	23
4	может быть	12	22
5	таким образом	11	20
6	ясно что	3	19
7	при этом	3	19
8	так как	4	18
9	не может	17	17
10	как и	6	16
11	и не	6	16
12	точки зрения	12	15
13	а не	3	13
14	не только	4	13
15	если мы	4	12
16	мы не	9	12
17	в этом	7	12
18	в самом	2	11
19	могут быть	2	11
20	не в	3	11
21	в области	3	11
22	самом деле	2	9
23	вместе с	4	8
24	все это	3	8
25	и что	2	8
26	во всяком	2	8
27	что это	2	6
28	зависимости от	4	6
29	было бы	3	6
30	из этих	2	6
31	всяком случае	2	6
32	отнюдь не	3	6
33	а в	4	6
34	что она	3	6
35	и даже	2	6
36	в его	2	6
37	и есть	2	5
38	и все	3	5
39	все же	3	5
40	мы видим	2	5
41	с одной	2	5
42	для нас	3	5
43	совершенно не	2	5
44	как бы	4	5
45	в зависимости	4	5
46	в целом	4	5
47	то же	3	5
48	в которой	2	4
49	прежде всего	5	4
50	в себе	3	4
51	отличие от	2	4
52	одна из	3	4
53	у него	2	4
54	со всеми	2	4
55	у нас	3	4
56	в результате	6	4
57	мы можем	6	4
58	уже в	3	3
59	не могут	2	3
60	каждого из	2	3
61	точку зрения	4	3
62	что все	2	3
63	в каждом	8	3
64	вопрос о	4	3
65	и к	3	3
66	мы знаем	2	3
67	не можем	7	3
68	у каждого	3	3
69	из которых	2	3
70	в этой	3	3
71	но мы	3	3
72	жизни и	4	3
73	что при	2	3
74	в отличие	2	3
75	тем же	2	3
76	и по	2	3
77	той же	2	3
78	роль в	2	3
79	в таком	2	3
80	с этим	2	3
81	в конце	3	3
82	когда мы	3	3
83	но в	3	3
84	не менее	2	2
85	такой же	2	2
86	этих двух	2	2
87	видели что	3	2
88	с совершенно	2	2
89	и во	2	2
90	тем не	2	2
91	уже не	2	2
92	и потому	3	2
93	не дает	2	2
94	настоящее время	2	2
95	тот же	2	2
96	что такое	2	2
97	в нем	3	2
98	мы видели	4	2
99	не знаем	2	2
100	из них	4	2
101	что же	5	2
102	приводит к	2	2
103	как мы	2	2
104	отличается от	3	2
105	то и	2	2
106	по мнению	2	2
107	в настоящее	2	2
108	же самое	2	2
109	может дать	2	2
110	в науке	2	2
111	к чему	2	2
112	с точки	5	2
113	ничего не	6	2
114	их в	4	2
115	мы получаем	3	2
116	если же	2	2
117	как он	3	2
118	в одном	3	2
