N	2gram	Tiupa_Hudo_1	Russkaja
1	не может	7	22
2	и не	2	19
3	в том	12	17
4	в этом	11	17
5	и в	14	14
6	то что	8	13
7	то же	9	11
8	точки зрения	5	11
9	же время	8	10
10	но и	5	10
11	в то	8	10
12	том что	16	9
13	не только	12	9
14	в себе	11	9
15	с точки	3	9
16	может быть	5	9
17	прежде всего	11	8
18	того чтобы	3	8
19	ни к	2	7
20	отнюдь не	3	7
21	к тому	7	7
22	самом деле	5	7
23	о том	12	7
24	и с	4	7
25	если бы	3	6
26	на самом	2	6
27	что он	9	6
28	и к	4	6
29	для него	10	6
30	если в	2	6
31	все это	2	6
32	в своем	4	6
33	и для	3	6
34	в своих	3	6
35	себя и	2	5
36	жизни в	6	5
37	вопрос о	2	5
38	на то	4	5
39	и на	3	5
40	при этом	12	5
41	до сих	2	5
42	было бы	6	5
43	в своей	10	5
44	он не	4	5
45	никогда не	6	5
46	в нем	3	5
47	сих пор	2	5
48	а в	7	5
49	потому что	5	5
50	только в	5	5
51	между тем	8	5
52	но не	3	4
53	что в	6	4
54	в мире	3	4
55	как и	9	4
56	как бы	7	4
57	себе и	2	4
58	все же	3	4
59	себя в	4	4
60	жизни и	5	4
61	со стороны	3	4
62	что же	2	4
63	в их	2	4
64	приводит к	3	4
65	не в	7	4
66	можно было	5	4
67	в этой	8	4
68	в его	8	4
69	его в	3	4
70	к этой	3	4
71	на том	2	3
72	именно в	7	3
73	в конце	4	3
74	да и	2	3
75	в другом	2	3
76	то в	4	3
77	лишь в	3	3
78	должно быть	2	3
79	в качестве	9	3
80	еще не	7	3
81	несмотря на	4	3
82	в самом	4	3
83	одной из	2	3
84	и потому	2	3
85	и т	11	3
86	из них	4	3
87	при котором	2	3
88	не было	4	3
89	в значительной	2	3
90	того что	4	3
91	и по	3	3
92	друг друга	5	3
93	тем что	3	3
94	говорить о	3	3
95	связи с	4	3
96	о котором	2	3
97	одна из	2	3
98	только для	2	2
99	а с	2	2
100	в частности	5	2
101	у него	9	2
102	и от	4	2
103	с этим	3	2
104	к себе	5	2
105	это в	3	2
106	состоит в	2	2
107	по сторонам	2	2
108	ясно что	2	2
109	или иного	2	2
110	по себе	2	2
111	ни в	5	2
112	уже не	7	2
113	так что	2	2
114	от него	3	2
115	она не	4	2
116	участие в	2	2
117	каждого отдельного	2	2
118	и о	4	2
119	в ней	4	2
120	речь идет	3	2
121	для нее	2	2
122	для себя	3	2
123	согласиться с	2	2
124	тому что	4	2
125	по отношению	8	2
126	тогда как	7	2
127	все эти	3	2
128	только на	2	2
129	и что	2	2
130	а не	12	2
131	и даже	3	2
132	в глазах	6	2
133	в таком	3	2
134	в результате	2	2
135	не о	2	2
136	мы уже	4	2
137	в начале	2	2
138	говоря о	2	2
139	того или	2	2
140	как будто	4	2
141	в этих	5	2
142	с ним	4	2
143	но в	5	2
