N	2gram	Potebnia_M_1	Istorich
1	и в	39	28
2	может быть	27	25
3	и т	6	25
4	т д	4	22
5	не может	22	15
6	а не	21	15
7	никогда не	4	14
8	для нас	9	13
9	мы должны	3	13
10	что в	22	12
11	то же	6	12
12	не только	21	12
13	мы видим	4	11
14	только в	25	11
15	все же	6	10
16	мы увидим	3	10
17	прежде всего	4	10
18	но и	20	10
19	мы не	10	10
20	и что	10	10
21	в том	26	9
22	о том	2	9
23	то что	10	9
24	и не	18	9
25	не в	15	9
26	так и	13	9
27	что это	3	8
28	если бы	14	8
29	таким образом	13	8
30	в этом	15	8
31	но в	9	8
32	в этих	7	7
33	это не	7	7
34	том что	16	7
35	еще не	6	7
36	было бы	12	7
37	в ней	7	7
38	а в	5	7
39	этот вопрос	2	7
40	так же	5	7
41	что мы	4	7
42	с другой	7	6
43	не менее	6	6
44	к тому	4	6
45	тем не	6	6
46	видно что	2	6
47	так например	3	6
48	что и	6	6
49	в этой	3	6
50	так как	21	6
51	вместе с	8	6
52	мы будем	2	5
53	должна быть	3	5
54	в одном	8	5
55	вопрос о	4	5
56	но не	8	5
57	другой стороны	5	5
58	в своем	3	5
59	увидим что	4	5
60	или в	2	5
61	сказать что	3	5
62	в его	5	5
63	к которому	3	5
64	с тем	5	4
65	связи с	3	4
66	там где	4	4
67	на то	2	4
68	так что	16	4
69	но все	2	4
70	но это	5	4
71	одной стороны	3	4
72	но оно	3	4
73	на него	3	4
74	связь с	2	4
75	с этим	7	4
76	с одной	3	4
77	как и	9	4
78	того что	8	4
79	должны быть	7	4
80	и даже	4	4
81	хотя бы	2	4
82	и для	5	4
83	и с	3	4
84	к ним	2	4
85	потому что	52	4
86	то мы	2	4
87	могут быть	9	4
88	как будто	2	4
89	одним словом	2	4
90	не все	2	4
91	в стороне	4	3
92	точно так	11	3
93	по себе	10	3
94	показывает что	3	3
95	в начале	2	3
96	для этого	2	3
97	при этом	6	3
98	не можем	2	3
99	что например	3	3
100	и их	3	3
101	эти формы	2	3
102	и по	6	3
103	то это	5	3
104	отношению к	13	3
105	того как	6	3
106	в их	2	3
107	что же	2	3
108	связь между	2	3
109	уже не	2	3
110	и его	5	3
111	ключ к	2	3
112	если мы	3	3
113	чтобы не	2	3
114	как мы	2	3
115	есть только	11	3
116	или даже	3	3
117	по отношению	13	3
118	тем что	9	3
119	во всем	4	3
120	в то	4	3
121	могли бы	2	3
122	дело в	2	3
123	бы быть	4	3
124	эта мысль	2	3
125	и должно	2	3
126	не существует	2	2
127	только для	3	2
128	не могут	4	2
129	зависит от	5	2
130	самого начала	3	2
131	по мере	6	2
132	заключить что	2	2
133	нисколько не	2	2
134	были бы	3	2
135	явлений в	2	2
136	столь же	3	2
137	он должен	2	2
138	то он	2	2
139	и от	3	2
140	и потому	5	2
141	была бы	2	2
142	вовсе не	5	2
143	в некотором	2	2
144	значение и	2	2
145	ни было	2	2
146	то ни	3	2
147	мы видели	4	2
148	с самого	3	2
149	и как	6	2
150	только из	3	2
151	само по	4	2
152	не более	4	2
153	мере того	3	2
154	для него	4	2
155	мысль о	2	2
156	в действительности	4	2
157	и если	2	2
158	что не	10	2
159	мы в	2	2
160	никто не	3	2
161	с ним	3	2
162	не по	4	2
163	но если	2	2
164	как бы	6	2
165	по этому	2	2
166	относится к	3	2
167	в таких	2	2
168	и тем	3	2
169	в нем	20	2
170	не есть	10	2
171	но уже	2	2
172	бы то	2	2
173	в целом	2	2
174	во всех	5	2
175	со стороны	8	2
176	как в	10	2
177	то и	7	2
178	и только	2	2
179	он не	3	2
180	предположение что	2	2
181	там же	9	2
182	и другое	3	2
183	для всех	5	2
184	а только	4	2
185	на этот	2	2
186	не так	3	2
187	одним из	2	2
188	должно быть	7	2
189	по его	7	2
190	во многих	2	2
191	между тем	5	2
192	однако в	4	2
193	в себе	13	2
194	бы в	4	2
195	что если	3	2
196	при помощи	2	2
197	из этого	2	2
198	мы постараемся	2	2
199	когда мы	2	2
200	тогда когда	9	2
201	том как	3	2
