N	2gram	Tiupa_Lite_1	Myslijsy
1	потому что	3	46
2	то есть	6	34
3	в слове	2	32
4	в том	16	32
5	и в	8	30
6	может быть	13	28
7	то же	5	23
8	не только	24	21
9	только в	8	21
10	но и	17	19
11	том что	14	18
12	то что	10	18
13	того что	6	18
14	что в	3	17
15	не есть	2	17
16	в себе	7	16
17	в сознании	2	15
18	не в	8	15
19	и не	12	15
20	а не	16	15
21	таким образом	3	14
22	а в	3	12
23	так и	4	11
24	в душе	3	10
25	как и	6	10
26	как в	5	10
27	в этом	12	10
28	в то	5	10
29	из этих	2	9
30	для него	2	9
31	было бы	2	9
32	в нем	2	9
33	между тем	2	9
34	в самом	3	8
35	что не	2	8
36	и то	2	8
37	с другой	3	7
38	к тому	2	7
39	но не	4	7
40	с одной	2	7
41	тем самым	5	7
42	тем что	2	7
43	в сознание	3	7
44	а потому	2	6
45	что он	5	6
46	из них	4	6
47	например в	3	6
48	то это	2	6
49	художественное произведение	2	6
50	то и	2	6
51	не может	5	6
52	уже не	7	6
53	уже в	5	5
54	одно из	3	5
55	человека и	2	5
56	же время	5	5
57	в своем	11	5
58	еще не	4	5
59	и тем	4	5
60	отношению к	2	5
61	не менее	7	5
62	по отношению	3	5
63	тому как	2	5
64	что я	2	5
65	перестает быть	4	4
66	столь же	4	4
67	для понимания	2	4
68	в его	7	4
69	относится к	2	4
70	тем более	2	4
71	один из	3	4
72	не к	2	4
73	на это	2	4
74	бы не	3	4
75	и его	4	4
76	не было	3	4
77	тем же	3	4
78	что для	2	4
79	по поводу	2	4
80	далеко не	3	4
81	этого не	2	3
82	не говоря	2	3
83	жизни не	2	3
84	и есть	3	3
85	могут быть	2	3
86	прежде всего	11	3
87	а только	2	3
88	я и	7	3
89	тем не	2	3
90	одной стороны	2	3
91	при этом	19	3
92	как бы	7	3
93	для себя	5	3
94	искусства и	5	3
95	в целом	8	3
96	со стороны	4	3
97	только на	2	3
98	в силу	4	3
99	друг друга	4	3
100	мысль в	2	3
101	же и	3	3
102	в искусстве	2	3
103	самого себя	3	3
104	его я	2	3
105	его в	3	3
106	здесь как	2	3
107	связи с	6	2
108	целый мир	2	2
109	не столько	5	2
110	та же	2	2
111	не как	4	2
112	а как	2	2
113	в этой	4	2
114	у него	3	2
115	несмотря на	3	2
116	том же	3	2
117	за пределы	2	2
118	так или	8	2
119	даже в	2	2
120	все же	4	2
121	же в	5	2
122	жизни и	3	2
123	в своей	4	2
124	в их	3	2
125	тогда как	13	2
126	этом отношении	2	2
127	из того	2	2
128	самом деле	2	2
129	что такое	2	2
130	и даже	3	2
131	той же	3	2
132	но без	2	2
133	с этой	5	2
134	точки зрения	6	2
135	подобно тому	2	2
136	то он	2	2
137	о том	2	2
138	произведения искусства	3	2
139	которая не	2	2
140	в области	3	2
