N	2gram	Voloshinov_1	Psycholo
1	и в	19	38
2	то что	8	35
3	в том	6	25
4	в самом	10	25
5	самом деле	10	21
6	что в	4	20
7	может быть	26	19
8	точки зрения	34	16
9	в ней	4	15
10	если бы	2	14
11	том что	3	14
12	как бы	15	14
13	в этом	16	13
14	было бы	4	12
15	не только	8	12
16	таким образом	17	12
17	не в	5	12
18	что он	2	11
19	в сущности	3	10
20	то же	7	10
21	же самое	3	10
22	и не	26	10
23	и все	5	10
24	с точки	20	9
25	в двух	2	9
26	того чтобы	5	9
27	все же	8	8
28	с этим	4	8
29	вовсе не	5	8
30	как и	12	8
31	и как	3	8
32	как раз	2	8
33	из этого	2	8
34	для того	4	8
35	и это	3	8
36	с другой	5	7
37	в ее	7	7
38	а не	7	7
39	мы можем	2	7
40	не может	24	7
41	как мы	13	7
42	а в	4	7
43	между тем	3	7
44	мы уже	2	7
45	из них	3	6
46	и здесь	6	6
47	к тому	2	6
48	с самого	4	6
49	до сих	8	6
50	она не	2	6
51	в котором	3	6
52	не имеет	3	6
53	тому что	2	6
54	он не	3	6
55	так как	2	6
56	если мы	11	6
57	и его	19	6
58	и на	4	6
59	самого начала	4	6
60	о том	2	6
61	ясно что	5	6
62	там где	2	6
63	должна быть	2	5
64	в своем	2	5
65	в какой	3	5
66	совершенно не	3	5
67	в своей	3	5
68	но и	8	5
69	сих пор	8	5
70	другой стороны	6	5
71	или в	2	5
72	мы не	6	5
73	в другом	2	5
74	в его	6	5
75	так сказать	6	5
76	в которой	3	5
77	никогда не	2	4
78	если он	2	4
79	из него	2	4
80	в свою	2	4
81	при этом	8	4
82	и для	11	4
83	конечно не	5	4
84	во всех	7	4
85	но если	2	4
86	в нем	10	4
87	что и	2	4
88	как в	4	4
89	все эти	7	4
90	здесь мы	4	4
91	того что	3	4
92	из которых	2	4
93	и даже	2	4
94	в своих	2	4
95	сказать что	4	4
96	и между	4	4
97	только в	9	4
98	одна из	2	4
99	в себе	2	4
100	в виду	2	4
101	место в	3	3
102	дано в	2	3
103	из этих	2	3
104	что все	2	3
105	к этому	5	3
106	и к	3	3
107	ни в	2	3
108	она может	3	3
109	конечно в	2	3
110	того же	6	3
111	тот же	4	3
112	мы говорили	3	3
113	в основе	2	3
114	и этот	2	3
115	как если	2	3
116	все это	3	3
117	и только	2	3
118	что не	2	3
119	в таком	2	3
120	тем что	2	3
121	далеко не	4	3
122	в то	3	3
123	бы в	2	3
124	могла бы	2	3
125	его в	3	3
126	но в	7	3
127	одного из	3	2
128	в данном	4	2
129	не могут	3	2
130	и более	2	2
131	к своему	2	2
132	и та	2	2
133	смысле этого	3	2
134	отнюдь не	6	2
135	между собой	2	2
136	следует что	3	2
137	хотя бы	5	2
138	с этой	2	2
139	и во	2	2
140	противоречие между	2	2
141	на самом	3	2
142	во всяком	5	2
143	и ее	3	2
144	как же	4	2
145	до конца	5	2
146	у нас	2	2
147	к каким	2	2
148	без всякой	2	2
149	свою очередь	2	2
150	здесь в	3	2
151	для него	9	2
152	в первой	2	2
153	по преимуществу	5	2
154	и той	2	2
155	совпадает с	2	2
156	то как	2	2
157	всяком случае	2	2
158	с ее	2	2
159	он может	3	2
160	благодаря этому	2	2
161	места в	3	2
162	всех остальных	2	2
163	имеет место	2	2
164	что же	4	2
165	целый ряд	3	2
166	так же	7	2
167	в одной	2	2
168	по аналогии	2	2
169	не просто	2	2
170	одной и	2	2
171	для всех	2	2
172	той же	2	2
173	в качестве	2	2
174	в конце	5	2
175	не имеют	3	2
176	говорит он	2	2
177	это является	2	2
178	и следовательно	3	2
179	не нашли	2	2
180	к его	2	2
181	как к	2	2
182	в истории	3	2
183	его к	2	2
184	одним словом	2	2
185	этого слова	2	2
186	в русской	2	2
187	этими двумя	2	2
188	к этой	2	2
189	ничего не	6	2
190	и действительно	3	2
