N	2gram	Losev_Prob_2	Morfolog
1	может быть	18	52
2	и т	6	49
3	т д	6	47
4	таким образом	4	20
5	представляет собой	2	17
6	не может	13	17
7	в этих	4	16
8	с этим	5	14
9	и в	35	13
10	в этом	17	13
11	и др	2	12
12	так как	7	12
13	перед нами	2	11
14	связи с	5	11
15	прежде всего	11	9
16	этом случае	7	9
17	так и	7	9
18	в связи	5	9
19	то же	5	9
20	и не	37	9
21	а не	10	9
22	с другой	6	8
23	что и	2	8
24	при помощи	8	8
25	в результате	4	8
26	вопрос о	3	7
27	в тех	2	7
28	в качестве	2	7
29	но если	4	7
30	все же	8	7
31	имеем в	2	7
32	не могут	4	6
33	и здесь	4	6
34	в том	12	6
35	но не	4	6
36	а также	2	6
37	а в	4	6
38	подобно тому	2	6
39	не менее	13	5
40	тому как	3	5
41	если мы	9	5
42	во всех	2	5
43	далеко не	4	5
44	как бы	4	5
45	не все	4	5
46	один из	3	5
47	то что	38	5
48	или в	2	5
49	потому что	13	5
50	мы не	7	5
51	что в	11	4
52	и как	4	4
53	вовсе не	37	4
54	об этом	2	4
55	тем не	12	4
56	случае не	4	4
57	было бы	8	4
58	несмотря на	3	4
59	не только	24	4
60	то это	3	4
61	как мы	5	4
62	другой стороны	5	4
63	так же	5	4
64	как и	5	4
65	хотя и	3	4
66	тем что	4	4
67	точки зрения	2	4
68	также и	12	4
69	его в	3	4
70	ничего не	10	4
71	независимо от	2	3
72	если бы	4	3
73	в нашем	3	3
74	между собой	5	3
75	предметы и	2	3
76	том что	19	3
77	но все	2	3
78	но это	6	3
79	что они	3	3
80	на нем	2	3
81	в целом	3	3
82	кроме того	5	3
83	того чтобы	2	3
84	он не	2	3
85	не является	7	3
86	ни в	6	3
87	но и	16	3
88	на него	2	3
89	входит в	2	3
90	на самом	4	3
91	самом деле	4	3
92	из которых	2	3
93	и по	3	3
94	к нему	2	3
95	и для	6	3
96	мы можем	6	3
97	и ее	2	3
98	большей частью	3	3
99	в то	6	3
100	мы должны	3	3
101	если же	3	3
102	но в	6	3
103	значит что	4	3
104	совсем не	7	2
105	и более	5	2
106	с тем	3	2
107	в виде	6	2
108	в частности	5	2
109	хотя бы	12	2
110	точно так	3	2
111	что он	4	2
112	утверждать что	2	2
113	имеется в	3	2
114	можно сказать	6	2
115	и к	3	2
116	на первый	4	2
117	в в	2	2
118	в нее	2	2
119	и при	2	2
120	только в	14	2
121	что до	2	2
122	нельзя было	3	2
123	смысле слова	7	2
124	одной стороны	5	2
125	мы уже	3	2
126	никто не	3	2
127	является функцией	2	2
128	не значит	2	2
129	в таких	3	2
130	в настоящее	16	2
131	оно не	3	2
132	не существует	6	2
133	быть и	2	2
134	без всякой	5	2
135	или менее	4	2
136	есть нечто	7	2
137	и только	4	2
138	а а	6	2
139	или иные	3	2
140	с одной	5	2
141	относятся к	3	2
142	все эти	7	2
143	и что	13	2
144	того что	12	2
145	для того	3	2
146	что такое	18	2
147	уже не	8	2
148	не имеет	7	2
149	можно было	5	2
150	является в	2	2
151	в каком	4	2
152	самого себя	2	2
153	не знает	3	2
154	настоящее время	16	2
155	или не	2	2
156	что мы	14	2
157	или по	4	2
158	но вот	2	2
159	о том	18	2
160	ясно что	8	2
161	здесь не	2	2
162	одна из	3	2
163	сказать что	24	2
164	более или	4	2
165	что многие	2	2
166	это было	2	2
