N	3gram	Tiupa_Disk_2	TeoriaLi
1	по отношению к	4	8
2	в отличие от	12	7
3	я в мире	2	7
4	то же время	5	6
5	в то же	4	6
6	в том что	6	6
7	в данном случае	6	5
8	присутствия в мире	2	5
9	не сводится к	2	5
10	состоит в том	2	4
11	той или иной	3	3
12	ни в мире	2	3
13	и того же	2	2
14	одного и того	2	2
15	и то же	2	2
16	в соответствии с	2	2
17	в этом мире	2	2
18	с точки зрения	2	2
19	не может быть	3	2
20	в сочетании с	2	2
21	одно и то	2	2
22	с одной стороны	4	2
23	как и в	5	2
24	в русской литературе	2	2
