N	2gram	Bakhtin_Pr_3	Myshleni
1	в этом	8	29
2	точки зрения	4	28
3	и в	53	26
4	не только	4	24
5	то что	9	24
6	таким образом	6	23
7	с точки	2	21
8	в том	14	18
9	и не	15	18
10	том что	5	17
11	потому что	5	16
12	для других	2	15
13	как и	11	15
14	так как	7	14
15	как мы	5	14
16	что в	2	12
17	вместе с	2	12
18	и его	10	12
19	в которой	2	11
20	но и	7	11
21	не может	2	11
22	по своей	9	10
23	в развитии	3	10
24	слова и	3	10
25	по своему	6	9
26	в самом	2	9
27	по сравнению	4	9
28	в сущности	10	9
29	тем что	2	9
30	в себе	5	9
31	то же	6	8
32	сказать что	10	8
33	сравнению с	4	8
34	что он	4	8
35	ее в	3	8
36	той же	5	8
37	только в	4	8
38	самого начала	4	7
39	прежде всего	15	7
40	с самого	3	7
41	может быть	12	7
42	и к	5	7
43	мы не	4	7
44	в смысле	2	6
45	и тем	2	6
46	по отношению	2	6
47	именно в	2	6
48	мы должны	4	6
49	как бы	14	6
50	в ее	3	6
51	было бы	5	6
52	во всех	12	6
53	все эти	9	6
54	а не	11	6
55	в сознании	2	6
56	что это	2	6
57	можно сказать	8	5
58	и их	2	5
59	и с	6	5
60	в начале	2	5
61	как это	2	5
62	и для	4	5
63	не менее	3	4
64	никогда не	2	4
65	перейти к	2	4
66	с другой	2	4
67	и от	3	4
68	в конце	3	4
69	которые мы	2	4
70	и наконец	2	4
71	и во	4	4
72	в его	8	4
73	о том	2	4
74	но в	5	4
75	на пороге	10	4
76	еще не	5	4
77	одной из	4	4
78	как в	7	4
79	в той	2	4
80	не в	2	4
81	в области	3	4
82	связана с	2	3
83	я не	4	3
84	все это	8	3
85	это не	6	3
86	в собственном	2	3
87	тем не	2	3
88	но это	3	3
89	есть в	3	3
90	в ней	7	3
91	в основе	5	3
92	смысле этого	2	3
93	между ними	2	3
94	мы видели	2	3
95	мы находим	2	3
96	и по	3	3
97	он не	3	3
98	мы уже	5	3
99	с ним	2	3
100	и заключается	2	3
101	мы остановимся	2	3
102	во всем	2	3
103	в то	5	3
104	но не	5	3
105	и другой	3	3
106	в одной	2	3
107	до сих	5	3
108	и потому	5	3
109	что и	3	3
110	в своей	3	3
111	собственном смысле	2	3
112	сих пор	5	3
113	так и	6	3
114	менее всего	2	3
115	мы видим	2	3
116	с другими	3	3
117	мы можем	5	3
118	перед нами	5	2
119	уже в	2	2
120	прежде чем	2	2
121	казалось бы	3	2
122	себя и	2	2
123	в этих	5	2
124	которой мы	2	2
125	мы и	2	2
126	в большинстве	4	2
127	на его	3	2
128	несмотря на	2	2
129	и той	2	2
130	одним из	3	2
131	один из	6	2
132	в нем	10	2
133	отношение к	6	2
134	значение в	4	2
135	в их	2	2
136	одновременно и	3	2
137	и других	9	2
138	форм и	2	2
139	образом в	2	2
140	а в	2	2
141	в своих	2	2
142	также и	4	2
143	но он	2	2
144	его в	2	2
145	большинстве случаев	4	2
146	и которые	2	2
147	с этим	2	2
148	этих двух	2	2
149	к этому	4	2
150	вовсе не	3	2
151	значение и	2	2
152	а затем	4	2
153	со всеми	8	2
154	наряду с	5	2
155	наконец в	2	2
156	с ней	3	2
157	и до	5	2
158	во всей	4	2
159	ко всем	2	2
160	почти всегда	3	2
161	могут быть	4	2
162	и ее	6	2
163	на ее	2	2
164	здесь как	3	2
165	ничего не	6	2
