N	2gram	Tiupa_Anal_1	Tragedij
1	и в	18	18
2	в этом	13	9
3	не только	15	8
4	и не	21	7
5	и на	5	7
6	и с	2	7
7	может быть	29	7
8	как бы	5	7
9	что он	3	6
10	и его	5	6
11	же время	6	6
12	но в	8	6
13	все же	4	5
14	так и	4	5
15	это не	6	5
16	не может	22	5
17	то же	9	5
18	как и	13	5
19	в то	9	5
20	несмотря на	2	5
21	но и	17	4
22	то что	6	4
23	в целом	5	4
24	что в	5	4
25	прежде всего	6	4
26	и все	3	4
27	в нем	3	4
28	том что	12	4
29	в этой	5	4
30	в себе	11	4
31	еще не	3	4
32	один из	2	3
33	отнюдь не	15	3
34	никто не	3	3
35	все эти	2	3
36	тем самым	7	3
37	и как	5	3
38	к нему	3	3
39	один в	2	3
40	должно быть	2	3
41	в его	13	3
42	для него	2	3
43	при этом	12	3
44	и сам	2	3
45	своего рода	3	3
46	как будто	3	3
47	в мире	8	3
48	с ним	4	3
49	то есть	11	3
50	еще в	2	2
51	и до	2	2
52	не могут	3	2
53	что и	3	2
54	как говорит	2	2
55	в частности	19	2
56	в отличие	6	2
57	данном случае	2	2
58	который в	2	2
59	а как	2	2
60	вопрос о	2	2
61	не просто	2	2
62	уже не	4	2
63	с его	3	2
64	отношение к	2	2
65	к тому	7	2
66	столь же	4	2
67	в ходе	3	2
68	ни в	4	2
69	в том	27	2
70	отличие от	6	2
71	в таком	3	2
72	не в	14	2
73	в данном	2	2
74	и то	2	2
75	не случайно	3	2
76	потому что	2	2
77	в первом	2	2
78	о том	5	2
79	в самом	6	2
80	он не	3	2
81	никогда не	2	2
