N	2gram	Losev_Dial_4	Narrotol
1	не только	8	26
2	а не	18	17
3	но и	4	15
4	в том	11	14
5	при этом	2	14
6	в качестве	2	14
7	и не	30	14
8	том что	10	13
9	и в	15	13
10	в этом	11	13
11	в частности	2	11
12	только в	7	11
13	может быть	17	10
14	в данном	3	10
15	так и	5	9
16	то что	16	8
17	в себе	8	8
18	не может	11	8
19	не в	8	8
20	никогда не	2	6
21	в своем	5	6
22	в жизни	5	6
23	прежде всего	11	6
24	можно сказать	5	6
25	того что	13	6
26	в его	4	6
27	со стороны	3	6
28	все же	2	6
29	как бы	14	6
30	ничего не	17	6
31	но в	3	6
32	точки зрения	14	5
33	тем не	2	5
34	что он	7	5
35	хотя и	6	5
36	в котором	2	5
37	я не	5	5
38	и тем	6	5
39	в нем	5	5
40	как в	3	5
41	таким образом	5	5
42	тем самым	3	5
43	отличие от	2	5
44	в то	6	5
45	о том	5	5
46	перед нами	6	4
47	что это	13	4
48	не менее	2	4
49	если бы	6	4
50	отнюдь не	4	4
51	об этом	3	4
52	как и	7	4
53	все что	2	4
54	что в	7	4
55	и уже	4	4
56	жизни и	4	4
57	в своей	3	4
58	в ее	2	4
59	то же	9	4
60	уже не	9	4
61	в силу	4	4
62	в этой	4	4
63	и все	11	4
64	как это	2	4
65	с ним	3	4
66	в себя	5	4
67	а как	2	3
68	с его	5	3
69	мы имеем	5	3
70	это не	12	3
71	да и	2	3
72	что я	5	3
73	что они	4	3
74	же время	6	3
75	в аспекте	2	3
76	того или	2	3
77	как раз	4	3
78	и когда	2	3
79	той или	4	3
80	о нем	2	3
81	один из	4	3
82	то и	2	3
83	все эти	3	3
84	того чтобы	5	3
85	и даже	6	3
86	и по	2	3
87	и для	5	3
88	и его	7	3
89	с ними	4	3
90	о ней	2	3
91	с этой	2	3
92	никак не	2	3
93	сказать что	6	3
94	едва ли	3	3
95	только не	3	2
96	можно назвать	3	2
97	личности в	5	2
98	однако в	2	2
99	двух или	2	2
100	хотя бы	4	2
101	из этих	2	2
102	точно так	2	2
103	я уже	3	2
104	вовсе не	6	2
105	в свою	3	2
106	на то	5	2
107	к своему	2	2
108	личности как	3	2
109	говорит о	3	2
110	и т	17	2
111	тем более	6	2
112	эти два	2	2
113	как о	2	2
114	должна быть	7	2
115	что с	2	2
116	когда же	2	2
117	еще не	4	2
118	было бы	9	2
119	себе и	2	2
120	в самом	2	2
121	но для	2	2
122	что она	5	2
123	оно не	2	2
124	что и	6	2
125	себя в	2	2
126	не будет	2	2
127	от всего	3	2
128	собственно говоря	2	2
129	о личности	10	2
130	не объясняет	2	2
131	именно в	5	2
132	у нас	3	2
133	в течение	4	2
134	и что	9	2
135	только что	2	2
136	с точки	9	2
137	не имеет	14	2
138	так же	4	2
139	той же	5	2
140	мы не	9	2
141	или иначе	2	2
142	в чем	8	2
143	тому как	4	2
144	но это	4	2
145	в результате	6	2
146	в ней	5	2
147	в виде	3	2
148	подобно тому	4	2
149	говорить о	11	2
150	бы в	4	2
151	потому что	10	2
152	которая не	2	2
153	в области	3	2
154	том как	2	2
155	стало быть	15	2
