N	2gram	Ircho_Kome_1	Mirosoze
1	и в	22	46
2	в нем	4	22
3	у него	3	22
4	может быть	9	21
5	в этом	3	20
6	и не	8	18
7	не только	10	18
8	но и	11	15
9	не может	2	15
10	как и	9	13
11	прежде всего	5	12
12	потому что	5	12
13	но он	2	11
14	у нас	3	11
15	но в	4	10
16	он не	3	10
17	в себе	2	10
18	он был	2	9
19	не в	6	9
20	но это	2	8
21	так как	4	8
22	отношение к	3	8
23	в этой	7	7
24	что он	6	7
25	как в	5	7
26	вопрос о	3	6
27	так же	3	6
28	и здесь	2	6
29	то же	6	5
30	в отношении	6	5
31	и вот	4	5
32	совсем не	2	5
33	в самом	2	5
34	один из	5	5
35	в конце	6	5
36	и все	3	5
37	к тому	6	5
38	то что	2	5
39	и его	8	5
40	в его	5	5
41	что в	6	4
42	для этого	2	4
43	все что	2	4
44	до конца	2	4
45	что у	2	4
46	в свою	2	4
47	том что	12	4
48	что и	4	4
49	так и	5	4
50	т е	13	4
51	же как	3	3
52	в образе	3	3
53	на все	2	3
54	и можно	2	3
55	ни в	6	3
56	в том	11	3
57	что они	4	3
58	и самого	2	3
59	не мог	3	3
60	в своих	2	3
61	и на	3	3
62	и с	3	3
63	по своей	2	3
64	о том	8	3
65	его в	3	3
66	к которому	3	3
67	в них	3	3
68	и во	2	3
69	в трагедии	2	3
70	до сих	2	3
71	сих пор	2	3
72	того как	3	3
73	тем что	4	3
74	только в	3	3
75	в чем	3	3
76	место в	3	2
77	уже в	5	2
78	и мир	2	2
79	да и	3	2
80	в действительности	2	2
81	со своим	5	2
82	на его	5	2
83	такого рода	6	2
84	хотя и	3	2
85	к нему	2	2
86	не к	2	2
87	по отношению	3	2
88	и других	7	2
89	а в	6	2
90	в более	3	2
91	точки зрения	4	2
92	е в	2	2
93	между тем	5	2
94	на этом	2	2
95	после того	3	2
96	тот же	3	2
97	в сущности	2	2
98	к ней	2	2
99	еще в	5	2
100	отношению к	3	2
101	принадлежит к	2	2
102	вместе с	2	2
103	ее в	2	2
104	нас в	2	2
105	правда в	2	2
106	как будто	2	2
107	в которой	6	2
108	ничего не	3	2
