N	2gram	Tiupa_Lite_1	Marksizm
1	точки зрения	6	34
2	может быть	13	26
3	и не	12	26
4	не может	5	24
5	с точки	2	20
6	и в	8	19
7	и его	4	19
8	таким образом	3	17
9	в этом	12	16
10	как бы	7	15
11	прежде всего	11	13
12	как и	6	12
13	индивидуального сознания	2	12
14	так и	4	11
15	связи с	6	11
16	в самом	3	10
17	в нем	2	10
18	в слове	2	10
19	и т.п	4	10
20	самом деле	2	10
21	для него	2	9
22	лишь в	4	9
23	только в	8	9
24	при этом	19	8
25	но и	17	8
26	друг друга	4	8
27	не только	24	8
28	все же	4	8
29	то что	10	8
30	в связи	4	7
31	все эти	2	7
32	но в	3	7
33	то же	5	7
34	а не	16	7
35	в том	16	6
36	в пределах	3	6
37	отнюдь не	2	6
38	того же	2	6
39	в его	7	6
40	на почве	2	6
41	и того	2	6
42	с другой	3	5
43	в конце	4	5
44	знаковом материале	2	5
45	не в	8	5
46	за пределы	2	5
47	по преимуществу	4	5
48	в отличие	5	5
49	хотя бы	2	5
50	во всяком	3	5
51	отличие от	5	5
52	что в	3	4
53	не менее	7	4
54	не является	2	4
55	не столько	5	4
56	а в	3	4
57	еще не	4	4
58	было бы	2	4
59	как в	5	4
60	только на	2	4
61	в данном	5	4
62	далеко не	3	4
63	этом отношении	2	3
64	и есть	3	3
65	одного из	3	3
66	а как	2	3
67	или иной	2	3
68	же время	5	3
69	из них	4	3
70	по отношению	3	3
71	не было	3	3
72	того что	6	3
73	между тем	2	3
74	нуждается в	3	3
75	xix века	6	3
76	в то	5	3
77	его в	3	3
78	нет ничего	2	3
79	различие между	2	3
80	том что	14	3
81	в сущности	2	3
82	общего с	2	3
83	не есть	2	3
84	в своей	4	3
85	сводится к	3	3
86	в области	3	3
87	должна быть	2	2
88	в частности	15	2
89	никогда не	4	2
90	в своем	11	2
91	тем не	2	2
92	одним из	5	2
93	и является	2	2
94	в виду	3	2
95	всяком случае	2	2
96	и др	3	2
97	жизни и	3	2
98	по аналогии	3	2
99	и только	2	2
100	во втором	2	2
101	и даже	3	2
102	можно было	2	2
103	в своих	4	2
104	с этой	5	2
105	одну из	2	2
106	же и	3	2
107	из этих	2	2
108	о том	2	2
109	как он	2	2
110	эта мысль	2	2
111	в сознании	2	2
112	в основе	3	2
113	для них	2	2
114	нового времени	2	2
115	не как	4	2
116	но при	2	2
117	что он	5	2
118	в себе	7	2
119	одна из	3	2
120	в качестве	17	2
121	к тому	2	2
122	не могло	2	2
123	отношению к	2	2
124	не остается	2	2
125	и прежде	3	2
126	как раз	4	2
127	что не	2	2
128	что такое	2	2
129	на смену	6	2
130	той же	3	2
131	или иначе	9	2
132	реакция на	2	2
133	тем что	2	2
134	могут быть	2	2
135	в другом	2	2
136	ту же	2	2
137	в русской	10	2
138	в знаковом	2	2
