N	2gram	Tiupa_Anal_2	Hudozhes
1	том что	12	16
2	и в	16	14
3	так и	15	13
4	а не	10	12
5	в том	12	12
6	не только	16	12
7	при этом	10	12
8	о том	7	12
9	прежде всего	3	11
10	в этом	18	11
11	в себе	7	11
12	для него	4	10
13	в своей	2	10
14	у него	4	9
15	как и	14	9
16	в качестве	11	9
17	то же	4	9
18	как в	4	8
19	то что	7	8
20	же время	2	8
21	отношению к	4	8
22	по отношению	4	8
23	между тем	2	8
24	в этой	9	8
25	в то	2	8
26	в его	2	8
27	ничего не	9	8
28	казалось бы	3	7
29	к тому	7	7
30	уже не	4	7
31	не в	4	7
32	еще не	2	7
33	своего рода	12	7
34	как бы	10	7
35	не может	4	7
36	именно в	3	7
37	а в	3	7
38	не случайно	8	7
39	тогда как	19	7
40	никогда не	3	6
41	что в	2	6
42	читателя в	4	6
43	было бы	3	6
44	в первой	3	6
45	как правило	4	6
46	не менее	4	5
47	в частности	16	5
48	в этих	2	5
49	может быть	6	5
50	только в	4	5
51	и он	2	5
52	в аспекте	4	5
53	но и	12	5
54	во второй	4	5
55	и его	4	5
56	можно было	3	5
57	точки зрения	4	5
58	но в	6	5
59	в своем	4	4
60	т е	2	4
61	столь же	4	4
62	и все	3	4
63	на то	2	4
64	можно сказать	4	4
65	и к	5	4
66	тем не	3	4
67	мы узнаем	2	4
68	она не	2	4
69	в действительности	3	4
70	картины мира	2	4
71	несмотря на	3	4
72	в самом	6	4
73	один из	2	4
74	что она	2	4
75	себя в	2	4
76	из них	3	4
77	как раз	4	4
78	в центре	3	4
79	художественного целого	7	4
80	уединенного сознания	8	4
81	того что	2	4
82	он не	2	4
83	как будто	3	4
84	в конце	4	4
85	всего лишь	8	4
86	с ним	2	4
87	и читателя	3	4
88	но не	4	3
89	если бы	3	3
90	отнюдь не	8	3
91	превращается в	2	3
92	романа в	3	3
93	в мире	6	3
94	и смерти	4	3
95	как мы	3	3
96	в ходе	4	3
97	говорить о	6	3
98	художественной реальности	20	3
99	на этом	4	3
100	в пределах	9	3
101	такого рода	2	3
102	по преимуществу	4	3
103	еще в	2	3
104	речь идет	2	3
105	даже в	2	3
106	со стороны	3	3
107	в тексте	24	3
108	приводит к	3	3
109	если говорить	2	3
110	эстетический анализ	2	3
111	и для	2	3
112	этом отношении	3	3
113	лишь в	9	3
114	и даже	9	3
115	с точки	2	3
116	в таком	2	3
117	тем что	3	3
118	и на	6	3
119	его в	2	3
120	а также	7	3
121	едва ли	3	3
122	автора и	3	2
123	в рамках	3	2
124	в ответ	2	2
125	к читателю	2	2
126	конечном счете	2	2
127	и м	2	2
128	или напротив	2	2
129	не столько	3	2
130	художественного восприятия	2	2
131	художественности в	2	2
132	уже говорилось	4	2
133	на фоне	3	2
134	в себя	4	2
135	или иного	3	2
136	по себе	2	2
137	в конечном	3	2
138	что на	3	2
139	к своему	2	2
140	состоит в	8	2
141	так что	3	2
142	с той	2	2
143	по выражению	2	2
144	а то	2	2
145	о своей	2	2
146	в целом	8	2
147	внутреннего я	2	2
148	одной из	3	2
149	со своим	3	2
150	на себе	3	2
151	на его	3	2
152	только на	3	2
153	значительной степени	2	2
154	никак не	2	2
155	хотя и	4	2
156	литературоведческого анализа	2	2
157	для нее	2	2
158	на него	2	2
159	в их	3	2
160	все это	4	2
161	внимание на	2	2
162	особенно в	7	2
163	не знает	3	2
164	иначе говоря	11	2
165	и не	12	2
166	жизнью и	2	2
167	при всей	3	2
168	ключ к	3	2
169	жанровой стратегии	3	2
170	в значительной	2	2
171	в речи	3	2
172	того или	3	2
173	не имеет	2	2
174	той же	2	2
175	на основе	2	2
176	художественного мира	2	2
177	с ними	3	2
178	в результате	3	2
179	личности и	2	2
180	не о	2	2
181	речевого строя	2	2
182	с ее	2	2
183	с позиции	2	2
184	не следует	2	2
185	представляют собой	2	2
186	я и	3	2
