N	2gram	Savitsky_P_1	Problema
1	и в	14	44
2	и не	12	35
3	может быть	5	28
4	потому что	3	25
5	по себе	4	25
6	то что	4	23
7	в том	9	21
8	только в	7	19
9	а не	2	18
10	в этом	10	17
11	для нас	2	16
12	не только	17	14
13	не в	5	13
14	и т	3	13
15	то же	9	13
16	но в	9	12
17	том что	4	12
18	не менее	2	10
19	но и	6	10
20	отнюдь не	2	10
21	это не	3	9
22	и тем	2	9
23	в нем	3	9
24	и с	2	9
25	как бы	4	9
26	в то	7	9
27	никак не	2	9
28	в его	2	9
29	и это	2	9
30	что в	4	8
31	есть нечто	2	8
32	того что	2	8
33	что мы	3	8
34	было бы	6	8
35	как раз	2	8
36	в себе	3	8
37	с другой	5	7
38	не может	4	7
39	мы должны	4	7
40	и потому	4	7
41	мы не	3	7
42	и если	4	6
43	сами по	3	6
44	и к	4	6
45	в виде	2	6
46	не было	2	5
47	да и	2	5
48	с тем	3	5
49	и есть	2	5
50	хотя и	3	5
51	в ней	6	5
52	все это	2	5
53	в своем	4	5
54	а в	4	5
55	точки зрения	3	5
56	есть не	2	5
57	и о	5	5
58	тем самым	3	5
59	и без	3	4
60	заключается в	3	4
61	а также	4	4
62	в ее	2	4
63	прежде всего	3	3
64	и как	3	3
65	отношения к	2	3
66	в которых	5	3
67	в порядке	3	3
68	если бы	4	3
69	же в	4	3
70	говорить о	2	3
71	тем более	2	3
72	но не	3	3
73	в качестве	9	3
74	во всей	2	3
75	хотя бы	8	3
76	есть в	2	3
77	именно в	2	2
78	в частности	2	2
79	в отношении	10	2
80	не столько	2	2
81	но также	4	2
82	в котором	4	2
83	из них	2	2
84	она ни	2	2
85	с одной	3	2
86	как на	2	2
87	с этим	2	2
88	в начале	2	2
89	является в	2	2
90	для них	2	2
91	между прочим	2	2
92	во всех	2	2
93	по сравнению	2	2
94	не будем	2	2
95	с точки	3	2
96	в сравнении	3	2
97	сравнении с	3	2
98	могут быть	3	2
