N	2gram	Vygotskiy__1	Problemy
1	и в	31	35
2	как бы	5	31
3	и не	16	27
4	что он	7	24
5	в его	6	21
6	но в	3	19
7	не может	17	18
8	как и	16	18
9	в нем	2	16
10	то есть	26	16
11	то же	5	15
12	и все	5	15
13	но и	2	14
14	может быть	22	14
15	все это	8	14
16	в сущности	10	14
17	и его	7	14
18	в этом	12	14
19	к нему	2	13
20	что я	4	13
21	он не	3	13
22	прежде всего	4	12
23	и с	2	12
24	и к	3	12
25	в то	5	11
26	не в	11	10
27	самом деле	9	10
28	не только	13	10
29	то что	32	10
30	на самом	2	9
31	так и	3	8
32	себя и	2	8
33	потому что	10	8
34	все же	5	8
35	как мы	2	8
36	и для	5	8
37	так же	12	7
38	а в	6	7
39	точки зрения	15	7
40	с ним	2	7
41	вовсе не	6	7
42	что же	2	7
43	там где	4	7
44	таким образом	20	7
45	слова в	3	6
46	что в	23	6
47	в каждом	3	6
48	к тому	4	6
49	но это	3	6
50	что они	2	6
51	и что	8	6
52	у меня	3	6
53	отношение к	2	6
54	в самом	11	6
55	что у	3	6
56	в одном	2	6
57	от него	2	6
58	но не	3	6
59	в слове	3	6
60	только в	14	6
61	в конце	3	5
62	в том	30	5
63	так что	5	5
64	как к	2	5
65	от себя	4	5
66	и даже	6	5
67	этого слова	4	5
68	даже в	2	5
69	как в	9	5
70	и то	2	5
71	в себе	4	5
72	и это	3	5
73	все время	4	4
74	никогда не	8	4
75	с другой	5	4
76	та же	3	4
77	в такой	2	4
78	до конца	6	4
79	всяком случае	6	4
80	и вот	3	4
81	между тем	4	4
82	и так	4	4
83	но как	2	4
84	его в	2	4
85	так как	18	4
86	бы в	2	4
87	у него	4	4
88	как раз	2	4
89	в них	2	4
90	по себе	9	4
91	во всем	3	4
92	тот же	2	4
93	наконец в	2	4
94	в своей	3	4
95	только на	3	4
96	а не	13	4
97	и у	4	4
98	и без	2	4
99	во всяком	8	4
100	как будто	5	4
101	что это	6	4
102	в чем	2	4
103	уже в	3	3
104	и от	2	3
105	такой же	2	3
106	тому же	3	3
107	совсем не	3	3
108	в него	2	3
109	в виду	4	3
110	в целом	5	3
111	из них	2	3
112	другой стороны	5	3
113	его и	3	3
114	в одной	3	3
115	но только	3	3
116	того что	10	3
117	сказать что	7	3
118	и во	2	3
119	нуждается в	3	3
120	или как	2	3
121	под влиянием	3	3
122	в котором	4	3
123	с тем	3	3
124	с этим	3	3
125	этом смысле	2	3
126	в ее	5	3
127	это и	3	3
128	том что	16	3
129	было бы	6	3
130	со всеми	4	3
131	конце концов	3	3
132	что и	13	3
133	когда он	2	3
134	только что	2	3
135	уже не	2	3
136	ничего не	2	3
137	не менее	2	2
138	на вопрос	2	2
139	в этих	4	2
140	тому что	4	2
141	столь же	4	2
142	с этой	4	2
143	что все	3	2
144	это в	2	2
145	вопрос о	3	2
146	что на	3	2
147	мы знаем	3	2
148	ни в	9	2
149	без всякого	2	2
150	из его	3	2
151	но что	2	2
152	что с	2	2
153	она в	2	2
154	при этом	19	2
155	например в	3	2
156	к другим	2	2
157	совпадает с	4	2
158	хотя и	3	2
159	время как	5	2
160	мы видели	2	2
161	тому чтобы	3	2
162	я хотел	2	2
163	в своем	3	2
164	что оно	3	2
165	те же	4	2
166	и по	3	2
167	есть только	2	2
168	увидим что	2	2
169	тому как	7	2
170	в которых	3	2
171	их в	2	2
172	что даже	2	2
173	о том	7	2
174	как он	2	2
175	в произведении	3	2
176	мысли в	3	2
177	уже и	2	2
178	смысле этого	2	2
179	будто бы	2	2
180	и другого	2	2
181	в жизни	2	2
182	этих двух	2	2
183	точек зрения	3	2
184	быть в	2	2
185	должна была	2	2
186	очень часто	4	2
187	ли это	2	2
188	когда она	2	2
189	мы увидим	4	2
190	с таким	11	2
191	вместе с	8	2
192	бы и	2	2
193	говорит о	2	2
194	приводит к	2	2
195	им в	3	2
196	в отличие	3	2
197	показать что	8	2
198	в голове	2	2
199	и как	2	2
200	с точки	2	2
201	зависимость от	2	2
202	в которой	4	2
203	той же	3	2
204	мы можем	4	2
205	подобно тому	5	2
206	теми же	2	2
207	из этого	2	2
208	отличие от	4	2
