N	2gram	Bakhtin_KF_1	Vladivir
1	и в	24	31
2	не только	5	24
3	но и	9	19
4	то что	7	18
5	и не	26	17
6	том что	4	14
7	что в	4	14
8	в этом	14	14
9	что он	2	12
10	в его	40	12
11	но в	5	12
12	в том	6	11
13	потому что	2	11
14	о том	3	11
15	и то	2	10
16	он не	6	10
17	никогда не	5	9
18	а в	4	9
19	только в	16	9
20	в то	3	8
21	для него	8	7
22	о нем	4	7
23	и его	17	7
24	он и	2	6
25	к этому	2	6
26	в качестве	2	6
27	и потому	2	6
28	может быть	45	6
29	в котором	24	6
30	его жизни	3	6
31	так и	2	6
32	не может	27	6
33	то же	5	6
34	это было	2	6
35	а с	2	5
36	все это	10	5
37	вовсе не	7	5
38	не в	12	5
39	но как	5	5
40	которой он	2	5
41	что и	7	5
42	жизни и	8	5
43	не было	8	5
44	в своих	3	5
45	с ним	5	5
46	я не	6	4
47	же время	2	4
48	в своем	16	4
49	и все	7	4
50	этом смысле	3	4
51	в нем	28	4
52	для нас	4	4
53	в себе	21	4
54	как и	5	4
55	и как	2	4
56	в этой	2	4
57	совсем не	2	4
58	один из	2	4
59	себя в	8	4
60	в своей	10	4
61	из его	3	4
62	во всем	7	4
63	дело в	2	4
64	к нему	12	4
65	для меня	20	4
66	в виде	2	3
67	отнюдь не	6	3
68	философии в	2	3
69	и просто	2	3
70	раз и	2	3
71	в жизни	2	3
72	как в	2	3
73	но не	12	3
74	но это	6	3
75	но я	2	3
76	по своему	3	3
77	ничего не	3	3
78	все же	5	3
79	в целом	10	3
80	отношение к	5	3
81	все эти	10	3
82	если не	2	3
83	здесь мы	4	3
84	уже не	7	3
85	едва ли	2	3
86	жизнь и	2	3
87	что этот	3	3
88	и на	3	3
89	это можно	2	3
90	и здесь	7	3
91	здесь не	3	3
92	и действительно	6	3
93	во мне	3	2
94	в момент	3	2
95	место в	5	2
96	тем что	3	2
97	нисколько не	4	2
98	с тем	2	2
99	время и	5	2
100	не менее	3	2
101	для нее	7	2
102	нет и	3	2
103	хотя бы	4	2
104	и я	5	2
105	ясно что	3	2
106	его к	2	2
107	и весь	2	2
108	тем не	2	2
109	ни в	12	2
110	это и	2	2
111	этот момент	6	2
112	что я	5	2
113	от него	3	2
114	еще не	4	2
115	при этом	4	2
116	того что	3	2
117	было бы	8	2
118	в это	2	2
119	кажется что	2	2
120	и мы	2	2
121	совершенно не	6	2
122	нее в	2	2
123	конечно не	7	2
124	ему в	2	2
125	для себя	5	2
126	не по	4	2
127	дело не	2	2
128	всей его	2	2
129	со стороны	7	2
130	как к	2	2
131	и для	9	2
132	чем не	4	2
133	и других	2	2
134	на первом	2	2
135	лишь в	8	2
136	тем самым	4	2
137	и за	2	2
138	того чтобы	2	2
139	для того	3	2
140	не из	2	2
141	с ними	3	2
142	философии но	2	2
143	где он	3	2
144	а по	2	2
145	точки зрения	12	2
146	к себе	2	2
147	в каком	4	2
148	этот факт	2	2
149	его на	2	2
150	и это	12	2
151	и ни	3	2
152	а это	2	2
153	в чем	4	2
