N	2gram	Voloshinov_1	Tragedij
1	и в	13	18
2	в этом	2	9
3	не только	6	8
4	и не	8	7
5	может быть	8	7
6	как бы	6	7
7	и его	12	6
8	но в	4	6
9	все же	5	5
10	так и	3	5
11	не может	8	5
12	то же	4	5
13	как и	3	5
14	несмотря на	2	5
15	но и	3	4
16	то что	6	4
17	в целом	2	4
18	что в	3	4
19	все это	4	4
20	прежде всего	9	4
21	и все	3	4
22	в нем	2	4
23	так же	2	4
24	том что	2	4
25	в себе	3	4
26	уже в	2	3
27	как в	2	3
28	все эти	2	3
29	в его	7	3
30	для него	2	3
31	при этом	2	3
32	своего рода	2	3
33	мог бы	2	3
34	еще в	2	2
35	не имеет	2	2
36	с г	2	2
37	данном случае	2	2
38	а как	2	2
39	к тому	2	2
40	в ее	3	2
41	в том	2	2
42	не в	3	2
43	вряд ли	3	2
44	в данном	2	2
45	и то	3	2
46	тем что	2	2
47	и ее	2	2
48	в самом	2	2
49	не мог	2	2
50	в одном	3	2
51	никогда не	3	2
