N	2gram	Ircho_Kome_3	Narrotol
1	не только	5	31
2	но и	4	27
3	и не	21	23
4	при этом	7	19
5	может быть	6	15
6	в частности	3	14
7	в качестве	2	14
8	как и	3	13
9	а не	4	13
10	а в	7	13
11	в этом	8	12
12	и в	22	11
13	состоит в	2	10
14	и его	6	10
15	то что	4	9
16	то же	7	8
17	в том	12	8
18	со стороны	11	8
19	не может	3	8
20	представляет собой	3	8
21	если бы	8	7
22	у него	4	7
23	том что	13	7
24	но в	5	7
25	одного из	3	6
26	к тому	6	6
27	об этом	7	6
28	а также	2	6
29	не в	4	6
30	и он	2	6
31	в самом	9	6
32	не мог	2	6
33	как бы	3	6
34	один из	3	6
35	как раз	6	6
36	тому же	6	6
37	в себе	4	6
38	в его	8	6
39	в этой	3	6
40	в своей	5	5
41	так и	4	5
42	столь же	3	5
43	и на	2	5
44	потому что	10	5
45	точки зрения	4	5
46	с его	3	4
47	о чем	7	4
48	никогда не	3	4
49	к себе	5	4
50	все же	4	4
51	же время	5	4
52	прежде всего	5	4
53	еще не	6	4
54	к нему	5	4
55	вплоть до	2	4
56	в ней	4	4
57	в нем	3	4
58	в мире	2	4
59	из них	5	4
60	не по	7	4
61	как в	2	4
62	того чтобы	6	4
63	хотя и	5	4
64	на себя	4	4
65	в то	6	4
66	о том	8	4
67	в одном	2	4
68	не менее	5	3
69	что в	5	3
70	обращается к	3	3
71	однако в	4	3
72	в своем	8	3
73	это не	2	3
74	что он	8	3
75	идет о	3	3
76	тем не	3	3
77	в начале	3	3
78	в целом	3	3
79	самом деле	6	3
80	для того	6	3
81	при всей	2	3
82	и о	2	3
83	он не	5	3
84	в конечном	2	3
85	речь идет	5	3
86	не является	4	3
87	отношению к	3	3
88	по отношению	5	3
89	не было	2	3
90	этом отношении	2	3
91	но при	2	3
92	едва ли	7	3
93	мы не	2	3
94	в глазах	8	3
95	их в	3	3
96	и с	4	3
97	и ее	2	3
98	исходя из	2	3
99	и все	2	3
100	представляют собой	2	3
101	всего лишь	2	3
102	как это	5	3
103	между тем	2	3
104	каким он	2	2
105	а о	2	2
106	отнюдь не	4	2
107	между собой	4	2
108	она была	2	2
109	не владеет	2	2
110	того кто	2	2
111	а на	2	2
112	в конце	7	2
113	в сущности	2	2
114	в свою	7	2
115	на то	3	2
116	о его	2	2
117	как мы	2	2
118	а по	5	2
119	человека который	2	2
120	свою очередь	6	2
121	по своему	3	2
122	все что	3	2
123	между ними	2	2
124	и после	2	2
125	до конца	4	2
126	до сих	9	2
127	в пределах	2	2
128	она не	2	2
129	ситуации в	3	2
130	к ним	3	2
131	всяком случае	3	2
132	не имеет	3	2
133	хотя бы	4	2
134	раз в	2	2
135	не будет	2	2
136	вместе с	9	2
137	дело не	2	2
138	сих пор	9	2
139	ли не	2	2
140	другой стороны	2	2
141	только что	7	2
142	в связи	4	2
143	не могла	3	2
144	для обозначения	2	2
145	если не	3	2
146	все равно	3	2
147	человека в	2	2
148	что не	3	2
149	который в	3	2
150	тем же	3	2
151	и даже	3	2
152	с другой	4	2
153	и для	4	2
154	друг друга	4	2
155	отличие от	2	2
156	роль в	2	2
157	в таком	2	2
158	ничего не	3	2
159	дело с	3	2
160	в результате	2	2
161	во всяком	3	2
162	мы можем	3	2
163	не о	3	2
164	что касается	2	2
165	он и	2	2
166	в присутствии	2	2
167	и еще	3	2
168	связи с	5	2
169	что мы	2	2
170	же самое	3	2
171	на ее	3	2
172	здесь не	2	2
173	с ним	5	2
174	в области	2	2
175	за пределами	2	2
