N	2gram	Tiupa_Anal_2	Istorich
1	и в	16	24
2	не только	16	21
3	т е	2	16
4	этих случаях	2	16
5	может быть	6	14
6	не может	4	14
7	в этих	2	13
8	что в	2	13
9	мы имеем	3	12
10	как в	4	12
11	в этом	18	12
12	но и	12	11
13	у него	4	10
14	том что	12	10
15	а в	3	10
16	с другой	6	9
17	не в	4	9
18	о том	7	9
19	еще не	2	8
20	что и	3	8
21	все это	4	8
22	другой стороны	2	8
23	то же	4	8
24	а не	10	8
25	или в	3	8
26	один из	2	7
27	в том	12	7
28	во всех	4	7
29	то что	7	7
30	вместе с	2	7
31	таким образом	2	7
32	тем что	3	6
33	как и	14	6
34	так же	2	6
35	но не	4	6
36	он не	2	6
37	и все	3	6
38	того что	2	6
39	только в	4	6
40	ответ на	3	6
41	не менее	4	5
42	тот кто	2	5
43	одной стороны	4	5
44	представляют собой	2	5
45	дело не	2	5
46	так и	15	5
47	с одной	5	5
48	что она	2	5
49	с ним	2	5
50	ничего не	9	5
51	но в	6	5
52	никогда не	3	4
53	в состоянии	2	4
54	вовсе не	2	4
55	тем не	3	4
56	по существу	2	4
57	представляет собой	8	4
58	при этом	10	4
59	одной из	3	4
60	своего рода	12	4
61	со своим	3	4
62	как бы	10	4
63	в их	3	4
64	и не	12	4
65	не имеет	2	4
66	точки зрения	4	4
67	в данном	8	4
68	еще одна	2	3
69	в ответ	2	3
70	не столько	3	3
71	в качестве	11	3
72	превращается в	2	3
73	вступает в	2	3
74	не знаю	2	3
75	на то	2	3
76	и стал	2	3
77	так что	3	3
78	и если	3	3
79	его в	2	3
80	данном случае	5	3
81	как мы	3	3
82	и даже	9	3
83	и он	2	3
84	и его	4	3
85	не случайно	8	3
86	хотя и	4	3
87	в конце	4	3
88	тогда как	19	3
89	для нее	2	2
90	того же	4	2
91	вообще не	2	2
92	или даже	2	2
93	к этому	2	2
94	прежде всего	3	2
95	в одну	2	2
96	в то	2	2
97	знаю что	2	2
98	говорит о	5	2
99	так например	2	2
100	она не	2	2
101	было бы	3	2
102	в действительности	3	2
103	на его	3	2
104	в самом	6	2
105	нас к	2	2
106	ни с	2	2
107	в котором	2	2
108	на себя	5	2
109	и тем	4	2
110	на него	2	2
111	со стороны	3	2
112	уже не	4	2
113	но эта	2	2
114	при переходе	2	2
115	на этот	2	2
116	не так	4	2
117	как это	6	2
118	сказать что	2	2
119	из них	3	2
120	он в	4	2
121	попадает в	3	2
122	и на	6	2
123	только на	3	2
124	в один	4	2
125	в таких	2	2
126	на небесах	3	2
