N	2gram	Propp_Isto_7	VLabPisa
1	таким образом	7	27
2	в этом	12	26
3	и в	24	25
4	и т	17	24
5	не только	21	22
6	во сне	2	21
7	может быть	14	21
8	и не	4	19
9	т е	16	17
10	не может	14	17
11	т д	16	15
12	прежде всего	2	13
13	в том	7	13
14	все это	8	12
15	как это	2	12
16	с другой	9	11
17	в силу	2	11
18	из них	2	11
19	не могут	2	10
20	в качестве	3	10
21	о том	9	10
22	по этому	2	9
23	к этому	2	9
24	об этом	6	9
25	что в	13	9
26	и др	2	9
27	но и	11	9
28	то же	8	9
29	все эти	2	8
30	другой стороны	8	8
31	из этих	3	7
32	как и	6	7
33	том что	10	7
34	было бы	2	7
35	говорит о	2	7
36	во всех	7	7
37	вместе с	7	7
38	а не	8	7
39	у него	10	6
40	это не	10	6
41	то что	7	6
42	в основном	2	6
43	в нем	6	6
44	так и	5	6
45	и его	3	6
46	в то	2	6
47	тому что	2	5
48	все же	9	5
49	связи с	3	5
50	как бы	4	5
51	один из	7	5
52	в их	4	5
53	сказать что	2	5
54	только в	6	5
55	не в	9	5
56	он говорит	2	5
57	никогда не	4	4
58	перед нами	2	4
59	что он	21	4
60	с его	3	4
61	в ее	2	4
62	одна из	7	4
63	в самом	2	4
64	когда он	3	4
65	в них	3	4
66	в связи	2	4
67	показывают что	6	4
68	во время	6	3
69	всех этих	6	3
70	и ее	2	3
71	и от	2	3
72	в конце	3	3
73	мы знаем	2	3
74	по существу	4	3
75	мы видели	7	3
76	что они	3	3
77	или в	8	3
78	с этим	2	3
79	что не	2	3
80	со своим	4	3
81	например в	3	3
82	следующим образом	3	3
83	и он	3	3
84	в котором	2	3
85	его в	3	3
86	что и	8	3
87	ее в	3	3
88	всех других	2	3
89	этот вопрос	2	3
90	того что	6	3
91	и по	3	3
92	так же	6	3
93	его не	2	3
94	точки зрения	4	3
95	она не	2	3
96	не менее	5	2
97	на вопрос	4	2
98	три года	2	2
99	отличается от	2	2
100	не всегда	4	2
101	вовсе не	4	2
102	показывает что	8	2
103	стороны и	2	2
104	только о	2	2
105	этом же	2	2
106	что при	2	2
107	в целях	2	2
108	что его	2	2
109	это видно	2	2
110	можно указать	2	2
111	до сих	2	2
112	но не	6	2
113	но для	2	2
114	в различных	3	2
115	так например	2	2
116	еще не	8	2
117	одной стороны	5	2
118	одной из	4	2
119	то это	5	2
120	мы имеем	12	2
121	видеть в	3	2
122	том чтобы	3	2
123	ни с	2	2
124	к ним	2	2
125	что она	5	2
126	и даже	3	2
127	не вполне	3	2
128	если в	2	2
129	при помощи	3	2
130	он может	4	2
131	этом и	2	2
132	после этого	3	2
133	не по	2	2
134	сих пор	3	2
135	между прочим	3	2
136	ее как	2	2
137	а в	10	2
138	в особенности	2	2
139	с одной	5	2
140	они должны	2	2
141	этой точки	3	2
142	должны быть	3	2
143	что такое	2	2
144	показывает как	3	2
145	по его	2	2
146	не столько	3	2
147	хотя и	3	2
148	он в	2	2
149	знаем что	3	2
150	он не	6	2
151	они не	2	2
152	что мы	3	2
153	как он	6	2
154	в образе	3	2
155	в чем	5	2
156	в которой	2	2
157	же как	4	2
158	тогда когда	3	2
159	но в	5	2
