N	2gram	Trubetskoy_1	Myslijsy
1	потому что	5	52
2	и в	14	39
3	может быть	9	27
4	в том	17	26
5	только в	5	25
6	что в	4	22
7	не может	22	22
8	а не	2	21
9	так как	4	21
10	не только	9	21
11	в нем	5	20
12	но и	10	20
13	и не	19	18
14	том что	9	16
15	так что	2	16
16	не в	4	15
17	в этом	17	15
18	если бы	6	14
19	по отношению	2	13
20	в себе	9	13
21	таким образом	11	13
22	было бы	5	12
23	точно так	2	11
24	по себе	2	10
25	а потому	5	10
26	не есть	3	10
27	то что	13	10
28	и что	2	10
29	для нас	2	9
30	как и	4	9
31	тем что	3	9
32	тогда когда	4	9
33	но в	2	9
34	но не	4	8
35	вместе с	4	8
36	со стороны	4	8
37	того что	3	8
38	точки зрения	11	8
39	должно быть	3	7
40	в ней	2	7
41	с этим	2	7
42	в этих	2	7
43	и как	3	6
44	еще не	3	6
45	как бы	4	6
46	что и	3	6
47	все же	4	6
48	и т	3	6
49	то же	11	6
50	при этом	5	6
51	и по	3	6
52	зависит от	2	5
53	с тем	6	5
54	для всех	6	5
55	несмотря на	3	5
56	но это	2	5
57	то в	3	5
58	и потому	3	5
59	в его	4	5
60	то это	3	5
61	во всех	5	5
62	так же	2	5
63	а в	5	5
64	и для	6	5
65	деятельности и	2	5
66	друг друга	3	5
67	в таком	2	5
68	между тем	5	5
69	если же	2	5
70	не могут	4	4
71	никогда не	5	4
72	тем самым	2	4
73	вопрос о	5	4
74	с нею	3	4
75	прежде всего	8	4
76	бы ни	2	4
77	самого себя	7	4
78	от него	2	4
79	же время	10	4
80	для него	6	4
81	к тому	7	4
82	от того	4	4
83	в своих	6	4
84	не было	3	4
85	и даже	2	4
86	из этих	3	4
87	во всем	4	4
88	в то	10	4
89	только для	2	3
90	сама по	2	3
91	что это	3	3
92	тому что	2	3
93	и во	3	3
94	и от	2	3
95	что все	3	3
96	представить себе	2	3
97	друг другу	2	3
98	о котором	3	3
99	в этой	4	3
100	в своем	6	3
101	она не	2	3
102	только на	2	3
103	в своей	5	3
104	для того	6	3
105	помнить что	2	3
106	для себя	2	3
107	и тем	2	3
108	в мире	4	3
109	связи с	3	3
110	в самом	3	3
111	были бы	2	3
112	то ни	4	3
113	к этой	4	3
114	не так	2	3
115	как на	8	3
116	что для	3	3
117	с ним	2	3
118	должна быть	2	3
119	в глазах	2	3
120	и то	4	3
121	во всяком	9	3
122	он не	5	3
123	и при	6	3
124	в сознании	3	3
125	с точки	9	3
126	мы должны	7	3
127	а между	5	3
128	она может	3	3
129	и с	7	3
130	нисколько не	2	2
131	и более	2	2
132	от нас	2	2
133	и есть	2	2
134	по этому	2	2
135	все они	3	2
136	он должен	5	2
137	стремление к	7	2
138	бы то	4	2
139	и вместе	2	2
140	не можем	2	2
141	на то	5	2
142	таким же	3	2
143	но если	3	2
144	о которых	3	2
145	том и	2	2
146	жизни и	4	2
147	уже не	2	2
148	следовательно и	2	2
149	если не	2	2
150	их к	2	2
151	не будет	7	2
152	все что	4	2
153	для них	3	2
154	того чтобы	8	2
155	от друга	2	2
156	ни одна	3	2
157	и о	2	2
158	и если	7	2
159	могут не	2	2
160	но совершенно	2	2
161	для нее	2	2
162	что бы	3	2
163	друг от	2	2
164	проявляется в	2	2
165	из этого	3	2
166	что же	4	2
167	на основании	2	2
168	в их	4	2
169	для этого	3	2
170	и только	5	2
171	тогда как	2	2
172	при котором	3	2
173	точке зрения	3	2
174	что оно	3	2
175	этот вопрос	2	2
176	в течение	2	2
177	ко всем	3	2
178	или в	3	2
179	хотя бы	5	2
180	во многих	2	2
181	и должно	2	2
182	в таких	2	2
183	том же	2	2
184	даже и	2	2
185	народа и	2	2
186	в начале	2	2
187	как будто	2	2
188	о том	7	2
189	видеть в	2	2
190	в других	2	2
191	мы можем	2	2
