N	3gram	Vinokur_St_2	KulturaY
1	и т п	3	18
2	в том что	16	15
3	для того чтобы	5	15
4	и т д	6	14
5	с точки зрения	2	9
6	то обстоятельство что	4	8
7	в самом деле	2	7
8	только потому что	2	6
9	с другой стороны	3	6
10	мере в какой	2	5
11	в этом отношении	9	5
12	о том что	11	5
13	во всяком случае	3	5
14	в той мере	2	5
15	той мере в	2	5
16	том что он	5	4
17	до сих пор	5	4
18	не в том	2	4
19	тем не менее	2	4
20	более или менее	2	3
21	вместе с тем	5	3
22	обратить внимание на	4	2
23	к тому что	5	2
24	так и в	2	2
25	на то что	2	2
26	речь идет о	3	2
27	но все же	2	2
