N	2gram	Propp_Isto_3	FransuaR
1	и в	22	41
2	мы уже	6	18
3	таким образом	10	17
4	в нем	9	16
5	и с	4	16
6	и его	4	13
7	но и	12	13
8	как мы	8	12
9	в этом	17	12
10	все эти	4	11
11	прежде всего	3	10
12	не только	14	10
13	и др	2	10
14	так как	7	10
15	то что	7	10
16	во время	6	9
17	и на	4	9
18	и все	3	9
19	о том	3	9
20	никогда не	3	8
21	здесь и	2	8
22	в этой	5	8
23	но в	10	8
24	у него	3	7
25	в них	6	7
26	вовсе не	2	7
27	том что	8	7
28	в особенности	2	7
29	как и	3	7
30	что в	15	7
31	в его	3	7
32	что он	9	6
33	мы видим	8	6
34	например в	2	6
35	один из	5	6
36	вместе с	9	6
37	или в	11	6
38	сказать что	3	6
39	в то	2	6
40	то же	6	5
41	в одном	2	5
42	так же	3	5
43	и он	2	5
44	а также	2	5
45	из них	7	5
46	так и	2	5
47	в своем	2	5
48	большинстве случаев	2	5
49	и что	2	5
50	той же	2	5
51	тем что	4	5
52	но он	4	5
53	там где	7	5
54	все время	2	4
55	с другой	7	4
56	но они	2	4
57	и от	3	4
58	роль в	2	4
59	а затем	3	4
60	у нас	4	4
61	и как	3	4
62	не в	4	4
63	все что	3	4
64	одной стороны	2	4
65	в ней	2	4
66	в котором	2	4
67	даже в	2	4
68	все же	5	4
69	не может	4	4
70	с одной	2	4
71	как в	2	4
72	и даже	2	4
73	одним из	4	4
74	а в	6	4
75	в другом	2	4
76	мы увидим	3	3
77	связанных с	2	3
78	в одной	3	3
79	с этим	8	3
80	на все	2	3
81	но это	3	3
82	они и	3	3
83	с миром	2	3
84	до сих	5	3
85	было бы	3	3
86	не мог	2	3
87	в него	2	3
88	жизни и	2	3
89	связано с	4	3
90	сих пор	5	3
91	и для	2	3
92	при этом	2	3
93	и не	12	3
94	они не	4	3
95	того что	5	3
96	что не	2	3
97	к нему	5	3
98	есть только	2	3
99	в данном	4	3
100	только в	4	3
101	в чем	3	3
102	потому что	3	3
103	всех этих	2	2
104	в частности	5	2
105	мы еще	3	2
106	связана с	3	2
107	в этих	11	2
108	превращается в	3	2
109	себе в	2	2
110	представление о	3	2
111	стороны и	3	2
112	для нас	4	2
113	в том	9	2
114	так что	5	2
115	в дальнейшем	4	2
116	связи с	6	2
117	с мотивом	7	2
118	что они	8	2
119	от него	2	2
120	на этом	4	2
121	но не	7	2
122	из земли	4	2
123	есть и	5	2
124	никто не	2	2
125	может быть	11	2
126	они могут	2	2
127	хотя и	2	2
128	он не	5	2
129	лицо и	2	2
130	и потому	2	2
131	мы видели	13	2
132	не будем	3	2
133	данном случае	3	2
134	а именно	4	2
135	где они	2	2
136	другой стороны	7	2
137	и другие	4	2
138	еще более	2	2
139	как это	4	2
140	из того	2	2
141	возможно что	6	2
142	а не	6	2
143	и у	3	2
144	и то	2	2
145	их в	3	2
146	между тем	2	2
147	образом в	2	2
148	точки зрения	2	2
149	солнца и	3	2
150	на его	3	2
151	из этих	3	2
152	но конечно	2	2
