N	3gram	Losev_Prob_1	Dialekti
1	и т д	10	15
2	по крайней мере	2	9
3	с точки зрения	3	8
4	сама по себе	4	7
5	не потому что	2	6
6	не есть ни	5	6
7	в том что	5	6
8	о том что	5	4
9	только то что	4	4
10	с другой стороны	3	4
11	в связи с	4	4
12	в самом деле	2	3
13	сам по себе	7	3
14	в таком случае	6	3
15	ни в каком	3	3
16	может быть и	3	3
17	в то же	4	3
18	что иное как	2	3
19	сами по себе	3	3
20	можно сказать что	3	3
21	не что иное	2	3
22	содержит в себе	7	3
23	не может быть	2	3
24	тем или другим	3	2
25	вовсе не есть	6	2
26	в данном случае	8	2
27	вовсе не обязательно	2	2
28	т д и	4	2
29	иметь в виду	3	2
30	это вовсе не	2	2
31	более или менее	3	2
32	то же самое	9	2
33	в каком случае	3	2
34	тем не менее	18	2
35	не говоря уже	2	2
36	есть не что	2	2
37	до сих пор	3	2
38	во всяком случае	3	2
39	д и т	3	2
40	что в нем	3	2
41	так или иначе	2	2
