N	2gram	Vinokur_Vv_1	Istorich
1	т е	38	29
2	что он	4	24
3	и т	43	19
4	не только	21	18
5	т д	37	18
6	может быть	24	17
7	никогда не	3	15
8	и в	27	15
9	мы имеем	3	15
10	но и	5	14
11	так как	13	14
12	так же	3	13
13	что в	11	12
14	а в	5	12
15	то что	17	12
16	об этом	5	11
17	в этих	3	11
18	и не	13	11
19	в этом	34	11
20	его в	6	10
21	то же	8	10
22	этих случаях	2	10
23	с тем	6	9
24	еще не	4	9
25	все же	8	9
26	в другом	3	9
27	потому что	14	9
28	связи с	3	8
29	один из	6	8
30	мы можем	2	8
31	том что	26	7
32	в нем	13	7
33	вместе с	6	7
34	сих пор	5	7
35	таким образом	19	7
36	не в	8	7
37	ничего не	2	7
38	связана с	4	6
39	точно так	2	6
40	так что	5	6
41	до сих	5	6
42	что это	3	6
43	наряду с	2	6
44	в его	10	6
45	как бы	5	6
46	то это	3	6
47	что и	3	6
48	и что	4	6
49	в том	31	6
50	только в	13	6
51	но в	10	6
52	и есть	3	5
53	с этим	2	5
54	прежде всего	8	5
55	в одном	4	5
56	этом случае	6	5
57	к тому	4	5
58	но все	3	5
59	было бы	5	5
60	этого не	2	5
61	же как	3	5
62	в котором	4	5
63	что она	3	5
64	не может	13	5
65	в связи	2	5
66	а не	3	5
67	к нему	2	5
68	можно было	7	5
69	представляет собой	12	5
70	с одной	4	4
71	и др	2	4
72	вопрос о	8	4
73	в этой	3	4
74	при этом	3	4
75	одной из	3	4
76	в ней	3	4
77	после этого	2	4
78	дело не	3	4
79	того как	3	4
80	только после	2	4
81	и с	2	4
82	тем что	6	4
83	и на	3	4
84	в себе	4	4
85	что здесь	2	4
86	все эти	3	4
87	как она	4	4
88	должен был	4	3
89	в качестве	7	3
90	не мог	2	3
91	и его	5	3
92	из этих	5	3
93	как это	5	3
94	одной стороны	4	3
95	мог бы	2	3
96	но если	3	3
97	по мере	4	3
98	о том	15	3
99	отношению к	4	3
100	а именно	6	3
101	в их	11	3
102	все это	6	3
103	по отношению	4	3
104	после того	2	3
105	хотя в	2	3
106	стоит в	2	3
107	того что	12	3
108	в очень	3	3
109	мы не	2	3
110	раньше чем	3	3
111	в работе	3	3
112	он и	2	3
113	как будто	3	3
114	что мы	2	3
115	представляют собой	6	3
116	как он	6	3
117	и это	6	3
118	если это	2	3
119	на вопрос	6	2
120	уже в	5	2
121	зависит от	3	2
122	могут быть	4	2
123	смысле этого	8	2
124	на котором	2	2
125	с другой	8	2
126	это не	8	2
127	не столько	2	2
128	но с	4	2
129	в тех	2	2
130	нисколько не	3	2
131	да и	4	2
132	именно в	8	2
133	по существу	2	2
134	как и	5	2
135	мы видели	2	2
136	в силу	3	2
137	одна из	2	2
138	но не	7	2
139	есть и	4	2
140	одно из	5	2
141	не что	4	2
142	того чтобы	21	2
143	например в	2	2
144	и для	4	2
145	в сущности	3	2
146	чтобы понять	2	2
147	которые были	2	2
148	а также	3	2
149	здесь нет	4	2
150	хотя бы	5	2
151	на этой	3	2
152	из них	3	2
153	во всех	2	2
154	и именно	12	2
155	другой стороны	5	2
156	той же	4	2
157	в разных	5	2
158	не просто	4	2
159	когда мы	2	2
160	д но	5	2
161	самом деле	6	2
162	другом месте	2	2
163	и то	5	2
164	в которых	6	2
165	сказать что	5	2
166	в руки	6	2
167	состоит в	2	2
168	и ее	4	2
169	что иное	4	2
170	это только	4	2
171	будто бы	2	2
172	при помощи	2	2
173	здесь не	2	2
174	в особенности	4	2
175	на нее	2	2
176	только с	3	2
177	иное как	5	2
178	видит в	4	2
179	в виду	4	2
