N	2gram	Tiupa_Lite_2	UchenyiS
1	и в	19	14
2	а не	20	10
3	не только	8	10
4	и не	11	8
5	прежде всего	4	8
6	то что	7	7
7	в этом	9	7
8	не может	9	7
9	в искусстве	4	6
10	может быть	17	6
11	в художественном	2	5
12	хотя бы	2	5
13	художественного творчества	2	5
14	перестает быть	3	5
15	и только	2	5
16	то же	12	5
17	но и	10	4
18	в этой	3	4
19	конечном счете	5	4
20	в их	3	4
21	в россии	2	4
22	с другой	8	4
23	в конечном	5	4
24	но в	2	3
25	как и	10	3
26	и то	3	3
27	все же	2	3
28	в частности	4	3
29	произведения искусства	2	3
30	очевидно что	2	3
31	для этого	2	3
32	же время	9	3
33	другой стороны	4	3
34	для него	4	3
35	в то	9	3
36	было бы	2	3
37	и т.д	7	3
38	в области	4	3
39	ни было	2	3
40	у нас	5	3
41	том что	7	2
42	но не	5	2
43	в том	10	2
44	по существу	3	2
45	мы не	4	2
46	крайней мере	2	2
47	не в	4	2
48	и для	3	2
49	но это	3	2
50	в противовес	3	2
51	не столько	3	2
52	не случайно	4	2
53	и с	3	2
54	тем что	4	2
55	могут быть	2	2
56	даже и	2	2
57	что он	3	2
58	в себе	6	2
59	как раз	2	2
60	в конце	2	2
61	этом отношении	3	2
62	нам представляется	2	2
63	одним из	3	2
64	ничего не	3	2
65	для всех	5	2
66	по крайней	2	2
67	что и	2	2
68	в его	4	2
