N	2gram	Nazirov_Tr_1	Freidism
1	и не	7	23
2	не может	5	20
3	прежде всего	4	18
4	в этом	9	15
5	в его	3	15
6	в душе	2	13
7	может быть	7	13
8	и его	6	12
9	как и	5	11
10	как бы	7	11
11	то что	4	11
12	все эти	3	11
13	так и	5	10
14	его в	2	10
15	с ним	3	10
16	но в	6	10
17	с его	2	9
18	и в	18	9
19	что он	6	8
20	еще не	4	8
21	он не	2	8
22	не только	8	8
23	все это	4	8
24	то же	5	8
25	и все	4	8
26	ни в	2	7
27	к нему	3	7
28	один из	3	7
29	отношение к	2	7
30	в самом	2	7
31	никогда не	2	6
32	и ее	2	6
33	для него	3	6
34	и с	7	6
35	он сам	7	5
36	не в	2	5
37	в этой	4	5
38	в то	5	5
39	что в	4	5
40	но и	4	5
41	по мнению	2	5
42	и на	7	5
43	я не	4	4
44	к тому	2	4
45	об этом	4	4
46	же время	6	4
47	при этом	3	4
48	в нем	4	4
49	все же	5	4
50	и за	2	4
51	данном случае	2	4
52	уже не	2	4
53	в таком	2	4
54	в данном	2	4
55	потому что	2	4
56	не могут	2	3
57	что все	2	3
58	в себе	4	3
59	он был	2	3
60	и как	3	3
61	но это	4	3
62	по поводу	2	3
63	ребенка в	2	3
64	с ее	3	3
65	отцом и	2	3
66	как в	3	3
67	и что	4	3
68	у него	6	3
69	одна из	2	3
70	отца и	2	3
71	в силах	2	2
72	уже в	3	2
73	на всем	2	2
74	но все	2	2
75	что это	5	2
76	это уже	2	2
77	это не	5	2
78	в конце	3	2
79	только о	2	2
80	ничем не	2	2
81	в ее	2	2
82	до конца	2	2
83	в основном	3	2
84	том что	4	2
85	в глаза	2	2
86	чем он	2	2
87	что с	3	2
88	во сне	2	2
89	в своем	3	2
90	и до	2	2
91	что она	2	2
92	даже если	2	2
93	в отличие	2	2
94	и даже	4	2
95	так же	4	2
96	отличие от	2	2
97	и то	2	2
98	что и	2	2
99	в первом	2	2
100	как это	3	2
