N	2gram	Losev_Vesc_1	Psycholo
1	то что	27	37
2	и в	21	30
3	в том	8	27
4	что в	9	24
5	и что	15	23
6	потому что	16	23
7	том что	8	21
8	для того	2	20
9	таким образом	8	20
10	того чтобы	3	20
11	как бы	12	19
12	на то	4	17
13	если мы	8	16
14	не только	36	16
15	в самом	9	14
16	в этом	4	14
17	как раз	9	13
18	одной стороны	3	12
19	в сущности	4	12
20	с одной	3	12
21	если бы	5	11
22	может быть	16	11
23	что мы	14	11
24	о том	6	10
25	никогда не	2	9
26	с другой	6	9
27	для этого	4	9
28	и когда	4	9
29	не может	17	9
30	и то	10	9
31	сказать что	17	9
32	так как	7	9
33	с тем	5	8
34	что это	13	8
35	тому что	2	8
36	мы имеем	7	8
37	к тому	3	8
38	не в	5	8
39	а не	19	8
40	того что	8	8
41	самом деле	4	8
42	мы видим	2	8
43	и это	14	8
44	этих двух	2	7
45	по себе	13	7
46	в нем	2	7
47	и как	8	7
48	но не	5	7
49	мы можем	4	7
50	все же	4	7
51	и т	19	7
52	то же	6	7
53	совершенно ясно	2	7
54	точки зрения	5	7
55	как это	2	7
56	в основе	3	7
57	ясно что	8	6
58	в своем	6	6
59	что она	15	6
60	как и	8	6
61	же точно	2	6
62	и если	2	6
63	совершенно не	5	6
64	и тем	3	6
65	и для	9	6
66	но и	18	6
67	что все	2	6
68	что оно	8	6
69	и не	29	6
70	жизни и	2	6
71	и его	2	6
72	или в	2	6
73	и здесь	4	6
74	никак не	3	6
75	тем что	2	6
76	мы уже	3	6
77	когда мы	6	6
78	на этом	2	6
79	только не	2	5
80	и есть	26	5
81	как мы	4	5
82	и потому	5	5
83	в этой	3	5
84	что они	6	5
85	еще не	8	5
86	было бы	14	5
87	один из	3	5
88	другой стороны	2	5
89	а с	3	5
90	сводится к	2	5
91	в себе	14	5
92	но в	5	5
93	только в	14	5
94	бы в	5	5
95	как только	4	4
96	в результате	3	4
97	сравнению с	6	4
98	и все	5	4
99	прежде всего	9	4
100	стороны и	2	4
101	то это	3	4
102	у нас	7	4
103	есть не	14	4
104	в своей	5	4
105	от того	3	4
106	в ней	12	4
107	в его	2	4
108	не есть	49	4
109	по сравнению	7	4
110	только на	3	4
111	только что	2	4
112	а в	4	4
113	мы говорили	2	4
114	как она	4	4
115	в конце	2	4
116	в виду	2	4
117	была бы	2	3
118	у него	2	3
119	что у	5	3
120	хотя бы	6	3
121	это не	5	3
122	для ее	2	3
123	вовсе не	10	3
124	одно и	5	3
125	что на	2	3
126	эти две	4	3
127	для нас	2	3
128	об этом	3	3
129	так что	5	3
130	это есть	7	3
131	одна из	5	3
132	в свою	4	3
133	для него	4	3
134	тот же	3	3
135	когда она	4	3
136	в ее	7	3
137	что и	3	3
138	данном случае	2	3
139	так и	3	3
140	со стороны	5	3
141	есть нечто	6	3
142	и только	3	3
143	т д	19	3
144	из того	2	3
145	но только	3	3
146	в той	3	3
147	и о	3	3
148	той же	2	3
149	мы не	6	3
150	можно было	2	3
151	в силу	3	3
152	сам по	3	3
153	но он	2	3
154	в данном	5	3
155	в другом	2	3
156	мы должны	2	3
157	из самых	2	2
158	с этой	4	2
159	перед нами	2	2
160	в отношении	4	2
161	мы получим	2	2
162	это может	2	2
163	себя и	4	2
164	что между	2	2
165	чем не	2	2
166	с этим	3	2
167	в одном	2	2
168	есть то	9	2
169	не что	7	2
170	можно сказать	6	2
171	а затем	2	2
172	и того	2	2
173	по существу	2	2
174	бы сказать	2	2
175	того же	5	2
176	должна быть	4	2
177	если я	6	2
178	это значит	24	2
179	ли мы	2	2
180	со своим	7	2
181	как вещь	9	2
182	по преимуществу	2	2
183	и эта	3	2
184	по самому	3	2
185	и следовательно	7	2
186	той или	2	2
187	мог бы	5	2
188	в котором	3	2
189	себе не	3	2
190	сами по	3	2
191	должен быть	2	2
192	не с	7	2
193	иное как	7	2
194	из них	4	2
195	во всех	2	2
196	находится в	3	2
197	все это	5	2
198	отличается от	7	2
199	что есть	5	2
200	но еще	3	2
201	это совершенно	4	2
202	говорится о	2	2
203	оба эти	3	2
204	все равно	2	2
205	это и	6	2
206	в себя	13	2
207	мы находим	2	2
208	и вот	2	2
209	и другое	4	2
210	с точки	3	2
211	и даже	6	2
212	между ними	3	2
213	есть только	7	2
214	должно быть	6	2
215	она еще	2	2
216	ничего не	3	2
217	с но	2	2
218	и с	8	2
219	является в	2	2
220	даже и	4	2
221	что иное	7	2
222	в то	3	2
223	ту же	2	2
224	все эти	3	2
225	дело в	4	2
226	конце концов	2	2
227	это будет	3	2
228	но она	3	2
