N	2gram	Propp_Isto_4	Problemy
1	и не	9	31
2	и в	26	29
3	в его	5	24
4	может быть	14	24
5	а не	6	22
6	в этом	7	22
7	т е	18	21
8	как бы	3	19
9	в нем	2	19
10	не только	15	15
11	то что	16	15
12	но и	12	14
13	и его	10	14
14	то же	8	14
15	уже не	5	13
16	как и	7	12
17	не может	6	12
18	таким образом	10	12
19	в одном	5	10
20	только в	3	10
21	там где	3	10
22	это не	5	9
23	все же	9	9
24	но не	5	9
25	все эти	3	9
26	если бы	2	9
27	в своем	2	8
28	по себе	2	8
29	что он	10	8
30	что в	14	8
31	в своей	4	8
32	потому что	6	8
33	в том	3	8
34	вовсе не	4	7
35	а как	2	7
36	том что	3	7
37	не в	5	7
38	она не	3	7
39	так и	10	7
40	в форме	2	7
41	и как	5	7
42	а в	8	7
43	и на	2	7
44	в себе	2	7
45	но в	5	7
46	все это	2	6
47	в одной	3	6
48	не могут	2	6
49	сливается с	2	6
50	в целом	2	6
51	к нему	6	6
52	что она	3	6
53	как в	7	6
54	так же	18	6
55	могут быть	6	6
56	его в	9	6
57	так как	9	6
58	перед нами	3	5
59	должна быть	2	5
60	и др	5	5
61	было бы	2	5
62	но все	5	5
63	еще не	6	5
64	это и	5	5
65	у него	5	5
66	он не	7	5
67	героя а	2	5
68	ничего не	5	5
69	превращается в	7	4
70	что и	9	4
71	его как	2	4
72	но это	3	4
73	и с	5	4
74	даже в	4	4
75	от того	2	4
76	в свете	3	4
77	не на	3	4
78	и т	27	4
79	тем что	5	4
80	но эта	4	4
81	как мы	5	4
82	героя в	7	4
83	их в	7	4
84	в этой	2	4
85	уже в	2	3
86	в другой	3	3
87	никогда не	2	3
88	с другой	4	3
89	таким же	6	3
90	ни в	2	3
91	по существу	3	3
92	одна из	2	3
93	все что	4	3
94	не дает	2	3
95	и пр	11	3
96	он может	2	3
97	на него	3	3
98	другой стороны	4	3
99	на котором	3	3
100	например в	3	3
101	и у	5	3
102	и здесь	5	3
103	сказать что	2	3
104	он в	4	3
105	мы должны	5	3
106	и этим	2	3
107	на вопрос	3	2
108	что герой	2	2
109	связи с	3	2
110	однако в	2	2
111	его и	2	2
112	хотя бы	2	2
113	с этой	2	2
114	и во	2	2
115	те же	3	2
116	вопрос о	4	2
117	его к	3	2
118	не есть	2	2
119	же в	3	2
120	так что	2	2
121	мы видим	6	2
122	от них	2	2
123	при этом	3	2
124	эта форма	2	2
125	есть и	2	2
126	на себя	4	2
127	конечно не	2	2
128	до сих	5	2
129	ни одной	2	2
130	на его	3	2
131	отношение к	2	2
132	сих пор	5	2
133	данном случае	3	2
134	мы уже	5	2
135	из своего	3	2
136	и даже	4	2
137	или же	3	2
138	на языке	2	2
139	тут и	2	2
140	здесь мы	2	2
141	и что	5	2
142	к себе	3	2
143	из которых	5	2
144	на этот	2	2
145	между ними	3	2
146	к этим	2	2
147	в данном	3	2
148	этот вопрос	2	2
149	в которых	4	2
150	случайно и	2	2
151	но он	4	2
152	и есть	2	2
153	в истории	2	2
154	во все	2	2
155	его на	4	2
156	е в	3	2
157	с этим	2	2
