N	2gram	Medvedev_F_3	Sovremen
1	не может	24	17
2	точки зрения	16	12
3	может быть	25	12
4	таким образом	18	11
5	мы не	4	9
6	в каждом	5	8
7	не можем	2	7
8	в этом	18	7
9	и в	27	7
10	и не	30	6
11	как и	14	6
12	в результате	5	6
13	мы можем	4	6
14	ничего не	2	6
15	что же	5	5
16	прежде всего	4	5
17	все эти	6	5
18	с точки	14	5
19	в условиях	3	5
20	как бы	8	4
21	нет и	3	4
22	мы видели	4	4
23	если мы	7	4
24	в целом	4	4
25	жизни и	4	4
26	вместе с	6	4
27	в зависимости	5	4
28	это не	3	4
29	не только	9	4
30	с помощью	8	4
31	в том	7	4
32	в дальнейшем	5	4
33	их в	3	4
34	из них	2	4
35	мы должны	2	4
36	зависимости от	5	4
37	так как	9	4
38	уже в	4	3
39	все же	6	3
40	видели что	2	3
41	отнюдь не	8	3
42	он может	2	3
43	между собой	4	3
44	все это	7	3
45	отличается от	2	3
46	в конце	3	3
47	то же	15	3
48	ясно что	3	3
49	в нем	15	3
50	а не	17	3
51	для нас	3	3
52	у нас	3	3
53	не в	12	3
54	в этой	2	3
55	одна из	2	3
56	еще не	6	3
57	при этом	8	3
58	было бы	6	3
59	и все	8	3
60	как он	2	3
61	в себе	3	3
62	в области	2	3
63	что она	2	3
64	но в	6	3
65	и потому	5	3
66	так сказать	5	2
67	совершенно не	7	2
68	только один	2	2
69	может иметь	2	2
70	не могут	10	2
71	что это	3	2
72	не менее	7	2
73	и именно	2	2
74	и во	2	2
75	в отличие	2	2
76	из этих	2	2
77	тем же	7	2
78	из одного	2	2
79	говорить об	2	2
80	как мы	8	2
81	уже не	3	2
82	или иной	2	2
83	самом деле	16	2
84	и что	3	2
85	роль в	4	2
86	и пр	15	2
87	и даже	2	2
88	тем не	2	2
89	мы знаем	4	2
90	той же	3	2
91	то ни	4	2
92	в таком	2	2
93	такой же	2	2
94	во всяком	6	2
95	на этом	2	2
96	знаем что	2	2
97	а на	2	2
98	могут быть	4	2
99	что в	8	2
100	говорить о	2	2
101	же самое	3	2
102	если же	5	2
103	в самом	11	2
104	форма в	2	2
105	отличие от	2	2
106	в его	7	2
107	всяком случае	6	2
