N	2gram	Nazirov_Tr_1	Formalny
1	и не	7	30
2	и в	18	27
3	может быть	7	25
4	не может	5	24
5	так и	5	21
6	и его	6	19
7	в этом	9	18
8	в нем	4	15
9	то же	5	15
10	как и	5	14
11	не в	2	12
12	в самом	2	11
13	но и	4	10
14	не могут	2	10
15	не только	8	9
16	так же	4	9
17	что в	4	8
18	ни в	2	8
19	при этом	3	8
20	как бы	7	8
21	отнюдь не	3	8
22	и все	4	8
23	то что	4	8
24	в том	2	7
25	же время	6	7
26	все это	4	7
27	потому что	2	7
28	в то	5	7
29	его в	2	7
30	с тем	2	7
31	в его	3	7
32	все эти	3	6
33	но в	6	6
34	что он	6	6
35	еще не	4	6
36	все же	5	6
37	в данном	2	6
38	и ее	2	6
39	никогда не	2	5
40	в дальнейшем	5	5
41	друг друга	2	5
42	тем что	2	5
43	уже в	3	4
44	прежде всего	4	4
45	к тому	2	4
46	он был	2	4
47	и как	3	4
48	до конца	2	4
49	в целом	4	4
50	данном случае	2	4
51	о том	2	4
52	как это	3	4
53	в ее	2	4
54	в романе	10	4
55	том что	4	4
56	как в	3	4
57	бы и	2	3
58	что это	5	3
59	столь же	2	3
60	это не	5	3
61	в конце	3	3
62	и что	4	3
63	и на	7	3
64	и с	7	3
65	а что	2	3
66	он и	2	3
67	раз и	2	3
68	еще в	2	3
69	уже не	2	3
70	жизнь и	3	3
71	в себе	4	3
72	она должна	2	2
73	но это	4	2
74	в этой	4	2
75	что она	2	2
76	жизнью и	2	2
77	в своем	3	2
78	но эта	2	2
79	и даже	4	2
80	романа и	3	2
81	этого романа	2	2
82	с его	2	2
83	но при	2	2
84	из своих	2	2
85	с ее	3	2
86	одна из	2	2
87	в основном	3	2
88	что и	2	2
89	в отличие	2	2
90	в таком	2	2
91	что этот	2	2
92	и это	2	2
93	отличие от	2	2
94	ничего не	2	2
