N	2gram	Vinokur_Vv_1	Mirosoze
1	может быть	24	30
2	не только	21	29
3	и в	27	28
4	не может	13	28
5	но и	5	25
6	а не	3	25
7	в этом	34	20
8	не в	8	16
9	потому что	14	16
10	в ней	3	15
11	в своей	4	15
12	и есть	3	14
13	никогда не	3	14
14	до конца	3	14
15	в нем	13	13
16	и это	6	12
17	в самом	12	11
18	и не	13	11
19	что в	11	10
20	в своем	3	10
21	прежде всего	8	10
22	что он	4	10
23	было бы	5	10
24	с тем	6	9
25	в его	10	9
26	не есть	4	9
27	и его	5	9
28	есть лишь	2	9
29	но не	7	8
30	в котором	4	8
31	того что	12	7
32	в конце	3	7
33	но в	10	7
34	к нему	2	7
35	в себе	4	7
36	он сам	3	6
37	должна быть	2	6
38	в том	31	6
39	в этой	3	6
40	все это	6	6
41	и на	3	6
42	вместе с	6	6
43	только в	13	6
44	не могут	5	5
45	это не	8	5
46	у нас	2	5
47	как и	5	5
48	то что	17	5
49	уже в	5	4
50	в этих	3	4
51	с этой	4	4
52	смысле слова	7	4
53	мог бы	2	4
54	не к	2	4
55	отношение к	3	4
56	ни с	2	4
57	был в	2	4
58	в их	11	4
59	а в	5	4
60	в которых	6	4
61	точки зрения	7	4
62	должен был	4	4
63	в них	4	4
64	не как	3	4
65	один из	6	4
66	что и	3	4
67	есть не	3	4
68	уже не	5	4
69	тем что	6	4
70	романов достоевского	2	3
71	и вот	3	3
72	к тому	4	3
73	это есть	2	3
74	не мог	2	3
75	но если	3	3
76	этот процесс	3	3
77	не имеет	4	3
78	должно быть	2	3
79	с этим	2	3
80	его в	6	3
81	так как	13	3
82	и с	2	3
83	на этом	3	3
84	одно из	5	3
85	в ее	11	3
86	том что	26	3
87	учение о	2	3
88	есть и	4	3
89	ничего не	2	3
90	на том	3	3
91	себя в	2	3
92	бы и	2	3
93	вряд ли	2	3
94	духовной жизни	3	3
95	будто бы	2	3
96	хотя бы	5	3
97	за собой	3	2
98	связана с	4	2
99	по своему	5	2
100	в идеале	2	2
101	он мог	3	2
102	вообще не	3	2
103	вопрос о	8	2
104	с их	5	2
105	о чем	4	2
106	для того	21	2
107	истории в	2	2
108	одним из	5	2
109	на этот	4	2
110	в виду	4	2
111	себе и	2	2
112	жизни и	2	2
113	могут быть	4	2
114	по отношению	4	2
115	все эти	3	2
116	и что	4	2
117	есть только	2	2
118	и те	2	2
119	также и	16	2
120	сказать что	5	2
121	в более	2	2
122	даже и	3	2
123	он и	2	2
124	в начале	3	2
125	в истории	9	2
126	как бы	5	2
127	о том	15	2
128	как он	6	2
129	когда мы	2	2
130	проблемы и	2	2
131	не существует	2	2
132	а как	3	2
133	если бы	2	2
134	своему значению	2	2
135	к этому	3	2
136	отношению к	4	2
137	в то	5	2
138	чем в	3	2
139	как будто	3	2
140	до сих	5	2
141	в этот	2	2
142	должен быть	4	2
143	все же	8	2
144	по сравнению	3	2
145	с ней	2	2
146	сих пор	5	2
147	мысли и	2	2
148	в центре	4	2
149	входит в	2	2
150	истории и	4	2
151	т е	38	2
152	в той	7	2
153	того чтобы	21	2
154	и как	9	2
155	и для	4	2
156	конце концов	2	2
157	любовь к	4	2
158	от этого	5	2
159	на протяжении	2	2
160	отношении к	2	2
