N	3gram	Vygotskiy__2	Psycholo
1	в самом деле	4	18
2	на то что	6	12
3	в том что	21	11
4	и в самом	2	10
5	с точки зрения	18	9
6	то же самое	2	8
7	для того чтобы	10	8
8	мы увидим что	2	7
9	заключается в том	7	6
10	с одной стороны	7	5
11	о том что	4	3
12	мы могли бы	4	3
13	мы уже говорили	3	3
14	речь идет о	2	3
15	смысле этого слова	3	2
16	в данном случае	3	2
17	мы не можем	3	2
18	то что он	2	2
19	то что с	2	2
20	должны были бы	2	2
21	вовсе не в	2	2
22	мы старались показать	2	2
23	мы видим в	2	2
24	во всяком случае	6	2
25	на самом деле	2	2
26	мы видели что	3	2
