N	2gram	Tiupa_Vved_1	NovoeSre
1	а не	15	17
2	не может	7	16
3	и в	13	16
4	нового времени	3	12
5	и не	12	11
6	что в	3	9
7	жизни и	7	8
8	он не	3	8
9	в том	10	8
10	как и	11	7
11	в этом	21	7
12	может быть	18	7
13	никогда не	4	6
14	в высшей	2	6
15	не в	6	6
16	высшей степени	2	6
17	лишь в	2	6
18	но это	3	6
19	в нем	5	5
20	в жизни	4	5
21	истории в	5	5
22	и к	2	5
23	в ней	4	5
24	не только	20	5
25	не менее	4	4
26	то что	6	4
27	в них	2	4
28	это не	6	4
29	и все	4	4
30	не было	2	4
31	не имеет	2	4
32	и для	3	4
33	потому что	5	4
34	по своему	2	4
35	прежде всего	7	4
36	о том	5	4
37	к ее	3	3
38	но и	19	3
39	не существует	2	3
40	должна быть	2	3
41	в своей	5	3
42	жизни в	4	3
43	с другой	5	3
44	во всех	2	3
45	к тому	6	3
46	что такое	18	3
47	в мире	8	3
48	в основе	3	3
49	подобно тому	2	3
50	как в	4	3
51	еще не	7	3
52	тому как	2	3
53	наряду с	2	3
54	к ним	2	3
55	времени в	3	2
56	времени и	7	2
57	место в	2	2
58	бытия в	2	2
59	все они	2	2
60	так и	8	2
61	в категориях	2	2
62	и т.п	9	2
63	который в	2	2
64	другой стороны	2	2
65	и от	2	2
66	а в	6	2
67	с одной	5	2
68	уже не	5	2
69	одной стороны	5	2
70	зависит от	2	2
71	не хотят	2	2
72	но не	5	2
73	мы не	4	2
74	войны и	3	2
75	том что	7	2
76	можно было	2	2
77	есть в	2	2
78	одна из	4	2
79	и с	2	2
80	могут быть	4	2
81	и на	3	2
82	не к	4	2
83	в себе	5	2
84	ли это	2	2
85	в то	4	2
86	как будто	4	2
87	мира а	2	2
88	такого рода	16	2
89	в центре	2	2
90	том чтобы	2	2
91	мира и	2	2
92	истории а	3	2
93	хотя и	7	2
94	но в	6	2
95	нашего времени	2	2
